latitude,longitude,altitude,geometry,lat,lon,scoring_category,score,GEOID
33.4165,-84.501059,,Point,33.4165,-84.501059,Quality Education Score,0,13113140305
33.4165,-84.491059,,Point,33.4165,-84.491059,Quality Education Score,0,13113140404
33.4165,-84.481059,,Point,33.4165,-84.481059,Quality Education Score,0,13113140404
33.4165,-84.471059,,Point,33.4165,-84.471059,Quality Education Score,0,13113140405
33.4165,-84.461059,,Point,33.4165,-84.461059,Quality Education Score,0,13113140405
33.4165,-84.451059,,Point,33.4165,-84.451059,Quality Education Score,0,13113140405
33.4165,-84.441059,,Point,33.4165,-84.441059,Quality Education Score,0,13113140409
33.4165,-84.431059,,Point,33.4165,-84.431059,Quality Education Score,0,13113140409
33.4165,-84.421059,,Point,33.4165,-84.421059,Quality Education Score,0,13113140409
33.4165,-84.401059,,Point,33.4165,-84.401059,Quality Education Score,0,13113140408
33.4165,-84.411059,,Point,33.4165,-84.411059,Quality Education Score,0,13113140409
33.4165,-84.391059,,Point,33.4165,-84.391059,Quality Education Score,0,13063040638
33.4165,-84.381059,,Point,33.4165,-84.381059,Quality Education Score,0,13063040639
33.4165,-84.361059,,Point,33.4165,-84.361059,Quality Education Score,0,13063040636
33.4165,-84.371059,,Point,33.4165,-84.371059,Quality Education Score,0,13063040636
33.4265,-84.621059,,Point,33.4265,-84.621059,Quality Education Score,0,13113140210
33.4265,-84.611059,,Point,33.4265,-84.611059,Quality Education Score,0,13113140210
33.4265,-84.601059,,Point,33.4265,-84.601059,Quality Education Score,0,13113140207
33.4265,-84.591059,,Point,33.4265,-84.591059,Quality Education Score,0,13113140207
33.4265,-84.581059,,Point,33.4265,-84.581059,Quality Education Score,0,13113140207
33.4265,-84.571059,,Point,33.4265,-84.571059,Quality Education Score,0,13113140206
33.4265,-84.561059,,Point,33.4265,-84.561059,Quality Education Score,0,13113140206
33.4265,-84.551059,,Point,33.4265,-84.551059,Quality Education Score,0,13113140304
33.4265,-84.541059,,Point,33.4265,-84.541059,Quality Education Score,0,13113140305
33.4265,-84.531059,,Point,33.4265,-84.531059,Quality Education Score,0,13113140305
33.4265,-84.521059,,Point,33.4265,-84.521059,Quality Education Score,0,13113140305
33.4265,-84.511059,,Point,33.4265,-84.511059,Quality Education Score,0,13113140305
33.4265,-84.501059,,Point,33.4265,-84.501059,Quality Education Score,0,13113140305
33.4265,-84.481059,,Point,33.4265,-84.481059,Quality Education Score,0,13113140404
33.4265,-84.491059,,Point,33.4265,-84.491059,Quality Education Score,0,13113140404
33.4265,-84.471059,,Point,33.4265,-84.471059,Quality Education Score,0,13113140404
33.4265,-84.461059,,Point,33.4265,-84.461059,Quality Education Score,0,13113140404
33.4265,-84.451059,,Point,33.4265,-84.451059,Quality Education Score,0,13113140405
33.4265,-84.441059,,Point,33.4265,-84.441059,Quality Education Score,0,13113140409
33.4265,-84.431059,,Point,33.4265,-84.431059,Quality Education Score,0,13113140409
33.4265,-84.421059,,Point,33.4265,-84.421059,Quality Education Score,0,13113140409
33.4265,-84.411059,,Point,33.4265,-84.411059,Quality Education Score,0,13113140410
33.4265,-84.401059,,Point,33.4265,-84.401059,Quality Education Score,0,13063040638
33.4265,-84.381059,,Point,33.4265,-84.381059,Quality Education Score,0,13063040639
33.4265,-84.391059,,Point,33.4265,-84.391059,Quality Education Score,0,13063040638
33.4265,-84.371059,,Point,33.4265,-84.371059,Quality Education Score,0,13063040639
33.4265,-84.361059,,Point,33.4265,-84.361059,Quality Education Score,0,13063040636
33.4365,-84.621059,,Point,33.4365,-84.621059,Quality Education Score,0,13113140210
33.4365,-84.611059,,Point,33.4365,-84.611059,Quality Education Score,0,13113140210
33.4365,-84.601059,,Point,33.4365,-84.601059,Quality Education Score,0,13113140210
