System ID,System Name,School ID,School Name,Grade Cluster,2015,2016.0,2017.0,2018.0,2019.0,15 to 16,16 to 17,18 to 19,YoY Average,Average is positive?,Average score,CCRPI Score Data Availability (years),Applicable 25th Percentile,Average Score is in Top 75%?,CCRPI Scores Qualify Under Option C?,2019 BTO Designation
693,Lumpkin County,1050,Lumpkin County Middle School,M,73.6,72.8,63.6,72.0,78.6,-0.0108695652173913,-0.126373626373626,0.0916666666666666,-0.0151921749747837,No,72.12,2015-2019,65.54,Yes,No,Within Expected Range
693,Lumpkin County,2050,Lumpkin County Elementary School,E,82.5,83.1,85.0,80.7,69.5,0.0072727272727272,0.022864019253911,-0.138785625774473,-0.0362162930826117,No,80.16,2015-2019,66.04,Yes,No,Below Expected Range
693,Lumpkin County,ALL,All Schools,E,82.5,85.5,78.7,66.5,78.4,0.0363636363636364,-0.07953216374269,0.178947368421053,0.0452596136806664,Yes,78.32,2015-2019,66.04,Yes,Yes,
693,Lumpkin County,ALL,All Schools,H,82.0,84.9,80.0,76.8,68.1,0.0353658536585367,-0.0577149587750295,-0.11328125,-0.0452101183721643,No,78.36,2015-2019,67.97,Yes,No,
693,Lumpkin County,ALL,All Schools,M,73.6,72.3,63.1,72.0,78.6,-0.0176630434782608,-0.127247579529737,0.0916666666666666,-0.0177479854471105,No,71.92,2015-2019,65.54,Yes,No,
694,Macon County,198,Macon County Elementary School,E,56.3,45.2,51.5,58.9,62.1,-0.197158081705151,0.139380530973451,0.0543293718166384,-0.001149392971687,No,54.8,2015-2019,66.04,No,No,Within Expected Range
694,Macon County,199,Macon County Middle School,M,64.0,56.8,52.7,47.9,69.3,-0.1125,-0.0721830985915492,0.446764091858038,0.0873603310888294,Yes,58.14,2015-2019,65.54,No,No,Within Expected Range
694,Macon County,2060,Macon County High School,H,60.8,56.5,59.0,52.3,69.6,-0.0707236842105263,0.0442477876106195,0.330783938814532,0.101436014071542,Yes,59.64,2015-2019,67.97,No,No,Within Expected Range
694,Macon County,ALL,All Schools,E,55.3,43.7,51.0,58.9,62.1,-0.209764918625678,0.167048054919908,0.0543293718166384,0.0038708360369562,Yes,54.2,2015-2019,66.04,No,No,
694,Macon County,ALL,All Schools,H,60.8,55.0,58.5,52.3,69.6,-0.0953947368421052,0.0636363636363636,0.330783938814532,0.0996751885362633,Yes,59.24,2015-2019,67.97,No,No,
