ID_NUMBER,FACILITY_NAME,ACTIVITY_LOCATION,FULL_ENFORCEMENT,HREPORT_UNIVERSE_RECORD,STREET_ADDRESS,CITY_NAME,STATE_CODE,ZIP_CODE,LATITUDE83,LONGITUDE83,FED_WASTE_GENERATOR,TRANSPORTER,ACTIVE_SITE,OPERATING_TSDF
GAD981273816,FEDERAL EXPRESS MEGA,GA,------,VSQG,6650 CORNERS INDUSTRIAL CT,NORCROSS,GA,30092,33.941565,-84.251618,3  ,N  ,H----,------         
GAD067575209,CMI INDUSTRIES CLARKSVILLE PLANT,GA,------,Other,HIGHWAY 441 NORTH,CLARKESVILLE,GA,30523,34.65,-83.448333,N  ,N  ,-----,------         
GAD981274731,ZIPPY MART GA530,GA,------,Other,GREEN & JEFFERSON,BOSTON,GA,31626,30.791824,-83.786922,N  ,N  ,-----,------         
GAR000030957,MICRO MACRO INTERNATIONAL INC,GA,------,VSQG,183 PARADISE BLVD STE 108,ATHENS,GA,30607,33.97857,-83.399841,3  ,N  ,H----,------         
GAR000017186,ENGLANDS COLLISON CENTER INC,GA,------,Other,586 SW BROAD ST,JESUP,GA,31545,31.601669,-81.887115,N  ,N  ,-----,------         
GAD981219504,ALADDIN MANUFACTURING - CARADON,GA,------,VSQG,949 INDUSTRIAL BLVD,CHATSWORTH,GA,30705,,,3  ,N  ,H----,------         
GAD984313148,COTTONS COLLISION CENTER & FRAME SHOP,GA,------,Other,112 COTTON RD,LAGRANGE,GA,30240,,,N  ,N  ,-----,------         
GAD984320754,BRIANS PRECISION PAINT & BODY,GA,------,Other,5072 ANNISTOWN RD,STONE MOUNTAIN,GA,30087,,,N  ,N  ,-----,------         
GAR000043067,TANNER - DEEN MOTORS INC,GA,------,VSQG,1100 E. OGLETHORPE BLVD,ALBANY,GA,31705,31.574416,-84.095189,3  ,N  ,H----,------         
GAR000027110,WAL-MART STORE #1122,GA,------,Other,700 SOUTH BIG A RD,TOCCOA,GA,30577,,,N  ,N  ,-----,------         
GAD981265176,TUFTCO-DALTON INC,GA,------,SQG,304 TUFTCO DR,DALTON,GA,30721,34.737084,-84.959015,2  ,N  ,H----,------         
GAR000044743,DIAMOND CRYSTAL BRANDS,GA,------,VSQG,1090 PACIFIC AVE,BREMEN,GA,30110,33.724301,-85.132816,3  ,N  ,H----,------         
GAD981256340,NORTH PERIMETER COLLISION INC,GA,------,Other,3854 N PEACHTREE RD,CHAMBLEE,GA,30341,33.910162,-84.297346,N  ,N  ,-----,------         
GA0000036699,QUALITY AUTO CARE,GA,------,Other,495 B HOLIDAY CIRCLE,FORSYTH,GA,31029,33.031461,-83.922729,,N  ,-----,------         
GAR000030619,PROGRESSIVE DECATUR LLC,GA,------,Other,321 W HILL ST,DECATUR,GA,30031,,,N  ,N  ,-----,------         
GAR000063743,EASTSIDE TRAIL,GA,------,Other,801 ANGIER SPRINGS RD,ATLANTA,GA,30306,,,N  ,N  ,-----,------         
GAD981269939,SOUTHERN ROADBUILDERS APAC GA INC,GA,------,Other,5738 COLUMBIA RD,APPLING,GA,30813,33.515128,-82.223804,N  ,N  ,-----,------         
GAD981271778,INNERFACE SIGN STSYTEMS INC,GA,------,Other,5320 WEBB PKWY,LILBURN,GA,30247-5947,,,N  ,N  ,-----,------         
GAD984311886,EXPOTECHNIK AMERICA INC,GA,------,Other,5390 E PONCE DE LEON,STONE MOUNTAIN,GA,30083,,,N  ,N  ,-----,------         
GAR000081992,AMAZON.COM SERVICES LLC - MGE3,GA,------,SQG,808 HOG MOUNTAIN ROAD,JEFFERSON,GA,30549,34.164261,-83.619886,2  ,N  ,H----,------         
GAD981224462,SPRINGFIELD CHRYSLER,GA,------,Other,HWY 21 W,SPRINGFIELD,GA,31329,32.378873,-81.326016,N  ,N  ,-----,------         
GAR000003632,THE COCA-COLA BEV. BASE WAREHOUSE,GA,------,Other,6040 LAGRANGE BOULEVARD,ATLANTA,GA,30336,33.719794,-84.5903,N  ,N  ,-----,------         
GAD981265093,THE WHEELABRATOR CORP,GA,------,Other,27 AMLAJACK BLVD,SHENANDOAH,GA,30265,33.398507,-84.753315,N  ,N  ,-----,------         
GA0000898163,JSI STORE FIXTURES,GA,------,Other,1000 NORTHBROOK PKWY,SUWANEE,GA,30024,34.015864,-84.062564,N  ,N  ,-----,------         
GAR000012039,GATEWAY CHEVROLET GEO INC,GA,------,Other,109 S MAIN ST,CLEVELAND,GA,30528,,,N  ,N  ,-----,------         
GAD984297572,PADMOUNT + INC,GA,------,Other,3003-A SPRINGS IND DR,POWDER SPRINGS,GA,30073,,,N  ,N  ,-----,------         
GA0000466417,ROTO CYLINDER INC,GA,------,Other,1004 LONGLEY PLACE,LAGRANGE,GA,30240,,,N  ,N  ,-----,------         
GAD981267313,HARMON/ASA,GA,------,Other,1351 OAKBROOK DR SUITE 110,NORCROSS,GA,30093,33.916656,-84.188579,N  ,N  ,-----,------         
GAR000032961,THOMAS DUNN SERVICE CENTER,GA,------,Other,2023 GORDON HWY,AUGUSTA,GA,30909,,,N  ,N  ,-----,------         
GAD049696792,TITAN METAL REFINISHING,GA,------,VSQG,526 ATLANTA ST,MARIETTA,GA,30060,33.929969,-84.540582,3  ,N  ,H----,------         
GAD984280156,HOOVER TREATED WOOD PRODUCTS INC,GA,------,SQG,266 WIRE ROAD,THOMSON,GA,30824,33.440664,-82.514812,2  ,N  ,H----,------         
GAR000039024,BRIGMAN & BRIGMAN CABINETS INC,GA,------,Other,209 NORTH LOWNDES ST,HAHIRA,GA,31632,30.992901,-83.375524,N  ,N  ,-----,------         
GAR000033266,SHERWIN-WILLIAMS STORE #2067,GA,------,VSQG,5517 PEACHTREE INDUSTRIAL BLVD,CHAMBLEE,GA,30341-2217,33.892081,-84.308962,3  ,N  ,H----,------         
GAD981282742,GINN MOTOR CO,GA,------,SQG,8153 ACCESS ROAD,COVINGTON,GA,30209,33.612613,-83.900574,2  ,N  ,H----,------         
GAR000040667,SAVANNAH COLLEGE OF ART & DESIGN-ATLANTA,GA,------,SQG,1600 PEACHTREE ST NW,ATLANTA,GA,30309,33.797854,-84.390316,2  ,N  ,H----,------         
GAR000002626,UNPAINT CORP THE,GA,------,Other,89 MANGUM ST,ATLANTA,GA,30314,33.763594,-84.398044,N  ,N  ,-----,------         
GAR000058602,BIO-SOURCE INC,GA,------,Other,4775 N ROYAL ATLANTA DR,TUCKER,GA,30084,,,N  ,N  ,-----,------         
GAD981469281,TRANSMONTAIGNE OPERATING COMPANY  LP (LOOKOUT MTN),GA,------,VSQG,11 HIGHWAY 193,FLINTSTONE,GA,30725,,,3  ,N  ,H----,------         
GAD984322552,HARTS PAINT & BODY SHOP,GA,------,VSQG,6491 HWY 84 W,QUITMAN,GA,31643,30.787657,-83.510207,3  ,N  ,H----,------         
GAD984296459,HAHIRA CITGO,GA,------,Other,I-75 HAHIRA EXIT,HAHIRA,GA,31632,,,N  ,N  ,-----,------         
GAR000048751,WILLIAMS USED OIL RECOVERY USA,GA,------,Other,91 MAMIES RD,MIDWAY,GA,31320,,,N  ,N  ,-----,------         
GAR000042358,PASCAL TRANSPORTATION INC,GA,------,Other,345 SOUTH BLANCHARD ST,VALDOSTA,GA,31601,,,N  ,N  ,-----,------         
GAD061167607,CUSTOM TANK TECHNOLOGY,GA,------,Other,777 GREENBELT PKWY,GRIFFIN,GA,30223,33.238254,-84.236137,N  ,N  ,-----,------         
GAD981226111,JONES JOHN CARBURETOR SERVICE,GA,------,Other,280 BRENNAN RD,COLUMBUS,GA,31906,32.447575,-84.943583,N  ,N  ,-----,------         
