ID_NUMBER,ACTIVITY_LOCATION,VIOLATION_TYPE,VIOLATION_TYPE_DESC,VIOL_DETERMINED_BY_AGENCY,DATE_VIOLATION_DETERMINED,ACTUAL_RTC_DATE,SCHEDULED_COMPLIANCE_DATE
GAD984318568,GA,262.A,Standards Applicable to Generators of HW: General,S  ,05/24/2002,06/14/2002,06/21/2002
GAD984315978,GA,262.D,Standards Applicable to Recordkeeping and Reporting Applicable to Small and Large Quantity Generators,S  ,07/24/2002,09/26/2002,09/16/2002
GAD980729974,GA,264.G,Standards for Owners and Operators of HW TSDs: Closure and Post-Closure,S  ,04/15/2003,06/17/2003,
GA0000355164,GA,268.A,Land Disposal Restrictions: General,S  ,08/27/2002,11/22/2002,
GA0000263343,GA,262.B,Standards Applicable to Generators of HW: Manifest Requirements Applicable to Small and Large Quantity Generators,S  ,08/22/2003,01/20/2004,
GAR000034058,GA,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements Applicable to Small and Large Quantity Generators,S  ,10/23/2003,02/06/2004,12/05/2003
GAR000037382,GA,265.I,Interim Status Standards for Owners and Operators of HW TSDs: Use and Management of Containers,S  ,12/07/2007,01/22/2008,01/21/2008
GAD981262462,GA,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements Applicable to Small and Large Quantity Generators,S  ,07/28/2004,07/28/2004,
GAD981258270,GA,263.B,Standards Applicable to Transporters of HW: Compliance with the Manifest System and Recordkeeping,S  ,11/19/2003,01/26/2004,12/16/2003
GAD981476831,GA,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements Applicable to Small and Large Quantity Generators,S  ,07/15/2003,09/05/2003,09/08/2003
GAD004065520,GA,264.G,Standards for Owners and Operators of HW TSDs: Closure and Post-Closure,S  ,03/18/2003,03/20/2003,03/19/2003
GA3210020084,GA,264.B,Standards for Owners and Operators of HW TSDs: General Facility Standards,S  ,11/05/2003,02/09/2004,
GAD980709604,GA,262.A,Standards Applicable to Generators of HW: General,S  ,06/08/2004,04/08/2005,
GAD984318568,GA,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements Applicable to Small and Large Quantity Generators,S  ,04/19/2004,05/20/2004,
GAR000009985,GA,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements Applicable to Small and Large Quantity Generators,S  ,07/07/2005,08/16/2005,08/15/2005
GAR000007971,GA,262.A,Standards Applicable to Generators of HW: General,S  ,11/08/2004,01/26/2005,
GAR000036277,GA,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements Applicable to Small and Large Quantity Generators,S  ,01/12/2005,06/20/2006,07/15/2005
GA8570024606,GA,265.F,Interim Status Standards for Owners and Operators of HW TSDs: Ground-Water Monitoring,S  ,09/08/2004,12/27/2004,
GAD984311597,GA,262.A,Standards Applicable to Generators of HW: General,S  ,02/17/2005,04/29/2005,
GAD981244841,GA,262.A,Standards Applicable to Generators of HW: General,S  ,09/10/2004,09/10/2004,
GAD980729974,GA,264.I,Standards for Owners and Operators of HW TSDs: Use and Management of Containers,S  ,07/23/2004,10/14/2004,
GAD981269095,GA,263.A,Standards Applicable to Transporters of HW: General,S  ,03/29/2005,05/30/2005,
GAR000021022,GA,262.A,Standards Applicable to Generators of HW: General,S  ,04/06/2005,06/27/2005,06/26/2005
GAD984304014,GA,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements Applicable to Small and Large Quantity Generators,S  ,02/02/2005,02/02/2005,
GAR000030072,GA,262.A,Standards Applicable to Generators of HW: General,S  ,04/28/2005,02/28/2006,
GAD000616367,GA,268.A,Land Disposal Restrictions: General,S  ,09/16/2005,09/16/2005,
GAD984303933,GA,262.A,Standards Applicable to Generators of HW: General,S  ,03/23/2006,05/23/2006,
GAD981269210,GA,262.A,Standards Applicable to Generators of HW: General,S  ,02/28/2005,03/22/2005,
GAD981269210,GA,262.A,Standards Applicable to Generators of HW: General,S  ,02/28/2005,03/22/2005,07/11/2005
GAR000030445,GA,262.D,Standards Applicable to Recordkeeping and Reporting Applicable to Small and Large Quantity Generators,S  ,12/14/2005,09/21/2006,
GA8000500001,GA,265.D,Interim Status Standards for Owners and Operators of HW TSDs: Contingency Plan and Emergency Procedures,S  ,12/04/2006,03/06/2007,
GAR000031443,GA,279.C,Standards for Used Oil: Generators,S  ,07/14/2006,05/11/2007,08/23/2006
GAR000046292,GA,265.I,Interim Status Standards for Owners and Operators of HW TSDs: Use and Management of Containers,S  ,08/03/2006,10/27/2006,10/09/2006
GAD984320275,GA,279.C,Standards for Used Oil: Generators,S  ,05/04/2006,12/21/2006,12/04/2006
GAD984291351,GA,279.C,Standards for Used Oil: Generators,S  ,02/07/2007,02/22/2008,04/28/2007
GAR000001271,GA,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements Applicable to Small and Large Quantity Generators,S  ,10/31/2006,02/21/2007,
GAD000772319,GA,262.A,Standards Applicable to Generators of HW: General,S  ,05/18/2006,07/07/2006,
GAR000048736,GA,279.C,Standards for Used Oil: Generators,S  ,01/30/2007,05/15/2007,
GAR000048736,GA,279.C,Standards for Used Oil: Generators,S  ,01/30/2007,05/15/2007,03/16/2007
GAD981243777,GA,279.C,Standards for Used Oil: Generators,S  ,03/22/2007,05/18/2007,05/18/2007
GA6750911970,GA,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements Applicable to Small and Large Quantity Generators,S  ,10/30/2006,12/22/2006,
GAD980729974,GA,PCR,Violation of a permit condition or requirement,S  ,03/28/2007,05/24/2007,07/15/2007
GAR000008151,GA,273.B,Standards for Universal Waste Management: Standards for Small Quantity Handlers ,S  ,05/24/2007,07/06/2007,07/09/2007
GAR000042432,GA,265.I,Interim Status Standards for Owners and Operators of HW TSDs: Use and Management of Containers,S  ,05/05/2017,07/13/2017,07/21/2017
GAD003275468,GA,262.A,Standards Applicable to Generators of HW: General,S  ,09/28/2016,03/19/2020,
GAD070330576,GA,273.C,Standards for Universal Waste Management: Standards for Large Quantity Handlers ,S  ,01/31/2017,05/01/2017,04/28/2017
GAD051011344,GA,264.H,Standards for Owners and Operators of HW TSDs: Financial Requirements,S  ,09/20/2007,05/15/2009,
GAD075854349,GA,279.C,Standards for Used Oil: Generators,E  ,12/20/2007,02/18/2008,
GAD984311332,GA,273.B,Standards for Universal Waste Management: Standards for Small Quantity Handlers ,S  ,08/18/2010,09/27/2010,08/27/2010
GAD980842777,GA,264.B,Standards for Owners and Operators of HW TSDs: General Facility Standards,E  ,07/08/2010,09/15/2010,
GAD004065520,GA,265.I,Interim Status Standards for Owners and Operators of HW TSDs: Use and Management of Containers,S  ,05/05/2010,07/26/2010,
GAR000001974,GA,279.C,Standards for Used Oil: Generators,S  ,01/16/2008,03/07/2008,03/10/2008
GAD981282932,GA,265.I,Interim Status Standards for Owners and Operators of HW TSDs: Use and Management of Containers,S  ,01/12/2012,01/24/2012,
GAD003282803,GA,279.C,Standards for Used Oil: Generators,S  ,07/12/2007,10/05/2007,
GAD981239767,GA,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements Applicable to Small and Large Quantity Generators,S  ,12/12/2007,03/10/2008,02/25/2008
