ID_NUMBER,ACTIVITY_LOCATION,VIOLATION_TYPE,VIOLATION_TYPE_DESC,VIOL_DETERMINED_BY_AGENCY,DATE_VIOLATION_DETERMINED,ACTUAL_RTC_DATE,SCHEDULED_COMPLIANCE_DATE
GAD040690737,GA,265.F,Interim Status Standards for Owners and Operators of HW TSDs: Ground-Water Monitoring,S  ,05/18/2000,09/15/2000,
GAD991276007,GA,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements Applicable to Small and Large Quantity Generators,S  ,11/15/2000,03/16/2001,
GAD002270239,GA,262.A,Standards Applicable to Generators of HW: General,S  ,05/24/2002,06/10/2002,06/21/2002
GA0000999805,GA,268.A,Land Disposal Restrictions: General,S  ,10/22/1999,02/01/2000,
GAR000004937,GA,262.D,Standards Applicable to Recordkeeping and Reporting Applicable to Small and Large Quantity Generators,S  ,05/22/1997,10/27/1999,
GA0000012914,GA,264.I,Standards for Owners and Operators of HW TSDs: Use and Management of Containers,S  ,04/21/1999,06/19/1999,
GAD981265424,GA,264.B,Standards for Owners and Operators of HW TSDs: General Facility Standards,S  ,05/19/1994,06/07/1994,
GA1570024330,GA,264.A,Standards for Owners and Operators of HW TSDs: General,S  ,04/15/1985,08/01/1985,
GAD073460941,GA,263.A,Standards Applicable to Transporters of HW: General,E  ,07/27/1993,11/02/1994,
GAD003310810,GA,262.A,Standards Applicable to Generators of HW: General,S  ,07/21/1991,08/09/1991,08/08/1991
GAD003306750,GA,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements Applicable to Small and Large Quantity Generators,S  ,05/07/1997,06/10/1997,05/27/1997
GA8570024606,GA,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements Applicable to Small and Large Quantity Generators,S  ,03/27/1997,06/30/1997,
GA8570024606,GA,265.F,Interim Status Standards for Owners and Operators of HW TSDs: Ground-Water Monitoring,S  ,01/29/1993,11/04/1993,
GAD981229347,GA,262.A,Standards Applicable to Generators of HW: General,S  ,02/03/1987,07/07/1987,03/15/1987
GAD981226145,GA,262.B,Standards Applicable to Generators of HW: Manifest Requirements Applicable to Small and Large Quantity Generators,S  ,07/30/1993,11/10/1993,08/27/1993
GAD984312512,GA,262.A,Standards Applicable to Generators of HW: General,S  ,02/25/1999,04/08/1999,05/17/1999
GAD984307801,GA,268.A,Land Disposal Restrictions: General,S  ,06/30/1992,09/14/1992,08/14/1992
GAR000004614,GA,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements Applicable to Small and Large Quantity Generators,S  ,05/24/1996,08/20/1996,
GAD000653360,GA,262.A,Standards Applicable to Generators of HW: General,E  ,05/07/1991,05/07/1991,
GAR000002899,GA,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements Applicable to Small and Large Quantity Generators,S  ,07/29/1996,12/05/1996,09/30/1996
GA0000012914,GA,264.S,Standards for Owners and Operators of HW TSDs: Special Provisions for Cleanup,S  ,09/16/1993,02/23/1994,
GA7170023694,GA,264.A,Standards for Owners and Operators of HW TSDs: General,S  ,06/25/1986,09/12/1986,09/01/1986
GAD981268295,GA,264.B,Standards for Owners and Operators of HW TSDs: General Facility Standards,S  ,03/06/1997,08/27/1998,08/02/1998
GAD981266208,GA,264.B,Standards for Owners and Operators of HW TSDs: General Facility Standards,S  ,05/02/2000,07/05/2000,
GA0000081281,GA,262.A,Standards Applicable to Generators of HW: General,S  ,03/23/2000,06/19/2000,06/16/2000
GAD991302225,GA,262.A,Standards Applicable to Generators of HW: General,S  ,01/10/1991,02/14/1992,02/25/1991
GA4210022733,GA,262.A,Standards Applicable to Generators of HW: General,S  ,06/29/1994,06/29/1994,
GAD981283096,GA,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements Applicable to Small and Large Quantity Generators,S  ,12/16/1992,03/15/1993,01/22/1993
GAD008212409,GA,264.K,Standards for Owners and Operators of HW TSDs: Surface Impoundments,E  ,03/19/1991,12/20/1991,
GAD003300969,GA,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements Applicable to Small and Large Quantity Generators,S  ,09/09/1994,11/15/1994,10/07/1994
GAD003300969,GA,262.A,Standards Applicable to Generators of HW: General,S  ,09/09/1994,11/15/1994,10/07/1994
GAD003302064,GA,264.H,Standards for Owners and Operators of HW TSDs: Financial Requirements,S  ,08/28/1986,10/17/1986,
GAD003299526,GA,264.J,Standards for Owners and Operators of HW TSDs: Tank Systems,S  ,06/15/1993,12/15/1993,
GAD003299526,GA,264.B,Standards for Owners and Operators of HW TSDs: General Facility Standards,S  ,06/15/1993,01/11/1994,
GAD984322727,GA,262.B,Standards Applicable to Generators of HW: Manifest Requirements Applicable to Small and Large Quantity Generators,S  ,05/12/1995,12/31/1996,
GAD000823096,GA,264.I,Standards for Owners and Operators of HW TSDs: Use and Management of Containers,S  ,07/02/1993,07/02/1993,
GAD991275900,GA,264.A,Standards for Owners and Operators of HW TSDs: General,S  ,01/09/1985,09/28/1987,
GAD991275900,GA,265.F,Interim Status Standards for Owners and Operators of HW TSDs: Ground-Water Monitoring,S  ,08/18/1988,12/21/1988,
GAD061022216,GA,264.B,Standards for Owners and Operators of HW TSDs: General Facility Standards,S  ,08/24/1995,10/02/1995,
GAD033582461,GA,264.J,Standards for Owners and Operators of HW TSDs: Tank Systems,S  ,12/30/1996,07/31/1997,
GAD093380814,GA,264.I,Standards for Owners and Operators of HW TSDs: Use and Management of Containers,S  ,05/06/1996,10/10/1997,
GAD092375260,GA,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements Applicable to Small and Large Quantity Generators,S  ,03/16/1995,05/03/1995,04/17/1995
GAD054202916,GA,262.A,Standards Applicable to Generators of HW: General,S  ,06/01/1989,01/02/1990,12/15/1989
GAD003308145,GA,264.I,Standards for Owners and Operators of HW TSDs: Use and Management of Containers,S  ,04/23/1996,09/06/1996,05/23/1996
GAD003297959,GA,265.F,Interim Status Standards for Owners and Operators of HW TSDs: Ground-Water Monitoring,S  ,10/30/1985,02/12/1988,
GAD000827410,GA,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements Applicable to Small and Large Quantity Generators,S  ,09/30/1991,11/15/1994,11/25/1991
GAD075942706,GA,262.B,Standards Applicable to Generators of HW: Manifest Requirements Applicable to Small and Large Quantity Generators,S  ,06/29/1994,07/27/1995,
GAD980559686,GA,262.A,Standards Applicable to Generators of HW: General,S  ,03/07/1984,10/24/1984,
GAD033590514,GA,266.H,Standards for the Management of Specific HW and Specific Types of HW Management Facilities: Hazardous Waste Burned in Boilers and Industrial Furnaces,S  ,11/01/1995,09/03/1996,09/25/2003
GAD033590514,GA,266.H,Standards for the Management of Specific HW and Specific Types of HW Management Facilities: Hazardous Waste Burned in Boilers and Industrial Furnaces,S  ,11/01/1995,09/03/1996,11/30/1995
GAD042125146,GA,264.B,Standards for Owners and Operators of HW TSDs: General Facility Standards,S  ,03/02/1994,03/28/1994,
GAD051034387,GA,264.H,Standards for Owners and Operators of HW TSDs: Financial Requirements,S  ,01/06/1986,02/03/1986,
GAD058489899,GA,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements Applicable to Small and Large Quantity Generators,S  ,06/29/1994,08/05/1994,
GAD058489899,GA,268.A,Land Disposal Restrictions: General,S  ,06/22/1998,11/16/1998,
GAD000226431,GA,264.A,Standards for Owners and Operators of HW TSDs: General,S  ,10/30/1987,02/18/1988,
GAD070330576,GA,265.F,Interim Status Standards for Owners and Operators of HW TSDs: Ground-Water Monitoring,S  ,10/04/1993,03/18/1994,12/28/1993
GAD051021285,GA,262.D,Standards Applicable to Recordkeeping and Reporting Applicable to Small and Large Quantity Generators,S  ,10/31/1991,01/10/1992,
GAD003266962,GA,262.A,Standards Applicable to Generators of HW: General,S  ,12/18/1984,07/11/1986,
GAD981226632,GA,262.A,Standards Applicable to Generators of HW: General,S  ,09/23/1994,10/27/1994,
GAD064494040,GA,264.A,Standards for Owners and Operators of HW TSDs: General,S  ,04/12/1990,04/23/1990,
GAD064494040,GA,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements Applicable to Small and Large Quantity Generators,S  ,01/20/1995,02/16/1995,
GAD067560870,GA,264.A,Standards for Owners and Operators of HW TSDs: General,S  ,03/20/1991,05/22/1991,05/18/1991
GAD065344301,GA,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements Applicable to Small and Large Quantity Generators,S  ,12/15/1995,01/10/1996,
GAD131327546,GA,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements Applicable to Small and Large Quantity Generators,S  ,06/14/1995,04/30/1996,08/14/1995
GAD093380814,GA,264.J,Standards for Owners and Operators of HW TSDs: Tank Systems,S  ,06/14/1993,07/30/1993,
GAD033582461,GA,263.A,Standards Applicable to Transporters of HW: General,S  ,02/05/1998,04/21/1998,04/06/1998
GAD073460941,GA,264.I,Standards for Owners and Operators of HW TSDs: Use and Management of Containers,E  ,06/29/1999,06/29/1999,
GAD073460941,GA,270.B,EPA Administered Permit Programs: the HW Permit Program Permit Application,E  ,03/21/1996,04/21/1998,
GAD109262345,GA,262.A,Standards Applicable to Generators of HW: General,S  ,02/06/1985,06/11/1985,04/12/1985
GAD075876623,GA,264.D,Standards for Owners and Operators of HW TSDs: Contingency Plan and Emergency Procedures,S  ,07/16/1991,08/12/1991,08/13/1991
GAD069221554,GA,262.A,Standards Applicable to Generators of HW: General,S  ,08/23/1995,02/28/1996,
GAD060662301,GA,262.B,Standards Applicable to Generators of HW: Manifest Requirements Applicable to Small and Large Quantity Generators,S  ,05/04/1992,07/17/1992,06/19/1992
GAD981258148,GA,262.A,Standards Applicable to Generators of HW: General,S  ,09/23/1991,08/10/1994,11/01/1991
GAD981224942,GA,264.G,Standards for Owners and Operators of HW TSDs: Closure and Post-Closure,S  ,11/17/1995,01/13/1996,01/12/1996
GAD033689282,GA,262.A,Standards Applicable to Generators of HW: General,S  ,06/30/1992,12/28/1992,09/04/1992
GAD033842543,GA,264.A,Standards for Owners and Operators of HW TSDs: General,S  ,06/06/1985,07/02/1985,
GAD981233935,GA,264.B,Standards for Owners and Operators of HW TSDs: General Facility Standards,S  ,09/26/1995,10/06/1995,10/30/1995
GAD098583909,GA,264.B,Standards for Owners and Operators of HW TSDs: General Facility Standards,S  ,12/22/1995,07/30/1996,
GAD130787625,GA,262.A,Standards Applicable to Generators of HW: General,S  ,08/29/1990,06/29/1992,11/19/1990
GAD131327546,GA,262.A,Standards Applicable to Generators of HW: General,S  ,02/02/1989,06/29/1989,06/30/1989
GAD981219694,GA,262.A,Standards Applicable to Generators of HW: General,S  ,12/12/1997,03/23/1998,02/16/1998
GAD010122364,GA,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements Applicable to Small and Large Quantity Generators,S  ,05/03/1994,06/06/1994,
GAD067560870,GA,264.G,Standards for Owners and Operators of HW TSDs: Closure and Post-Closure,S  ,11/09/1984,06/27/1986,
GAD003305125,GA,262.B,Standards Applicable to Generators of HW: Manifest Requirements Applicable to Small and Large Quantity Generators,S  ,01/08/1999,03/24/1999,
GAD000828269,GA,264.D,Standards for Owners and Operators of HW TSDs: Contingency Plan and Emergency Procedures,S  ,03/17/1992,06/26/1992,03/30/1992
GAD980844252,GA,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements Applicable to Small and Large Quantity Generators,S  ,01/18/1995,01/18/1995,02/18/1995
GAD095837340,GA,262.A,Standards Applicable to Generators of HW: General,S  ,05/21/1984,03/21/1985,
GAD095810156,GA,262.A,Standards Applicable to Generators of HW: General,S  ,07/16/1991,01/31/1992,09/25/1991
GAD980842777,GA,268.A,Land Disposal Restrictions: General,S  ,08/06/1993,10/08/1993,
GAD980709257,GA,268.A,Land Disposal Restrictions: General,S  ,06/01/1996,06/24/1996,
GAD000616367,GA,264.B,Standards for Owners and Operators of HW TSDs: General Facility Standards,S  ,04/08/1993,06/22/1993,05/09/1993
GAD000612937,GA,262.A,Standards Applicable to Generators of HW: General,S  ,04/18/1989,06/23/1989,06/23/1989
GAD003326477,GA,264.H,Standards for Owners and Operators of HW TSDs: Financial Requirements,E  ,02/26/1991,05/21/1991,
GAD004065520,GA,264.H,Standards for Owners and Operators of HW TSDs: Financial Requirements,S  ,04/27/1983,05/11/1983,05/15/1983
GAD003299526,GA,264.I,Standards for Owners and Operators of HW TSDs: Use and Management of Containers,S  ,09/25/1992,11/25/1992,
GAD003981446,GA,262.A,Standards Applicable to Generators of HW: General,S  ,05/20/1987,04/15/1988,
GAD003323805,GA,265.B,Interim Status Standards for Owners and Operators of HW TSDs: General Facility Standards,S  ,09/07/2016,10/07/2016,
GAD981271554,GA,273.B,Standards for Universal Waste Management: Standards for Small Quantity Handlers ,S  ,09/16/2016,11/22/2016,11/26/2016
GAD000821934,GA,262.A,Standards Applicable to Generators of HW: General,S  ,04/06/2001,06/18/2001,
GAD980847479,GA,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements Applicable to Small and Large Quantity Generators,S  ,04/18/2001,07/03/2001,06/29/2001
GAD033870585,GA,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements Applicable to Small and Large Quantity Generators,S  ,11/09/2000,02/06/2001,01/19/2001
GAR000015339,GA,262.A,Standards Applicable to Generators of HW: General,S  ,01/26/2018,03/13/2018,03/09/2018
GAD051011609,GA,270.B,EPA Administered Permit Programs: the HW Permit Program Permit Application,S  ,06/23/2017,06/06/2018,02/23/2018
GAR000006072,GA,268.A,Land Disposal Restrictions: General,S  ,12/03/2009,01/13/2010,01/15/2010
GAR000019893,GA,265.I,Interim Status Standards for Owners and Operators of HW TSDs: Use and Management of Containers,S  ,10/24/2008,02/27/2009,03/02/2009
GAD003282803,GA,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements Applicable to Small and Large Quantity Generators,S  ,09/16/2009,09/17/2009,
GAR000016485,GA,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements Applicable to Small and Large Quantity Generators,S  ,06/09/2009,08/21/2009,07/27/2009
GAD981253313,GA,273.B,Standards for Universal Waste Management: Standards for Small Quantity Handlers ,S  ,01/16/2009,05/28/2009,02/28/2009
GAR000017020,GA,262.B,Standards Applicable to Generators of HW: Manifest Requirements Applicable to Small and Large Quantity Generators,S  ,02/14/2001,01/24/2002,
GAR000009670,GA,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements Applicable to Small and Large Quantity Generators,S  ,03/08/2001,06/01/2001,06/01/2001
GAD981273659,GA,262.A,Standards Applicable to Generators of HW: General,S  ,09/18/2001,04/30/2002,05/30/2002
GAD042869057,GA,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements Applicable to Small and Large Quantity Generators,S  ,12/04/2001,12/12/2001,01/14/2002
GAD084914787,GA,262.A,Standards Applicable to Generators of HW: General,S  ,09/28/2001,10/23/2001,12/03/2001
GAD033842543,GA,264.A,Standards for Owners and Operators of HW TSDs: General,S  ,07/27/2000,06/26/2001,
GAR000005991,GA,262.A,Standards Applicable to Generators of HW: General,S  ,12/18/2001,05/14/2002,04/14/2002
GAR000011494,GA,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements Applicable to Small and Large Quantity Generators,S  ,11/30/2001,12/20/2001,01/14/2002
GAR000017186,GA,262.A,Standards Applicable to Generators of HW: General,S  ,11/13/2002,12/31/2002,12/23/2002
GAD984309609,GA,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements Applicable to Small and Large Quantity Generators,S  ,10/03/2002,01/03/2003,12/23/2002
GAD984285445,GA,262.A,Standards Applicable to Generators of HW: General,S  ,08/08/2002,08/22/2003,03/14/2003
GAR000030486,GA,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements Applicable to Small and Large Quantity Generators,S  ,03/20/2003,06/02/2003,06/19/2003
GA0001038090,GA,262.A,Standards Applicable to Generators of HW: General,S  ,08/27/2003,10/14/2003,10/12/2003
GAD000649145,GA,266.H,Standards for the Management of Specific HW and Specific Types of HW Management Facilities: Hazardous Waste Burned in Boilers and Industrial Furnaces,S  ,12/10/2002,01/27/2003,01/31/2003
GAD003310810,GA,268.A,Land Disposal Restrictions: General,S  ,08/30/2002,10/20/2003,
GAD981216674,GA,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements Applicable to Small and Large Quantity Generators,S  ,12/20/2002,05/09/2003,
GAR000012617,GA,262.A,Standards Applicable to Generators of HW: General,S  ,12/16/2003,04/21/2004,04/12/2004
GAR000022723,GA,262.A,Standards Applicable to Generators of HW: General,S  ,10/16/2003,06/29/2004,
GAR000031534,GA,262.D,Standards Applicable to Recordkeeping and Reporting Applicable to Small and Large Quantity Generators,S  ,01/15/2004,01/22/2004,
GAR000025114,GA,262.A,Standards Applicable to Generators of HW: General,S  ,01/15/2004,03/25/2004,
GAD981260151,GA,262.A,Standards Applicable to Generators of HW: General,S  ,08/26/2004,08/26/2004,
GAR000014092,GA,262.A,Standards Applicable to Generators of HW: General,S  ,10/07/2003,11/18/2003,12/05/2003
GAD003300878,GA,262.D,Standards Applicable to Recordkeeping and Reporting Applicable to Small and Large Quantity Generators,S  ,01/22/2004,03/24/2004,03/24/2004
GAD984321976,GA,262.A,Standards Applicable to Generators of HW: General,S  ,12/22/2003,01/16/2004,02/05/2004
GAD981251028,GA,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements Applicable to Small and Large Quantity Generators,S  ,01/15/2004,11/16/2004,11/22/2004
GAD085418663,GA,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements Applicable to Small and Large Quantity Generators,E  ,05/25/2005,06/07/2005,
GAD070330576,GA,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements Applicable to Small and Large Quantity Generators,S  ,08/19/2010,11/12/2010,11/08/2010
GAD073460941,GA,264.B,Standards for Owners and Operators of HW TSDs: General Facility Standards,S  ,09/29/2004,12/17/2004,
GAD070330576,GA,262.A,Standards Applicable to Generators of HW: General,S  ,06/01/2005,08/19/2005,
GAR000007484,GA,263.B,Standards Applicable to Transporters of HW: Compliance with the Manifest System and Recordkeeping,S  ,05/17/2005,08/02/2006,
GA0210020046,GA,262.A,Standards Applicable to Generators of HW: General,S  ,07/26/2005,09/09/2005,
GAD981267735,GA,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements Applicable to Small and Large Quantity Generators,S  ,11/17/2005,11/23/2005,
GAD984303966,GA,262.A,Standards Applicable to Generators of HW: General,S  ,05/09/2006,05/15/2007,
GAD000616367,GA,264.I,Standards for Owners and Operators of HW TSDs: Use and Management of Containers,S  ,09/27/2002,04/18/2003,
GAD984320275,GA,265.I,Interim Status Standards for Owners and Operators of HW TSDs: Use and Management of Containers,S  ,05/04/2006,12/21/2006,12/04/2006
GAD984291351,GA,279.C,Standards for Used Oil: Generators,S  ,02/07/2007,02/22/2008,
GAR000034835,GA,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements Applicable to Small and Large Quantity Generators,S  ,01/18/2007,02/28/2007,
GAD003280427,GA,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements Applicable to Small and Large Quantity Generators,S  ,03/07/2007,06/13/2007,
GAD003280427,GA,265.I,Interim Status Standards for Owners and Operators of HW TSDs: Use and Management of Containers,S  ,03/07/2007,06/13/2007,
GAD061022216,GA,264.F,Standards for Owners and Operators of HW TSDs: Releases from Solid Waste Management Units,S  ,02/27/2007,07/13/2007,
GAR000048827,GA,279.C,Standards for Used Oil: Generators,S  ,06/19/2006,02/01/2007,
GAR000048736,GA,262.A,Standards Applicable to Generators of HW: General,S  ,01/30/2007,05/15/2007,03/16/2007
GAR000023291,GA,262.A,Standards Applicable to Generators of HW: General,S  ,06/15/2005,09/29/2005,09/30/2005
GAR000045880,GA,273.B,Standards for Universal Waste Management: Standards for Small Quantity Handlers ,S  ,05/16/2007,07/31/2007,08/03/2007
GAR000035428,GA,265.I,Interim Status Standards for Owners and Operators of HW TSDs: Use and Management of Containers,S  ,01/25/2007,06/28/2007,
GAD981279045,GA,265.C,Interim Status Standards for Owners and Operators of HW TSDs: Preparedness and Prevention,S  ,10/25/2006,12/21/2006,
GAR000042911,GA,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements Applicable to Small and Large Quantity Generators,S  ,02/11/2008,03/06/2008,03/26/2008
GAD065367781,GA,262.D,Standards Applicable to Recordkeeping and Reporting Applicable to Small and Large Quantity Generators,S  ,06/22/2007,09/10/2007,09/10/2007
GAR000034033,GA,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements Applicable to Small and Large Quantity Generators,S  ,05/22/2007,07/25/2007,07/24/2007
GAD981268295,GA,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements Applicable to Small and Large Quantity Generators,E  ,04/27/2009,11/08/2009,
GAD051021285,GA,FEA,Violation of a formal enforcement agreement or order. (3008(a) or 3013),S  ,07/13/2010,07/21/2010,
GAD010103232,GA,XXS,State Statutory or Regulatory requirements that are broader-in-scope than the federal RCRA requirements,S  ,08/14/2017,09/02/2017,
GAR000029520,GA,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements Applicable to Small and Large Quantity Generators,S  ,08/10/2016,09/28/2017,
GA0210020368,GA,273.C,Standards for Universal Waste Management: Standards for Large Quantity Handlers ,S  ,07/18/2017,07/18/2017,
GAR000042994,GA,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements Applicable to Small and Large Quantity Generators,S  ,02/20/2008,04/25/2008,04/25/2008
GAD041007063,GA,262.B,Standards Applicable to Generators of HW: Manifest Requirements Applicable to Small and Large Quantity Generators,S  ,03/25/2010,06/24/2010,
GAR000054809,GA,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements Applicable to Small and Large Quantity Generators,S  ,12/08/2010,02/02/2011,02/07/2011
GAR000013656,GA,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements Applicable to Small and Large Quantity Generators,S  ,07/14/2010,09/29/2010,08/27/2010
GAR000030759,GA,265.I,Interim Status Standards for Owners and Operators of HW TSDs: Use and Management of Containers,S  ,01/22/2008,04/14/2008,03/07/2008
GAR000039719,GA,265.I,Interim Status Standards for Owners and Operators of HW TSDs: Use and Management of Containers,S  ,02/07/2008,03/20/2008,03/19/2008
GA0002330645,GA,268.A,Land Disposal Restrictions: General,S  ,03/20/2008,05/05/2008,04/18/2008
GAD109263467,GA,279.C,Standards for Used Oil: Generators,S  ,02/01/2012,06/05/2012,
GAD063152573,GA,265.I,Interim Status Standards for Owners and Operators of HW TSDs: Use and Management of Containers,S  ,01/11/2012,07/27/2012,
GAD075876623,GA,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements Applicable to Small and Large Quantity Generators,S  ,06/14/2012,07/20/2012,06/19/2012
GAD981251028,GA,279.C,Standards for Used Oil: Generators,S  ,02/23/2012,04/09/2012,04/12/2012
GAD980729974,GA,273.B,Standards for Universal Waste Management: Standards for Small Quantity Handlers ,S  ,03/14/2012,05/08/2012,05/15/2012
GAD003275468,GA,268.D,Land Disposal Restrictions: Treatment Standards,S  ,10/28/2009,12/10/2009,01/11/2010
GAD003305307,GA,265.D,Interim Status Standards for Owners and Operators of HW TSDs: Contingency Plan and Emergency Procedures,S  ,03/12/2009,05/15/2009,05/15/2009
GAD075942706,GA,264.D,Standards for Owners and Operators of HW TSDs: Contingency Plan and Emergency Procedures,S  ,02/17/2009,03/03/2009,
GAR000002832,GA,262.D,Standards Applicable to Recordkeeping and Reporting Applicable to Small and Large Quantity Generators,S  ,07/22/2009,10/08/2009,09/16/2009
GAR000014001,GA,265.C,Interim Status Standards for Owners and Operators of HW TSDs: Preparedness and Prevention,S  ,06/10/2009,07/27/2009,07/28/2009
GA0000135442,GA,279.C,Standards for Used Oil: Generators,S  ,03/11/2008,05/05/2008,05/05/2008
GAD984297838,GA,273.B,Standards for Universal Waste Management: Standards for Small Quantity Handlers ,S  ,02/20/2009,05/14/2009,04/16/2009
GA7170023694,GA,PCR,Violation of a permit condition or requirement,S  ,04/15/2014,04/15/2014,
GAR000051219,GA,262.A,Standards Applicable to Generators of HW: General,S  ,02/09/2011,12/22/2011,
GAR000052977,GA,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements Applicable to Small and Large Quantity Generators,S  ,06/19/2008,09/25/2008,
GAD981270572,GA,265.D,Interim Status Standards for Owners and Operators of HW TSDs: Contingency Plan and Emergency Procedures,S  ,05/10/2011,05/25/2011,06/27/2011
GAD000608000,GA,262.B,Standards Applicable to Generators of HW: Manifest Requirements Applicable to Small and Large Quantity Generators,S  ,05/27/2011,07/11/2011,07/11/2011
GAD084914787,GA,PCR,Violation of a permit condition or requirement,S  ,07/15/2011,02/29/2012,
GAR000021683,GA,273.B,Standards for Universal Waste Management: Standards for Small Quantity Handlers ,S  ,07/27/2011,12/20/2011,12/28/2011
GAD981224488,GA,279.C,Standards for Used Oil: Generators,S  ,08/04/2011,09/02/2011,09/12/2011
GAR000017186,GA,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements Applicable to Small and Large Quantity Generators,S  ,06/09/2011,08/29/2011,07/22/2011
GAR000062372,GA,279.C,Standards for Used Oil: Generators,E  ,07/15/2011,08/12/2011,
GAR000026013,GA,265.I,Interim Status Standards for Owners and Operators of HW TSDs: Use and Management of Containers,S  ,12/09/2009,01/21/2010,01/20/2010
GAD066469321,GA,262.A,Standards Applicable to Generators of HW: General,S  ,01/14/2010,08/08/2011,02/03/2011
GA0000999805,GA,265.C,Interim Status Standards for Owners and Operators of HW TSDs: Preparedness and Prevention,E  ,10/20/2014,11/01/2016,
GAD981248123,GA,265.D,Interim Status Standards for Owners and Operators of HW TSDs: Contingency Plan and Emergency Procedures,S  ,10/20/2009,12/15/2009,12/17/2009
GAR000074849,GA,XXS,State Statutory or Regulatory requirements that are broader-in-scope than the federal RCRA requirements,S  ,03/15/2015,02/12/2016,
GAD980842777,GA,263.B,Standards Applicable to Transporters of HW: Compliance with the Manifest System and Recordkeeping,S  ,07/21/2008,12/30/2008,
GAR000047878,GA,262.A,Standards Applicable to Generators of HW: General,E  ,12/21/2007,10/21/2008,
GAD042710590,GA,265.D,Interim Status Standards for Owners and Operators of HW TSDs: Contingency Plan and Emergency Procedures,S  ,11/12/2008,12/01/2008,12/22/2008
GAD984307264,GA,265.I,Interim Status Standards for Owners and Operators of HW TSDs: Use and Management of Containers,S  ,02/25/2009,05/18/2009,
GAD981244395,GA,279.C,Standards for Used Oil: Generators,S  ,02/12/2015,07/17/2015,04/13/2015
GAR000049395,GA,273.B,Standards for Universal Waste Management: Standards for Small Quantity Handlers ,S  ,10/30/2012,01/14/2013,01/14/2013
GAR000063081,GA,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements Applicable to Small and Large Quantity Generators,S  ,05/04/2015,09/21/2015,09/21/2015
GAD093380814,GA,PCR,Violation of a permit condition or requirement,S  ,02/11/2015,06/12/2015,
GAR000041053,GA,279.C,Standards for Used Oil: Generators,E  ,07/27/2015,03/23/2016,
GA4170090001,GA,XXS,State Statutory or Regulatory requirements that are broader-in-scope than the federal RCRA requirements,S  ,08/12/2015,01/27/2016,
GAD075930982,GA,279.C,Standards for Used Oil: Generators,S  ,06/07/2011,02/16/2012,01/31/2012
GAD980838635,GA,XXS,State Statutory or Regulatory requirements that are broader-in-scope than the federal RCRA requirements,S  ,08/30/2012,03/01/2013,03/15/2013
GAD003306750,GA,279.C,Standards for Used Oil: Generators,E  ,09/21/2017,10/11/2017,
GAR000010181,GA,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements Applicable to Small and Large Quantity Generators,S  ,07/21/2011,09/19/2011,09/23/2011
GAD003306750,GA,265.I,Interim Status Standards for Owners and Operators of HW TSDs: Use and Management of Containers,E  ,09/21/2017,10/11/2017,
GAR000010504,GA,XXS,State Statutory or Regulatory requirements that are broader-in-scope than the federal RCRA requirements,S  ,11/15/2011,03/13/2012,
