2020 Census Tract,Environmental Health Index,Transit Access Index,Percent of Population Above the Poverty Level,Median Income,Jobs Proximity Index,GEOID,pool,above_median_Environmental Health Index,above_median_Transit Access Index,above_median_Percent of Population Above the Poverty Level,above_median_Median Income,above_median_Jobs Proximity Index
13015960804,0.43648519579751677,0.5664375715922108,90.4,92446.0,0.5748838444092932,13015960804,other metro,1,0,1,1,0
13015960805,0.35816618911174786,0.6428571428571428,80.3,46793.0,0.5772278071332808,13015960805,other metro,0,1,0,0,0
13015960901,0.40210124164278893,0.5904925544100802,93.4,86786.0,0.5742982148621177,13015960901,other metro,0,0,1,1,0
13015960902,0.4565425023877746,0.5509736540664376,90.5,73429.0,0.5722700009496051,13015960902,other metro,1,0,1,1,0
13015961001,0.5482330468003821,0.555923744068074,96.2,95739.0,0.5713954145630813,13015961001,other metro,1,0,1,1,0
13015961002,0.5854823304680038,0.4858861070201276,90.9,58079.0,0.5711708670710917,13015961002,other metro,1,0,1,0,0
13017960100,0.787010506208214,0.4427671412207494,76.0,46825.0,0.33333333333333337,13017960100,other metro,1,0,0,0,0
13017960200,0.8290353390639923,0.49537718867615776,76.1,66949.0,0.0,13017960200,other metro,1,0,0,1,0
13017960300,0.6427889207258835,0.5546146293568974,79.7,39205.0,0.3504739839628764,13017960300,rural,0,1,0,0,0
13017960400,0.5854823304680038,0.6116838487972508,61.5,28217.0,0.4298346025872122,13017960400,other metro,1,1,0,0,0
13017960501,0.6351480420248329,0.47471772214040253,71.9,27055.0,0.8245198906061975,13017960501,other metro,1,0,0,0,1
13017960502,0.5721107927411652,0.5951562755686466,82.1,34489.0,0.6922378246230279,13017960502,other metro,1,0,0,0,1
13019970100,0.7659980897803247,0.5049500900016364,75.7,47813.0,0.6137589873701962,13019970100,other metro,1,0,0,0,1
13019970200,0.7784145176695321,0.473572246768123,71.3,40881.0,0.6507373515286834,13019970200,other metro,1,0,0,0,1
13019970300,0.7048710601719198,0.5240140729831451,90.4,43910.0,0.5811036272224468,13019970300,rural,1,0,1,0,1
13019970400,0.6857688634192932,0.5659057437407953,77.1,42200.0,0.622156823067709,13019970400,other metro,1,0,0,0,1
13019970500,0.7230181470869149,0.5639829815087547,81.8,48081.0,0.568270390292387,13019970500,rural,1,1,0,0,0
13019970600,0.7459407831900668,0.5107183766977581,78.4,57713.0,0.5542881052628619,13019970600,other metro,1,0,0,0,0
13021010100,0.1680993314231137,0.7212403861888397,33.5,12311.0,0.7438818425863897,13021010100,other metro,0,1,0,0,1
13021010200,0.17000955109837626,0.736090656193749,75.3,26729.0,0.6852625111786439,13021010200,other metro,0,1,0,0,1
13021010400,0.15472779369627507,0.6315251186385207,59.6,20455.0,0.703082605942284,13021010400,other metro,0,1,0,0,1
13021010500,0.2196752626552054,0.7498363606611029,43.5,13728.0,0.7243344994131281,13021010500,other metro,0,1,0,0,1
13021010800,0.1518624641833811,0.6913762068401244,67.6,24042.0,0.826696754002942,13021010800,other metro,0,1,0,0,1
13021011001,0.19197707736389685,0.6566437571592211,56.7,25304.0,0.6762182904210946,13021011001,other metro,0,1,0,0,1
13021011002,0.393505253104107,0.6233431516936672,80.0,,0.6379748372940217,13021011002,other metro,0,1,0,0,1
13021011100,0.21394460362941745,0.6351660939289805,31.900000000000006,16140.0,0.7131003622611535,13021011100,other metro,0,1,0,0,1
13021011500,0.14040114613180515,0.6660530191458027,39.1,12083.0,0.779565295839421,13021011500,other metro,0,1,0,0,1
13021011701,0.3753581661891118,0.6163066601210931,60.2,33953.0,0.65327685652357,13021011701,other metro,0,1,0,0,1
13021011702,0.35339063992359127,0.5892652593683521,68.1,38194.0,0.6747259372125549,13021011702,other metro,0,0,0,0,1
13021011800,0.2301814708691499,0.6515300278186876,86.0,58229.0,0.6276554566872978,13021011800,other metro,0,1,0,0,1
13021011900,0.19006685768863413,0.572901325478645,91.7,57692.0,0.6597526442696552,13021011900,other metro,0,0,1,0,1
13021012000,0.21012416427889202,0.5862788414334805,93.5,71813.0,0.632700745728618,13021012000,other metro,0,0,1,1,1
13021012101,0.28844317096466093,0.6137293405334642,72.4,73158.0,0.6084191279025127,13021012101,other metro,0,1,0,1,1
13021012102,0.3037249283667622,0.6377843233513336,89.3,63340.0,0.6065693289177212,13021012102,other metro,0,1,1,1,1
13021012200,0.25883476599808974,0.6167157584683358,67.9,30253.0,0.6005588668707773,13021012200,other metro,0,1,0,0,1
13021012400,0.28175740210124167,0.6381934216985763,45.8,25068.0,0.6343675537550921,13021012400,other metro,0,1,0,0,1
13021012500,0.20630372492836677,0.6504254622811323,61.0,,0.6256408340184497,13021012500,other metro,0,1,0,0,1
