amenity_key,google_type,place_id,name,lat,lon,types,vicinity,business_status
public_park,park,ChIJCxDBVQps9YgR4gMukcWMeQo,Blue Frog Imports,34.100811,-84.5199,park|store|point_of_interest|establishment,"8608 Main Street, Woodstock",OPERATIONAL
public_park,park,ChIJZSJ2Jkxr9YgR-7n34GZSk1w,"Noonday Creek Trail, Woodstock, GA",34.10034570000001,-84.5210714,park|point_of_interest|establishment,"111 Elm Street, Woodstock",OPERATIONAL
public_park,park,ChIJdcpz7_Rt9YgRcDp1CstRG84,Depot Square at City Center,34.1006506,-84.5191439,park|point_of_interest|establishment,"513 Chambers Street, Woodstock",OPERATIONAL
public_park,park,ChIJAYX-oWdt9YgRzWduiEfEfNs,Springfield Park,34.09086240000001,-84.5097525,park|point_of_interest|establishment,"423 Springfield Drive, Woodstock",OPERATIONAL
public_park,park,ChIJOwUBwr1r9YgRRVAvqzjFUYw,Ebenezer Downs Park,34.0488306,-84.5255906,park|point_of_interest|establishment,"4076-4150 Ebenezer Road Northeast, Marietta",OPERATIONAL
public_park,park,ChIJt0tEIM9r9YgRvqAHOeikWGU,The Hickory Haven,34.0622602,-84.5981424,park|point_of_interest|establishment,"1648 Hickory Grove Road Northwest, Kennesaw",OPERATIONAL
public_park,park,ChIJd-zbMKJr9YgR1y7cfaKfTBU,The Hickory House Boys,34.0622592,-84.5981425,park|point_of_interest|establishment,"1648 Hickory Grove Road Northwest, Kennesaw",OPERATIONAL
library,library,ChIJUfQg7pZq9YgRQclqE_qEsCE,Summerall Research Services,34.0615366,-84.5907632,library|point_of_interest|establishment,"4430 Wade Green Road Northwest, Kennesaw",OPERATIONAL
library,library,ChIJydRnNl5t9YgRAJYBq03xw4Q,Noonday Creek Trail Windmill Free Library,34.10053920000001,-84.5216446,library|point_of_interest|establishment,"809 Market Street, Woodstock",OPERATIONAL
library,library,ChIJ8TDTQQRs9YgRRr7iNDLi4cs,Woodstock Library,34.11280249999999,-84.5145641,library|point_of_interest|establishment,"7735 Main Street, Woodstock",OPERATIONAL
fire_police_station,fire_station,ChIJcU9psgts9YgRCY56A0_7bNY,Woodstock Fire Department,34.10174319999999,-84.5097418,fire_station|point_of_interest|establishment,"225 Arnold Mill Road, Woodstock",OPERATIONAL
fire_police_station,fire_station,ChIJY80OtUBq9YgRk6149DhWkB4,Cherokee County Fire & Emergency Services Station 1,34.0990255,-84.5799023,fire_station|point_of_interest|establishment,"100 Old Bascomb Court, Acworth",OPERATIONAL
fire_police_station,fire_station,ChIJgwGCtDpr9YgRZ2xUo2kCCeU,Cobb County Fire Station 16,34.0449967,-84.5535251,fire_station|point_of_interest|establishment,"3800 Bells Ferry Road, Kennesaw",OPERATIONAL
bank,bank,ChIJSUIPFY5r9YgRgrc2rfquSZQ,Synovus Bank,34.088111,-84.530617,bank|atm|finance|point_of_interest|establishment,"200 Parkway 575, Woodstock",OPERATIONAL
bank,bank,ChIJn2B7I9Br9YgRgBz6APREkbU,Credit Union of Georgia,34.11151869999999,-84.5577591,atm|bank|finance|point_of_interest|establishment,"3048 Eagle Drive, Woodstock",OPERATIONAL
bank,bank,ChIJYZHmHCNq9YgR2RvaGwRXado,PNC Bank,34.11263999999999,-84.58145,bank|atm|finance|point_of_interest|establishment,"6430 Bells Ferry Road, Woodstock",OPERATIONAL
bank,bank,ChIJ09TJmm9s9YgR_-HXEojCpvs,First Horizon Bank,34.0871376,-84.5096858,bank|atm|finance|point_of_interest|establishment,"100 Springfield Drive, Woodstock",OPERATIONAL
bank,bank,ChIJAzfyCMJr9YgRKV0lkhAiiwg,Bank of America (with Drive-thru ATM),34.1060134,-84.543719,bank|finance|point_of_interest|establishment,"1550 Towne Lake Parkway, Woodstock",OPERATIONAL
bank,bank,ChIJCYid45Zq9YgR7rp05d4Vj7g,Chase Bank,34.06217699999999,-84.591927,bank|atm|finance|point_of_interest|establishment,"4490 Wade Green Road Northwest, Kennesaw",OPERATIONAL
bank,bank,ChIJKW9GBMVr9YgR1ttPRFKEHuw,Wells Fargo Bank,34.1080581,-84.5515484,bank|atm|finance|point_of_interest|establishment,"2025 Towne Lake Parkway, Woodstock",OPERATIONAL
bank,bank,ChIJbxo8_c9r9YgRF5adamWyvTA,Chase Bank,34.110431,-84.5544947,bank|atm|finance|point_of_interest|establishment,"3098 Eagle Drive, Woodstock",OPERATIONAL
bank,bank,ChIJK2LeVpZq9YgRNMhUGUdn5LM,Bank of America (with Drive-thru ATM),34.0602057,-84.5920346,bank|finance|point_of_interest|establishment,"4400 Wade Green Road, Kennesaw",OPERATIONAL
bank,bank,ChIJH4KM24dr9YgRP-0ki5XBkAc,Truist,34.086589,-84.5238358,bank|atm|insurance_agency|finance|point_of_interest|establishment,"9863 Georgia 92, Woodstock",OPERATIONAL
bank,bank,ChIJ-U9O0tFr9YgR3gPvAL_-C8Y,First Citizens Bank,34.1112348,-84.5564961,bank|finance|point_of_interest|establishment,"3060 Eagle Drive, Woodstock",OPERATIONAL
bank,bank,ChIJqXrCe-lr9YgRP78BHJv8Hg4,Truist,34.1048949,-84.540313,bank|atm|insurance_agency|finance|point_of_interest|establishment,"1450 Towne Lake Parkway, Woodstock",OPERATIONAL
bank,bank,ChIJ16Io9Ttr9YgROjziYj2i6sw,Ameris Bank,34.0846978,-84.543323,bank|finance|point_of_interest|establishment,"159 Woodstock Square Avenue, Woodstock",OPERATIONAL
bank,bank,ChIJw0NxxtFr9YgRzmLnaCdwWts,Chase Bank,34.08661309999999,-84.5246474,bank|atm|finance|point_of_interest|establishment,"9859 Georgia 92, Woodstock",OPERATIONAL
bank,bank,ChIJ1ePu_ohr9YgRjT5RfOO033k,Moncor Mortgage Bank,34.0894888,-84.5250451,bank|atm|finance|point_of_interest|establishment,"212 Creekstone Ridge, Woodstock",OPERATIONAL
bank,bank,ChIJ-R79DtBr9YgRJfPk8qtPRKs,Regions Bank,34.1114464,-84.5540527,bank|atm|finance|point_of_interest|establishment,"2255 Towne Lake Parkway, Woodstock",OPERATIONAL
bank,bank,ChIJR_9ayXNt9YgRMfkIqMuTO4g,Bank OZK,34.09843099999999,-84.5206497,bank|finance|point_of_interest|establishment,"8770 Main Street, Woodstock",OPERATIONAL
bank,bank,ChIJcU9psgts9YgRPmkmmH1rbTM,Bank Mortgage Partner First,34.1014873,-84.5193754,bank|atm|finance|point_of_interest|establishment,Woodstock,OPERATIONAL
bank,bank,ChIJkcKxi29s9YgRXZ1YqO8ZDUc,Georgia Commerce Bank,34.08715489999999,-84.5096428,bank|finance|point_of_interest|establishment,"100 Springfield Center Drive, Woodstock",OPERATIONAL
post_office,post_office,ChIJiffs-NFr9YgRs2g3BDVB6Q4,United States Postal Service,34.1103877,-84.5578194,post_office|point_of_interest|finance|establishment,"3101 Parkbrooke Circle, Woodstock",OPERATIONAL
post_office,post_office,ChIJB27MP45r9YgRiCQgVbZLM5c,United States Postal Service,34.08806829999999,-84.5328275,post_office|point_of_interest|finance|establishment,"225 Parkway 575, Woodstock",OPERATIONAL
national_big_box_store,department_store,ChIJHQChpFJs9YgR1Jdn-bjzZkQ,Walmart Supercenter,34.0841069,-84.4812443,department_store|hardware_store|bakery|grocery_or_supermarket|electronics_store|clothing_store|furniture_store|home_goods_store|food|store|point_of_interest|establishment,"12182 Georgia 92, Woodstock",OPERATIONAL
retail_store,clothing_store,ChIJvb2mxzBt9YgRAzk5N2aSF7Y,The Ivy Lane,34.0378892,-84.463405,clothing_store|store|point_of_interest|establishment,"3605 Sandy Plains Road, Marietta",OPERATIONAL
retail_store,clothing_store,ChIJIUvZe_ty9YgR34lBORAg7tA,CVS,34.061511,-84.4022643,drugstore|convenience_store|clothing_store|store|food|health|point_of_interest|establishment,"1380 Woodstock Road, Roswell",OPERATIONAL
retail_store,clothing_store,ChIJWzthZLBt9YgRnQmaJTYCSeA,Southeast Swimwear,34.08687289999999,-84.4704704,clothing_store|store|point_of_interest|establishment,"12926 Georgia 92 #500, Woodstock",OPERATIONAL
retail_store,clothing_store,ChIJo0OOII9y9YgRVg1fgKnDLTU,Fashion Finders Consignment,34.06573789999999,-84.4248573,clothing_store|store|point_of_interest|establishment,"4781 Alabama Road, Roswell",OPERATIONAL
retail_store,clothing_store,ChIJDTtm93Jt9YgRsQlWLtDx8RU,CanCovers,34.0766048,-84.4479723,clothing_store|store|point_of_interest|establishment,"128 Knotts Landing Drive, Woodstock",OPERATIONAL
retail_store,clothing_store,ChIJB1CsZbBt9YgRAunK1rNpJf8,Bridals by Madison,34.08699919999999,-84.4708896,clothing_store|store|point_of_interest|establishment,"12926 Georgia 92 Ste. 200, Woodstock",OPERATIONAL
retail_store,clothing_store,ChIJZddpUK1t9YgRLUNi-usSoo8,Uptown Cheapskate Woodstock,34.084478,-84.4798507,clothing_store|store|point_of_interest|establishment,"12184 Georgia 92 Ste A-120, Woodstock",OPERATIONAL
retail_store,clothing_store,ChIJo1zn-Ipz9YgRABc3AuCKxw0,Alterations By Natalia,34.06569699999999,-84.422792,clothing_store|store|point_of_interest|establishment,"4750 Alabama Road Ste 102, Roswell",OPERATIONAL
retail_store,clothing_store,ChIJhX4raZRz9YgRHSIxCh8vJA0,Destination Denim of Roswell,34.0629541,-84.4240752,clothing_store|store|point_of_interest|establishment,"4651 Woodstock Road Suite D3, Roswell",OPERATIONAL
