System ID,System Name,School ID,School Name,Grade Cluster,2015,2016,2017,2018,2019,15 to 16,16 to 17,18 to 19,YoY Average,Average is positive?,Average score,CCRPI Score Data Availability (years),Applicable 25th Percentile,Average Score is in Top 75%?,CCRPI Scores Qualify Under Option C?,2019 BTO Designation
606,Banks County,ALL,All Schools,M,72.3,77,81,64.4,75.2,0.065006916,0.051948052,0.167701863,0.09488561,Yes,73.98,2015-2019,65.54,Yes,Yes,
607,Barrow County,101,Apalachee High School,H,76,76.9,73.4,77,77,0.011842105,-0.045513654,0,-0.01122385,No,76.06,2015-2019,67.97,Yes,No,Within Expected Range
607,Barrow County,105,County Line Elementary School,E,75.7,76.8,83.3,76.4,81.7,0.014531044,0.084635417,0.069371728,0.056179396,Yes,78.78,2015-2019,66.04,Yes,Yes,Within Expected Range
607,Barrow County,106,Haymon-Morris Middle School,M,78,79.5,76.1,60.6,71.5,0.019230769,-0.042767296,0.179867987,0.052110487,Yes,73.14,2015-2019,65.54,Yes,Yes,Below Expected Range
607,Barrow County,113,Snodon Preparatory School,H,36.5,,,,,,,,,,,,,No,,
607,Barrow County,114,Bear Creek Middle School,M,72,73.9,84.2,82.1,74.9,0.026388889,0.139377537,-0.087697929,0.026022832,Yes,77.42,2015-2019,65.54,Yes,Yes,Below Expected Range
607,Barrow County,189,Kennedy Elementary School,E,82.9,80.9,90.5,77.1,69.9,-0.024125452,0.118665019,-0.093385214,0.000384784,Yes,80.26,2015-2019,66.04,Yes,Yes,Below Expected Range
607,Barrow County,193,Bramlett Elementary School,E,80.8,82.2,86.4,79.1,91.9,0.017326733,0.051094891,0.16182048,0.076747368,Yes,84.08,2015-2019,66.04,Yes,Yes,Beating the Odds
607,Barrow County,198,Westside Middle School,M,67.7,69.7,69.7,59.3,67.9,0.029542097,0,0.145025295,0.058189131,Yes,66.86,2015-2019,65.54,Yes,Yes,Below Expected Range
607,Barrow County,205,Bethlehem Elementary School,E,75.7,80.9,81.8,72.4,78.7,0.068692206,0.011124845,0.087016575,0.055611209,Yes,77.9,2015-2019,66.04,Yes,Yes,Within Expected Range
607,Barrow County,289,Russell Middle School,M,75.2,76.8,74.3,71.6,81.9,0.021276596,-0.032552083,0.143854749,0.044193087,Yes,75.96,2015-2019,65.54,Yes,Yes,Within Expected Range
607,Barrow County,298,Yargo Elementary School,E,76.7,71.3,80.5,71.7,75.3,-0.070404172,0.129032258,0.050209205,0.036279097,Yes,75.1,2015-2019,66.04,Yes,Yes,Below Expected Range
607,Barrow County,299,Winder Elementary School,E,,,,73.2,70.6,,,-0.035519126,-0.035519126,No,71.9,2018-2019,65.75,Yes,No,Below Expected Range
607,Barrow County,1050,Auburn Elementary School,E,60.7,76,71.4,61.5,80.9,0.252059308,-0.060526316,0.315447154,0.168993382,Yes,70.1,2015-2019,66.04,Yes,Yes,Within Expected Range
607,Barrow County,3052,Winder-Barrow High School,H,80.2,74.5,73,69.4,74.3,-0.071072319,-0.020134228,0.070605187,-0.00686712,No,74.28,2015-2019,67.97,Yes,No,Below Expected Range
607,Barrow County,4050,Holsenbeck Elementary School,E,78,72.4,85.4,71.2,82.1,-0.071794872,0.179558011,0.153089888,0.086951009,Yes,77.82,2015-2019,66.04,Yes,Yes,Within Expected Range
607,Barrow County,5050,Statham Elementary School,E,71.5,82.2,84.5,64.3,71,0.14965035,0.027980535,0.104199067,0.093943317,Yes,74.7,2015-2019,66.04,Yes,Yes,Below Expected Range
607,Barrow County,ALL,All Schools,E,75.8,76.9,82.1,66.9,77.7,0.014511873,0.067620286,0.161434978,0.081189046,Yes,75.88,2015-2019,66.04,Yes,Yes,
607,Barrow County,ALL,All Schools,H,73.3,74.5,72.2,73.8,75.8,0.016371078,-0.030872483,0.027100271,0.004199622,Yes,73.92,2015-2019,67.97,Yes,Yes,
607,Barrow County,ALL,All Schools,M,71.6,74.1,75.4,66.6,75.9,0.034916201,0.01754386,0.13963964,0.064033233,Yes,72.72,2015-2019,65.54,Yes,Yes,
608,Bartow County,101,Woodland Middle School at Euharlee,M,62.8,76.4,67.9,70.3,69,0.21656051,-0.111256545,-0.018492176,0.028937263,Yes,69.28,2015-2019,65.54,Yes,Yes,Below Expected Range
608,Bartow County,104,Clear Creek Elementary School,E,74.4,68.7,75.4,70.4,77.4,-0.076612903,0.097525473,0.099431818,0.040114796,Yes,73.26,2015-2019,66.04,Yes,Yes,Within Expected Range
608,Bartow County,105,Adairsville High School,H,63.5,66.7,68.8,72.5,68.1,0.050393701,0.031484258,-0.060689655,0.007062768,Yes,67.92,2015-2019,67.97,No,No,Below Expected Range
608,Bartow County,106,Pine Log Elementary,E,74.2,72.1,69.8,81.4,78.1,-0.028301887,-0.031900139,-0.040540541,-0.033580855,No,75.12,2015-2019,66.04,Yes,No,Within Expected Range
608,Bartow County,107,Euharlee Elementary School,E,66.2,79,80.9,66.2,82.7,0.193353474,0.024050633,0.249244713,0.155549607,Yes,75,2015-2019,66.04,Yes,Yes,Within Expected Range
