2020 Census Tract,% of rental units occupied by 80% AMI and below with Severe Housing Problems,avg_pop_yoy_growth_2018_2021,avg_emp_growth_2020_2022
13023790301,0.3500000000000,-0.005502516,0.014
13023790302,0.3076923076923,-0.005502516,0.014
13025960101,0.0000000000000,-0.00851972,0.0365
13025960102,0.2105263157895,-0.00851972,0.0365
13025960201,0.2727272727273,-0.00851972,0.0365
13025960202,0.4027777777778,-0.00851972,0.0365
13025960300,0.3526315789474,-0.00851972,0.0365
13027960200,0.2000000000000,0.013555114,0.0065
13027960301,0.2941176470588,0.013555114,0.0065
13027960302,0.2000000000000,0.013555114,0.0065
13027960400,0.2471910112360,0.013555114,0.0065
13027960500,0.3829787234043,0.013555114,0.0065
13027960600,0.3461538461538,0.013555114,0.0065
13029920101,0.5652173913043,0.065374652,0.0395
13029920103,0.1354166666667,0.065374652,0.0395
13029920104,0.0000000000000,0.065374652,0.0395
13029920301,0.0000000000000,0.065374652,0.0395
13029920303,0.3767123287671,0.065374652,0.0395
13029920305,0.6666666666667,0.065374652,0.0395
13029920307,0.6428571428571,0.065374652,0.0395
13029920308,0.4130434782609,0.065374652,0.0395
13029980000,-,0.065374652,0.0395
13031110100,0.5076923076923,0.021183743,0.031
13031110201,0.4864864864865,0.021183743,0.031
13031110202,0.4823529411765,0.021183743,0.031
13031110301,0.3947368421053,0.021183743,0.031
13031110302,0.3454545454545,0.021183743,0.031
13031110401,0.4450261780105,0.021183743,0.031
13031110405,0.4049586776860,0.021183743,0.031
13031110406,0.4684684684685,0.021183743,0.031
13031110407,0.5600000000000,0.021183743,0.031
13031110408,0.3285714285714,0.021183743,0.031
13031110500,0.5266666666667,0.021183743,0.031
13031110602,0.2978723404255,0.021183743,0.031
13031110603,0.1951219512195,0.021183743,0.031
13031110604,0.6124031007752,0.021183743,0.031
13031110701,0.5111111111111,0.021183743,0.031
13031110702,0.5454545454545,0.021183743,0.031
13031110703,0.3684210526316,0.021183743,0.031
13031110800,0.3548387096774,0.021183743,0.031
13031110901,0.0000000000000,0.021183743,0.031
13031110902,0.0000000000000,0.021183743,0.031
13033950101,0.2333333333333,0.024830881,0.008
13033950102,0.6875000000000,0.024830881,0.008
13033950200,0.0620155038760,0.024830881,0.008
13033950400,0.3000000000000,0.024830881,0.008
13033950500,0.2564102564103,0.024830881,0.008
13033950700,0.0833333333333,0.024830881,0.008
13033950900,0.3894736842105,0.024830881,0.008
13035150101,0.5263157894737,0.016569003,0.039
13035150102,0.2500000000000,0.016569003,0.039
13035150201,0.4125000000000,0.016569003,0.039
13035150202,0.1904761904762,0.016569003,0.039
13035150300,0.6808510638298,0.016569003,0.039
13037950100,0.0400000000000,-0.040105368,-0.002
13037950200,0.4800000000000,-0.040105368,-0.002
13039010100,0.4722222222222,0.009662738,0.027
13039010201,0.1277777777778,0.009662738,0.027
13039010202,0.3750000000000,0.009662738,0.027
13039010302,0.2625000000000,0.009662738,0.027
13039010303,0.4393939393939,0.009662738,0.027
13039010304,0.1224489795918,0.009662738,0.027
13039010305,0.0320000000000,0.009662738,0.027
13039010403,0.0000000000000,0.009662738,0.027
13039010404,0.7570093457944,0.009662738,0.027
13039010405,0.6136363636364,0.009662738,0.027
13039010406,1.0000000000000,0.009662738,0.027
13039010407,0.4137931034483,0.009662738,0.027
13039010500,0.2600000000000,0.009662738,0.027
13039010602,0.3797468354430,0.009662738,0.027
13039010603,0.4375000000000,0.009662738,0.027
13039010604,0.5845070422535,0.009662738,0.027
13039990000,-,0.009662738,0.027
13043950100,0.2865853658537,0.001785584,0.0395
13043950200,0.1971830985915,0.001785584,0.0395
13043950300,0.0380952380952,0.001785584,0.0395
13045910101,0.1259259259259,0.006813573,0.039
13045910103,0.4186046511628,0.006813573,0.039
13045910105,0.0000000000000,0.006813573,0.039
13045910106,0.6428571428571,0.006813573,0.039
13045910201,0.0000000000000,0.006813573,0.039
13045910202,0.0000000000000,0.006813573,0.039
13045910203,0.1739130434783,0.006813573,0.039
13045910301,0.8201058201058,0.006813573,0.039
13045910302,0.1891891891892,0.006813573,0.039
13045910400,0.0909090909091,0.006813573,0.039
13045910502,0.4145077720207,0.006813573,0.039
13045910503,0.4754098360656,0.006813573,0.039
13045910504,0.3000000000000,0.006813573,0.039
13045910600,0.4060150375940,0.006813573,0.039
13045910704,0.3714285714286,0.006813573,0.039
13045910705,0.3812949640288,0.006813573,0.039
13045910706,0.0000000000000,0.006813573,0.039
13045910707,0.0000000000000,0.006813573,0.039
13045910708,0.2640000000000,0.006813573,0.039
13045910709,0.2500000000000,0.006813573,0.039
13045910800,0.1837837837838,0.006813573,0.039
13045910900,0.5200000000000,0.006813573,0.039
13045911001,0.4772727272727,0.006813573,0.039
13045911002,0.2688172043011,0.006813573,0.039
13045911101,0.3375796178344,0.006813573,0.039
13045911102,0.4230769230769,0.006813573,0.039
13045911201,0.3404255319149,0.006813573,0.039
13045911202,0.3809523809524,0.006813573,0.039
