,2020 Census Tract,Percent of Population Above the Poverty Level
2457,13245001100,89.5
2458,13245001200,70.8
2459,13245001300,71.3
2460,13245001400,62.9
2461,13245001602,93.5
2462,13245001603,59.6
2463,13245001604,87.2
2464,13245010101,84.5
2465,13245010104,83.3
2466,13245010105,90.4
2467,13245010107,90.5
2468,13245010108,97.1
2469,13245010109,96.4
2470,13245010201,97.3
2471,13245010203,76.8
2472,13245010205,79.3
2473,13245010206,84.7
2474,13245010207,97.6
2475,13245010208,92.7
2476,13245010300,55.9
2477,13245010400,39.2
2478,13245010506,61.9
2479,13245010507,82.8
2480,13245010508,61.4
2481,13245010509,71.5
2482,13245010510,73.1
2483,13245010511,56.2
2484,13245010512,74.1
2485,13245010513,63.4
2486,13245010514,64
2487,13245010515,58.7
2488,13245010601,69.3
2489,13245010602,38.4
2490,13245010706,85.9
2491,13245010707,88.7
2492,13245010708,84.2
2493,13245010709,90.1
2494,13245010710,75.6
2495,13245010711,91
2496,13245010713,86.1
2497,13245010714,94.2
2498,13245010801,85.6
2499,13245010802,89.3
2500,13245010903,82.6
2501,13245010904,80
2502,13245010905,78.5
2503,13245010907,96.6
2504,13245010908,84.2
2505,13245011000,62.2
2506,13245011100,62
2507,13247060101,95.6
2508,13247060103,96.8
2509,13247060104,91.9
2510,13247060201,71
2511,13247060203,79
2512,13247060204,88
2513,13247060305,88
2514,13247060306,91.1
2515,13247060310,75.2
2516,13247060311,86
2517,13247060312,95
2518,13247060313,98.4
2519,13247060314,89
2520,13247060315,90.9
2521,13247060316,77.8
2522,13247060317,89.4
2523,13247060318,79
2524,13247060403,89.9
2525,13247060406,92.6
2526,13247060407,93.5
2527,13247060408,100
2528,13247060409,83.1
2529,13247060410,94.6
2530,13247060411,93.3
2531,13249960100,79.2
2532,13249960200,86.9
2533,13251970200,86.3
2534,13251970300,84.1
2535,13251970401,69.5
2536,13251970402,87.2
2537,13251970500,76.4
2538,13251970600,89.4
2539,13253200100,80.3
2540,13253200200,71.9
2541,13253200300,74.2
2542,13255160101,86
2543,13255160102,75.2
2544,13255160201,89.1
2545,13255160202,96.4
2546,13255160300,72.9
2547,13255160401,61.5
2548,13255160402,66
2549,13255160500,87.6
2550,13255160600,92
2551,13255160701,70.7
2552,13255160702,78.6
2553,13255160800,62.4
2554,13255160900,69.3
2555,13255161000,88
2556,13255161100,91.1
2557,13255161201,96.9
2558,13255161202,85.3
2559,13257970101,74.6
2560,13257970102,96.2
2561,13257970201,85.4
2562,13257970202,87
2563,13257970301,76.5
2564,13257970302,85.9
2565,13257970401,95.1
2566,13257970402,89.4
2567,13259950100,85.6
2568,13259950400,62.3
2569,13261950100,86
2570,13261950200,74
2571,13261950300,77.3
2572,13261950400,73.4
2573,13261950500,86.2
2574,13261950600,62.9
2575,13261950700,75
2576,13261950800,71.5
2577,13263960100,84.3
2578,13263960200,83.4
2579,13263960300,81.5
2580,13265010200,78.7
2581,13267950100,77.6
2582,13267950202,72
2583,13267950203,77.2
2584,13267950204,80.9
2585,13267950300,86.3
2586,13267950401,81.5
2587,13267950402,82.2
2588,13269950100,86.3
2589,13269950200,71.6
2590,13269950301,53.5
2591,13269950302,78.7
2592,13271950101,67.4
2593,13271950102,76.8
2594,13271950103,80.6
2595,13271950200,72.7
2596,13271950500,77.2
2597,13273120200,81.9
2598,13273120300,53.5
2599,13273120400,71.7
2600,13273120500,90.2
2601,13275960100,69.5
2602,13275960200,85.4
2603,13275960300,80.4
2604,13275960400,86.2
2605,13275960501,85.6
2606,13275960502,90.5
2607,13275960601,95.2
2608,13275960602,86.8
2609,13275960701,72.1
2610,13275960702,74.7
2611,13275960800,79.8
2612,13275960900,89.9
2613,13275961000,79.7
2614,13275961100,80.6
2615,13277960100,94.5
2616,13277960200,88.7
2617,13277960301,84.9
2618,13277960302,94.2
2619,13277960401,84.7
2620,13277960402,64.5
2621,13277960500,77.6
2622,13277960601,71.1
2623,13277960602,57.8
2624,13277960700,73.1
2625,13277960800,76.8
2626,13277960900,75
2627,13279970101,76.9
2628,13279970102,77.2
2629,13279970201,87.7
2630,13279970202,81.3
2631,13279970301,95.5
2632,13279970302,83.7
2633,13279970400,72.7
2634,13279970500,69.6
2635,13279970600,79.5
2636,13281960100,84.6
2637,13281960200,85.3
2638,13281960301,89.9
2639,13281960302,85.7
2640,13283960100,68.5
2641,13283960200,67.7
2642,13285960101,72.4
2643,13285960102,87.6
2644,13285960201,92
2645,13285960202,89.7
2646,13285960300,86.8
2647,13285960401,73.9
2648,13285960402,83.3
2649,13285960501,78.8
2650,13285960503,75.8
2651,13285960504,85.6
2652,13285960600,73.9
2653,13285960700,75.5
2654,13285960800,65.9
2655,13285960901,73.5
2656,13285960903,93.4
2657,13285960904,90.1
2658,13285961000,81.2
2659,13285961100,94
2660,13287970201,62.8
2661,13287970202,80.6
2662,13287970300,76.1
2663,13289060101,85.1
2664,13289060102,76.4
2665,13289060200,88.4
2666,13291000101,77.1
2667,13291000103,91.8
2668,13291000104,76
2669,13291000201,85.5
2670,13291000203,82.8
2671,13291000204,90.6
2672,13291000206,85.9
2673,13291000207,90.8
2674,13293010100,80.3
2675,13293010201,84.9
2676,13293010202,83.5
2677,13293010300,88.5
2678,13293010401,89.4
2679,13293010402,57.9
2680,13293010500,69.3
2681,13293010600,93.8
2682,13295020101,79.8
2683,13295020102,78.6
2684,13295020200,75.5
2685,13295020301,84.5
2686,13295020302,80.1
2687,13295020400,95.6
2688,13295020503,91.8
2689,13295020504,92.2
2690,13295020505,96
2691,13295020506,99
2692,13295020601,88.9
2693,13295020602,85.2
2694,13295020701,76.1
2695,13295020702,79.3
2696,13295020800,82.3
2697,13295020902,70.9
2698,13295020903,88.2
2699,13295020904,95.3
2700,13297110101,97.5
2701,13297110102,92
2702,13297110200,91.6
2703,13297110301,75
2704,13297110302,67.7
2705,13297110400,67.8
2706,13297110503,94.8
2707,13297110504,89.1
2708,13297110505,96.8
2709,13297110506,89.1
2710,13297110508,90.5
2711,13297110509,95
2712,13297110510,97.4
2713,13297110601,93.7
2714,13297110602,89.6
2715,13297110603,86.2
2716,13297110701,95.2
2717,13297110702,84.3
2718,13297110801,97.3
2719,13297110802,90.4
2720,13299950100,84
2721,13299950200,74
2722,13299950300,79
2723,13299950400,57.2
2724,13299950500,79.2
2725,13299950600,88
2726,13299950700,68.6
2727,13299950801,92.2
2728,13299950802,45
2729,13299950900,74.2
2730,13301970400,70.2
2731,13301970500,75.1
2732,13303950100,86.6
2733,13303950300,80.5
2734,13303950400,81.7
2735,13303950500,81.5
2736,13303950700,81.7
2737,13305970100,90.4
2738,13305970201,73
2739,13305970202,84.5
2740,13305970300,80.8
2741,13305970400,76.4
2742,13305970500,82.2
2743,13305970600,80
2744,13307960100,72.2
2745,13307960200,69
2746,13309780100,82.7
2747,13309780200,71.1
2748,13311950101,95.3
2749,13311950102,94.9
2750,13311950202,90.4
2751,13311950204,84.8
2752,13311950205,94.3
2753,13311950206,80.1
2754,13311950207,75.8
2755,13311950301,95.8
2756,13311950302,97.2
2757,13313000101,82.3
2758,13313000103,85.6
2759,13313000104,98.8
2760,13313000200,85.1
2761,13313000301,75.6
2762,13313000303,89.8
2763,13313000304,89.7
2764,13313000401,75.5
2765,13313000402,98.3
2766,13313000501,82.9
2767,13313000502,65.9
2768,13313000600,92.3
2769,13313000700,84.7
2770,13313000801,95.9
2771,13313000802,90.8
2772,13313000900,94.4
2773,13313001000,75.9
2774,13313001100,84.1
2775,13313001200,81.1
2776,13313001300,83.3
2777,13313001400,95.4
2778,13313001500,85.8
2779,13315960100,60.8
2780,13315960200,83.8
2781,13315960300,89.9
2782,13315960400,71.6
2783,13317010101,86.3
2784,13317010102,67.2
2785,13317010301,93
2786,13317010302,71.8
2787,13319960200,79.1
2788,13319960300,66
2789,13319960400,83.7
2790,13321950100,88.6
2791,13321950201,81.8
2792,13321950202,61.5
2793,13321950400,81.4
2794,13321950500,86.5
2795,13321950600,96.8
