,2020 Census Tract,Percent of Population Above the Poverty Level
477,13063040424,91.7
478,13063040425,70.4
479,13063040426,83.5
480,13063040427,95.4
481,13063040509,89.2
482,13063040510,80.3
483,13063040512,84.6
484,13063040513,89.3
485,13063040518,76.8
486,13063040519,66.7
487,13063040521,71.9
488,13063040522,80.7
489,13063040523,79.5
490,13063040525,79.7
491,13063040527,94.7
492,13063040528,76.5
493,13063040529,85.5
494,13063040530,92
495,13063040531,79.2
496,13063040532,88.8
497,13063040533,87.1
498,13063040534,90.5
499,13063040535,81
500,13063040536,58.8
501,13063040537,95
502,13063040538,80.8
503,13063040606,85.7
504,13063040609,97.1
505,13063040614,98.4
506,13063040615,92.9
507,13063040617,74.1
508,13063040623,87.3
509,13063040624,70
510,13063040625,91.3
511,13063040626,87.9
512,13063040627,85.4
513,13063040628,95
514,13063040629,76
515,13063040630,76.6
516,13063040631,94
517,13063040632,94
518,13063040633,72
519,13063040634,57.3
520,13063040635,80.3
521,13063040636,82.5
522,13063040637,80.8
523,13063040638,91.3
524,13063040639,96.2
525,13063980000,-
526,13065970100,69
527,13065970200,73.4
528,13067030104,78.6
529,13067030107,96.7
530,13067030108,96.4
531,13067030109,92.3
532,13067030110,96.6
533,13067030111,95.8
534,13067030112,94.3
535,13067030113,91.2
536,13067030220,89.4
537,13067030233,97.1
538,13067030235,84.5
539,13067030236,93.7
540,13067030240,97.9
541,13067030241,89.7
542,13067030242,90
543,13067030243,86.6
544,13067030244,99.2
545,13067030245,97.7
546,13067030246,75.2
547,13067030247,84.3
548,13067030248,82.2
549,13067030249,82.4
550,13067030250,97.7
551,13067030251,94.6
552,13067030252,99.6
553,13067030253,97.9
554,13067030254,94.4
555,13067030255,82.3
556,13067030256,97.6
557,13067030257,99.2
558,13067030258,90.3
559,13067030259,79.6
560,13067030260,92
561,13067030261,97
562,13067030262,100
563,13067030263,84.6
564,13067030264,99.4
565,13067030265,100
566,13067030266,100
567,13067030267,99.3
568,13067030268,100
569,13067030269,91.9
570,13067030270,96
571,13067030271,96.3
572,13067030272,88.8
573,13067030273,92.9
574,13067030274,88.6
575,13067030275,72.9
576,13067030276,99.4
577,13067030277,94.4
578,13067030278,87
579,13067030319,92.4
580,13067030322,97.3
581,13067030324,98.9
582,13067030326,97.4
583,13067030327,86.9
584,13067030329,98.9
585,13067030331,98.5
586,13067030332,99.4
587,13067030334,91.4
588,13067030335,94.8
589,13067030337,97.2
590,13067030340,99.6
591,13067030341,94.1
592,13067030342,97.6
593,13067030343,99
594,13067030344,91.8
595,13067030345,94
596,13067030346,88.4
597,13067030347,97.2
598,13067030348,92.6
599,13067030349,90.7
600,13067030350,89.5
601,13067030351,96.3
602,13067030352,93.2
603,13067030353,95.1
604,13067030354,97.5
605,13067030355,89.7
606,13067030356,93.9
607,13067030357,100
608,13067030358,95.7
609,13067030359,95.4
610,13067030360,91.4
611,13067030361,91.7
612,13067030362,95.6
613,13067030363,94.2
614,13067030364,98.1
