,2020 Census Tract,Median Income
644,13067030908,68898
645,13067030909,72224
646,13067030910,52112
647,13067030911,51482
648,13067030912,54364
649,13067031001,51458
650,13067031004,46116
651,13067031005,77784
652,13067031006,49800
653,13067031007,43923
654,13067031101,60797
655,13067031110,80670
656,13067031111,92000
657,13067031112,110203
658,13067031113,53063
659,13067031114,59953
660,13067031115,79681
661,13067031116,55938
662,13067031117,117079
663,13067031118,96392
664,13067031119,56607
665,13067031120,87083
666,13067031121,61697
667,13067031122,99063
668,13067031207,87971
669,13067031209,171111
670,13067031212,208828
671,13067031213,78953
672,13067031214,93750
673,13067031215,136164
674,13067031216,84234
675,13067031217,66269
676,13067031218,94086
677,13067031219,74688
678,13067031220,65806
679,13067031221,82258
680,13067031306,69942
681,13067031308,58171
682,13067031314,118482
683,13067031315,146845
684,13067031316,114423
685,13067031317,52708
686,13067031318,32827
687,13067031319,42698
688,13067031320,45268
689,13067031321,47414
690,13067031322,64288
691,13067031323,56972
692,13067031324,64294
693,13067031325,119500
694,13067031409,64077
695,13067031410,115073
696,13067031411,61846
697,13067031412,58359
698,13067031413,47389
699,13067031414,94487
700,13067031415,56522
701,13067031416,73341
702,13067031417,53586
703,13067031506,69167
704,13067031507,80565
705,13067031510,72521
706,13067031511,92410
707,13067031512,68211
708,13067031513,86793
709,13067031514,100142
710,13067031515,119327
711,13067031516,78370
712,13067031517,113148
713,13067031518,52386
714,13069010100,39778
715,13069010200,48679
716,13069010301,45612
717,13069010302,42772
718,13069010401,57750
719,13069010402,47917
720,13069010500,40556
721,13069010600,59634
722,13069010701,28580
723,13069010702,32106
724,13069010801,43581
725,13069010802,36701
726,13071970101,51484
727,13071970102,51333
728,13071970200,52500
729,13071970301,14572
730,13071970302,53051
731,13071970400,37575
732,13071970500,48538
733,13071970601,46477
734,13071970602,65515
735,13071970702,19907
736,13071970703,54750
737,13071970704,34318
738,13071970800,42679
739,13071970901,32963
740,13071970902,38515
741,13073030103,125016
742,13073030105,91000
743,13073030106,72633
744,13073030107,141025
745,13073030108,126727
746,13073030201,67207
747,13073030202,67337
748,13073030203,80057
749,13073030304,108315
750,13073030306,86993
751,13073030307,96103
752,13073030308,130658
753,13073030310,119659
754,13073030311,114000
755,13073030312,93199
756,13073030313,50891
757,13073030401,69712
758,13073030403,79619
759,13073030404,-
760,13073030503,68763
761,13073030504,80104
762,13073030505,67948
