,2020 Census Tract,Environmental Health Index
174,13031110602,0.7191977077363897
175,13031110603,0.7564469914040115
176,13031110604,0.8127984718242598
177,13031110701,0.789875835721108
178,13031110702,0.8003820439350525
179,13031110703,0.836676217765043
180,13031110800,0.7526265520534862
181,13031110901,0.8223495702005731
182,13031110902,0.7936962750716332
183,13033950101,0.7182425978987584
184,13033950102,0.6743075453677172
185,13033950200,0.7526265520534862
186,13033950400,0.6026743075453678
187,13033950500,0.66189111747851
188,13033950700,0.7402101241642789
189,13033950900,0.8233046800382043
190,13035150101,0.4785100286532951
191,13035150102,0.4498567335243553
192,13035150201,0.39255014326647564
193,13035150202,0.49283667621776506
194,13035150300,0.5214899713467048
195,13037950100,0.8319006685768863
196,13037950200,0.8490926456542501
197,13039010100,0.7287488061127029
198,13039010201,0.7316141356255969
