,2020 Census Tract,Transit Access Index
1788,13135050580,0.5909016527573229
1789,13135050581,0.5490099819996727
1790,13135050582,0.543241695303551
1791,13135050583,0.5790787105220094
1792,13135050584,0.5131729667812142
1793,13135050585,0.5539600720013091
1794,13135050586,0.46269023073146787
1795,13135050587,0.4891179839633448
1796,13135050588,0.4236213385697921
1797,13135050589,0.5331369661266567
1798,13135050590,0.5049909998363606
1799,13135050591,0.5281868761250205
1800,13135050611,0.5277777777777778
1801,13135050612,0.4678448699067256
1802,13135050613,0.5475372279495991
1803,13135050614,0.6072246768123057
1804,13135050615,0.6308705612829324
1805,13135050616,0.6300114547537228
1806,13135050617,0.5123138602520045
1807,13135050618,0.43564882997872684
1808,13135050619,0.5097365406643757
1809,13135050620,0.5589101620029455
1810,13135050621,0.5324824087710686
1811,13135050622,0.42423498609065624
1812,13135050623,0.5131729667812142
1813,13135050624,0.3928980526918671
1814,13135050625,0.42750777286859765
1815,13135050626,0.5181230567828505
1816,13135050627,0.5408689248895435
1817,13135050628,0.5672966781214204
1818,13135050629,0.5249959090165276
1819,13135050630,0.5015545737195222
1820,13135050631,0.5348551791850761
1821,13135050632,0.5928653248240877
1822,13135050633,0.6146702667321224
1823,13135050634,0.5739240713467517
1824,13135050635,0.457985599738177
1825,13135050636,0.5571919489445263
1826,13135050715,0.5314187530682376
1827,13135050719,0.5079774177712322
1828,13135050722,0.48739977090492553
1829,13135050725,0.5262641138929798
1830,13135050729,0.562960235640648
1831,13135050732,0.43798069055801014
1832,13135050733,0.5361233840615284
1833,13135050734,0.4558173784977908
1834,13135050735,0.5434462444771723
1835,13135050736,0.4472263132056946
1836,13135050737,0.44059891998036327
1837,13135050738,0.4906316478481427
1838,13135050739,0.42574864997545403
1839,13135050740,0.37485681557846506
1840,13135050741,0.41245295369006707
1841,13135050742,0.4831042382588774
1842,13135050743,0.5146866306660121
1843,13135050744,0.44252168221240384
1844,13135050745,0.5326869579446899
1845,13135050746,0.5245459008345605
1846,13135050747,0.5906971035837014
1847,13135050748,0.46976763213876616
1848,13135050749,0.5346506300114547
1849,13135050750,0.49856815578465064
1850,13135050751,0.5108001963672066
1851,13135050752,0.5262641138929798
1852,13135050753,0.5513827524136803
1853,13135050754,0.427262313860252
1854,13135050755,0.5267141220749467
1855,13135050756,0.5451644575355916
1856,13135050757,0.5994927180494192
1857,13135050758,0.4966044837178858
1858,13135050759,0.5105956471935853
1859,13135050760,0.5082228767795778
1860,13135050761,0.57457862870234
1861,13135050762,0.47471772214040253
1862,13135050763,0.4910407461953853
1863,13135050764,0.5318278514154802
1864,13135050765,0.45303550973654066
1865,13137000100,0.5048682703321878
1866,13137000201,0.5456553755522827
1867,13137000203,0.4765177548682703
1868,13137000204,0.29054164621174927
1869,13137000300,0.5106365570283096
1870,13137000400,0.48404516445753554
1871,13137000501,0.5989199803632793
1872,13137000502,0.5929062346588119
1873,13137000601,0.526755031909671
1874,13137000603,0.5299869088528882
1875,13137000604,0.6104974635902471
1876,13139000101,0.5546555391916217
1877,13139000102,0.5465144820814923
1878,13139000203,0.47606774668630336
1879,13139000204,0.5613238422516773
1880,13139000205,0.4930453280968745
1881,13139000206,0.45414007527409583
1882,13139000303,0.5548191785305188
1883,13139000304,0.5037637047946326
1884,13139000305,0.4704630993290787
1885,13139000306,0.5063410243822615
1886,13139000307,0.5735558828342333
1887,13139000401,0.5254050073637702
1888,13139000402,0.4668221240386189
1889,13139000501,0.5834151530027818
1890,13139000502,0.6579119620356734
1891,13139000601,0.6473981345115365
1892,13139000602,0.6008018327605957
1893,13139000702,0.4863770250368188
1894,13139000703,0.6428980526918671
1895,13139000704,0.49795450826378657
1896,13139000800,0.6778759613811159
1897,13139000901,0.7025855015545737
1898,13139000902,0.7045082637866142
1899,13139001004,0.5981836033382425
1900,13139001005,0.6437571592210767
1901,13139001006,0.5252004581901488
1902,13139001007,0.7053264604810996
1903,13139001008,0.6615529373261332
1904,13139001101,0.6095974472263133
1905,13139001102,0.5666830306005564
1906,13139001202,0.5819423989527082
1907,13139001203,0.6130747831778759
1908,13139001204,0.5261004745540828
1909,13139001302,0.5568237604320079
1910,13139001303,0.5701194567173948
1911,13139001304,0.520945835378825
1912,13139001402,0.5441417116674848
1913,13139001404,0.5926607756504664
1914,13139001405,0.6304205531009655
1915,13139001406,0.6220749468172149
1916,13139001501,0.5600147275405007
1917,13139001502,0.5486417934871543
1918,13139001603,0.5370643102601864
1919,13139001605,0.5183685157911961
1920,13139001606,0.5587056128293242
1921,13139001607,0.5842742595319914
1922,13139001609,0.5381279659630175
1923,13139001610,0.5705694648993618
1924,13139001611,0.49603174603174605
1925,13139001612,0.5853379152348224
1926,13141480300,0.29806905580101456
1927,13141480400,0.5321551300932744
1928,13143010100,0.551178203240059
1929,13143010201,0.6037882506954673
1930,13143010202,0.5829651448208149
1931,13143010301,0.5520373097692686
1932,13143010303,0.6415889379806905
1933,13143010304,0.5786696121747668
1934,13143010401,0.5848879070528554
1935,13143010402,0.626984126984127
1936,13145120198,0.5345279005072819
1937,13145120200,0.47610865652102763
1938,13145120301,0.518654884634266
1939,13145120302,0.5092047128129602
1940,13145120401,0.5135002454590083
1941,13145120403,0.4963181148748159
1942,13145120404,0.4982408771068565
1943,13147960101,0.5558010145639012
1944,13147960102,0.40909834724267713
1945,13147960103,0.5568646702667321
1946,13147960200,0.5508509245622648
1947,13147960300,0.5609556537391589
1948,13147960401,0.6195385370643103
1949,13147960402,0.5860742922598592
1950,13147960501,0.5281050564555718
1951,13147960502,0.6234249713631157
1952,13147960503,0.5997790868924889
1953,13149970100,0.5981836033382425
1954,13149970200,0.504581901489118
1955,13149970300,0.47987236131566025
1956,13151070109,0.5668466699394534
1957,13151070113,0.5996972672230404
1958,13151070114,0.6436753395516283
1959,13151070115,0.5807969235804287
1960,13151070116,0.5597692685321551
1961,13151070117,0.5657830142366225
1962,13151070118,0.5389461626575028
1963,13151070119,0.6215840288005237
1964,13151070120,0.5902470954017345
1965,13151070121,0.5211094747177221
1966,13151070122,0.5365733922434953
1967,13151070123,0.6432253313696612
1968,13151070124,0.5241368024873179
1969,13151070125,0.5638602520045819
1970,13151070126,0.6080837833415154
1971,13151070127,0.5556782850597284
1972,13151070128,0.5792832596956308
1973,13151070204,0.5715922107674685
1974,13151070206,0.5292914416625757
1975,13151070207,0.43908525609556537
1976,13151070208,0.5078137784323351
1977,13151070209,0.5269186712485682
1978,13151070210,0.5063001145475372
1979,13151070211,0.5453690067092128
1980,13151070212,0.6041973490427098
1981,13151070213,0.3942071674030437
1982,13151070214,0.42599410898379975
1983,13151070215,0.4945180821469481
1984,13151070216,0.5155457371952217
1985,13151070307,0.5312142038946163
1986,13151070310,0.5219685812469317
1987,13151070312,0.593683521518573
1988,13151070313,0.5406643757159222
1989,13151070314,0.5423825887743413
1990,13151070315,0.5762968417607592
1991,13151070316,0.5142366224840451
1992,13151070317,0.5842333496972671
