2020 Census Tract,geoid_,County Name,% of rental units occupied by 80% AMI and below with Severe Housing Problems,Average: YoY Growth 2018-2021,Is 2021 greater than 2011?,Average change: 2020-2022
13021013408,05000US13245,"Richmond County, Georgia",68.62745098039215,0.7107445057743893,Yes,0.8
13021013409,05000US13247,"Rockdale County, Georgia",37.5,1.4727273690753653,Yes,3.95
13021013411,05000US13249,"Schley County, Georgia",77.98165137614679,-3.764687943,No,0.49999999999999994
13021013412,05000US13251,"Screven County, Georgia",50,0.09065184,No,1.7000000000000002
13021013413,05000US13253,"Seminole County, Georgia",41.935483870967744,2.7390524451469025,Yes,0.5
13021013502,05000US13255,"Spalding County, Georgia",41.578947368421055,1.021216451755532,Yes,3.9
13021013503,05000US13257,"Stephens County, Georgia",46.875,1.2429736637642848,Yes,2.35
13021013505,05000US13259,"Stewart County, Georgia",23.636363636363637,-3.487935506,No,2.6
13021013506,05000US13261,"Sumter County, Georgia",0,-0.731273238,No,0.4
13021013603,05000US13263,"Talbot County, Georgia",64.51612903225806,-2.876421689,No,2.45
13021013604,05000US13265,"Taliaferro County, Georgia",0,-1.850929352,No,2.2
13021013605,05000US13267,"Tattnall County, Georgia",47.82608695652174,-2.811845529,No,-1
13021013607,05000US13269,"Taylor County, Georgia",77.77777777777779,-1.375658359,No,-1.3
13021013608,05000US13271,"Telfair County, Georgia",80.39215686,-6.830301336,No,-0.65
13021013701,05000US13273,"Terrell County, Georgia",40,0.9498944745537171,No,0.6499999999999999
13021013702,05000US13275,"Thomas County, Georgia",57.692307692307686,0.7030908663826553,Yes,1.35
13021013800,05000US13277,"Tift County, Georgia",20.634920634920633,0.524037483,Yes,2.3
13021013900,05000US13279,"Toombs County, Georgia",27.083333333333332,-0.113423926,No,1.15
13021014000,05000US13281,"Towns County, Georgia",36.206896551724135,2.520374576632642,Yes,3.7000000000000006
13023790100,05000US13283,"Treutlen County, Georgia",37.5,-1.802288792,No,0.65
13023790200,05000US13285,"Troup County, Georgia",16.071428571428573,-0.137855715,Yes,0.65
13023790301,05000US13287,"Turner County, Georgia",35,3.7633283905532076,No,0.15
13023790302,05000US13289,"Twiggs County, Georgia",30.76923076923077,-1.013905321,No,0.24999999999999997
13025960101,05000US13291,"Union County, Georgia",0,2.024080990221339,Yes,5
13025960102,05000US13293,"Upson County, Georgia",21.052631578947366,1.5298920941804628,Yes,3.25
13025960201,05000US13295,"Walker County, Georgia",27.27272727272727,-0.503540011,No,1.8500000000000003
13025960202,05000US13297,"Walton County, Georgia",40.27777777777778,1.9309910289131422,Yes,3.900000000000001
13025960300,05000US13299,"Ware County, Georgia",35.26315789473684,0.45286008203151856,No,3.0000000000000004
13027960200,05000US13301,"Warren County, Georgia",20,-0.804525412,No,2.4000000000000004
13027960301,05000US13303,"Washington County, Georgia",29.411764705882355,-0.669617042,No,1.4500000000000002
13027960302,05000US13305,"Wayne County, Georgia",20,0.39177663797343165,Yes,3.1
13027960400,05000US13307,"Webster County, Georgia",24.719101123595504,-3.10227377,No,-0.6
13027960500,05000US13309,"Wheeler County, Georgia",38.297872340425535,-1.565238235,Yes,2.45
13027960600,05000US13311,"White County, Georgia",34.61538461538461,-1.128496985,Yes,3.2
13029920101,05000US13313,"Whitfield County, Georgia",56.52173913043478,-0.247098962,Yes,1.7000000000000002
13029920103,05000US13315,"Wilcox County, Georgia",13.541666666666666,-0.011205059,No,-0.4
13029920104,05000US13317,"Wilkes County, Georgia",0,-0.818017472,No,2.0500000000000003
13029920301,05000US13319,"Wilkinson County, Georgia",0,-0.542332111,No,2.25
13029920303,05000US13321,"Worth County, Georgia",37.67123287671233,0.28097259979976646,No,0.6
13029920305,,,66.66666666666666,,,
13029920307,,,64.28571428571429,,,
13029920308,,,41.30434782608695,,,
13029980000,,,----------------------------------------------------------------------------------------------------,,,
13031110100,,,50.76923076923077,,,
13031110201,,,48.64864864864865,,,
13031110202,,,48.23529411764706,,,
13031110301,,,39.473684210526315,,,
13031110302,,,34.54545454545455,,,
13031110401,,,44.50261780104712,,,
13031110405,,,40.49586776859504,,,
13031110406,,,46.846846846846844,,,
13031110407,,,56.00000000000001,,,
13031110408,,,32.857142857142854,,,
13031110500,,,52.666666666666664,,,
13031110602,,,29.78723404255319,,,
13031110603,,,19.51219512195122,,,
13031110604,,,61.240310077519375,,,
13031110701,,,51.11111111111111,,,
13031110702,,,54.54545454545454,,,
13031110703,,,36.84210526315789,,,
13031110800,,,35.483870967741936,,,
13031110901,,,0,,,
13031110902,,,0,,,
13033950101,,,23.333333333333332,,,
13033950102,,,68.75,,,
13033950200,,,6.201550388,,,
13033950400,,,30,,,
13033950500,,,25.64102564102564,,,
13033950700,,,8.333333333333332,,,
13033950900,,,38.94736842105263,,,
13035150101,,,52.63157894736842,,,
13035150102,,,25,,,
13035150201,,,41.25,,,
13035150202,,,19.047619047619047,,,
13035150300,,,68.08510638297872,,,
13037950100,,,4,,,
13037950200,,,48,,,
13039010100,,,47.22222222222222,,,
13039010201,,,12.777777777777777,,,
13039010202,,,37.5,,,
13039010302,,,26.25,,,
13039010303,,,43.93939393939394,,,
13039010304,,,12.244897959183673,,,
13039010305,,,3.2,,,
13039010403,,,0,,,
13039010404,,,75.70093457943925,,,
13039010405,,,61.36363636363637,,,
13039010406,,,100,,,
13039010407,,,41.37931034482759,,,
13039010500,,,26,,,
13039010602,,,37.97468354,,,
13039010603,,,43.75,,,
13039010604,,,58.45070422535211,,,
13039990000,,,----------------------------------------------------------------------------------------------------,,,
13043950100,,,28.65853658536585,,,
13043950200,,,19.718309859154928,,,
13043950300,,,3.8095238095238098,,,
13045910101,,,12.592592592592592,,,
13045910103,,,41.86046511627907,,,
13045910105,,,0,,,
13045910106,,,64.28571428571429,,,
13045910201,,,0,,,
13045910202,,,0,,,
13045910203,,,17.391304347826086,,,
13045910301,,,82.01058201058201,,,
13045910302,,,18.91891891891892,,,
13045910400,,,9.090909090909092,,,
13045910502,,,41.45077720207254,,,
13045910503,,,47.540983606557376,,,
13045910504,,,30,,,
13045910600,,,40.60150376,,,
13045910704,,,37.142857142857146,,,
13045910705,,,38.1294964,,,
13045910706,,,0,,,
13045910707,,,0,,,
13045910708,,,26.400000000000002,,,
13045910709,,,25,,,
13045910800,,,18.37837837837838,,,
13045910900,,,52,,,
13045911001,,,47.72727272727273,,,
13045911002,,,26.881720430107524,,,
13045911101,,,33.75796178343949,,,
13045911102,,,42.30769230769231,,,
13045911201,,,34.04255319148936,,,
13045911202,,,38.095238095238095,,,
13047030100,,,43.529411764705884,,,
13047030201,,,18.181818181818183,,,
13047030202,,,18.75,,,
13047030303,,,0,,,
13047030304,,,41.66666666666667,,,
13047030305,,,33.33333333333333,,,
13047030306,,,9.302325581,,,
13047030402,,,35.41666666666667,,,
13047030403,,,0,,,
13047030404,,,0,,,
13047030501,,,26.190476190476193,,,
13047030502,,,14.893617021276595,,,
13047030600,,,41.55844155844156,,,
13047030701,,,12.857142857142856,,,
13047030702,,,41.089108910891085,,,
13049010101,,,36.36363636363637,,,
13049010102,,,33.33333333333333,,,
13049010200,,,23.076923076923077,,,
13051000601,,,32,,,
13051001100,,,39.130434782608695,,,
13051001200,,,43.44262295081967,,,
13051002000,,,53.52112676056338,,,
13051002100,,,41.509433962264154,,,
