System ID,System Name,School ID,School Name,Grade Cluster,2015,2016.0,2017.0,2018.0,2019.0,15 to 16,16 to 17,18 to 19,YoY Average,Average is positive?,Average score,CCRPI Score Data Availability (years),Applicable 25th Percentile,Average Score is in Top 75%?,CCRPI Scores Qualify Under Option C?
632,Clinch County,ALL,All Schools,H,77.1,75.7,78.6,62.7,81.0,-0.018158236057068600,0.038309114927344700,0.29186602870813400,0.10400563585947,Yes,75.02000000000000,2015-2019,67.97,Yes,Yes
632,Clinch County,ALL,All Schools,M,59.7,62.6,66.4,65.0,71.4,0.048576214405360100,0.06070287539936110,0.09846153846153850,0.06924687608875330,Yes,65.02000000000000,2015-2019,65.54000000000000,No,No
633,Cobb County,101,Kennesaw Mountain High School,H,90.1,91.7,91.1,86.6,91.6,0.01775804661487250,-0.006543075245365410,0.05773672055427250,0.02298389730792650,Yes,90.22,2015-2019,67.97,Yes,Yes
633,Cobb County,102,Riverside Intermediate School,E,51.3,59.5,65.6,62.6,66.7,0.15984405458089700,0.10252100840336100,0.06549520766773170,0.10928675688399700,Yes,61.14,2015-2019,66.04000000000000,No,No
633,Cobb County,103,Kell High School,H,81.8,92.2,85.8,80.4,79.8,0.12713936430317900,-0.06941431670282000,-0.007462686567164290,0.01675412034439810,Yes,84.00000000000000,2015-2019,67.97,Yes,Yes
633,Cobb County,104,Bullard Elementary School,E,75.1,78.9,86.1,87.5,82.4,0.05059920106524650,0.09125475285171090,-0.05828571428571420,0.027856079877081100,Yes,82,2015-2019,66.04000000000000,Yes,Yes
633,Cobb County,107,McCall Primary School,E,,,,71.6,82.1,,,0.14664804469273700,0.14664804469273700,Yes,76.85,2018-2019,65.75,Yes,Yes
633,Cobb County,109,Pickett's Mill Elementary,E,84.6,84.6,85.7,90.1,91.4,0,0.013002364066194000,0.014428412874583900,0.009143592313592630,Yes,87.28,2015-2019,66.04000000000000,Yes,Yes
633,Cobb County,110,International Academy of Smyrna,E,73.4,56.4,62.4,,,-0.231607629427793,0.10638297872340400,,-0.06261232535219440,No,64.06666666666670,2015-2017,64.66666666666670,No,No
633,Cobb County,110,International Academy of Smyrna,M,71.5,61.0,68.3,,,-0.14685314685314700,0.11967213114754100,,-0.013590507852803000,No,66.93333333333330,2015-2017,64.66666666666670,Yes,No
633,Cobb County,114,East Side Elementary School,E,93.3,91.8,96.3,89.5,93.1,-0.01607717041800640,0.049019607843137300,0.040223463687150800,0.02438863370409390,Yes,92.8,2015-2019,66.04000000000000,Yes,Yes
633,Cobb County,117,Clarkdale Elementary School,E,71.3,73.2,79.0,76.4,77.8,0.02664796633941100,0.07923497267759560,0.01832460732984280,0.041402515448949800,Yes,75.54000000000000,2015-2019,66.04000000000000,Yes,Yes
633,Cobb County,118,Mableton Elementary School,E,54,53.7,65.5,71.0,75.5,-0.005555555555555500,0.21973929236499100,0.06338028169014080,0.09252133949985870,Yes,63.94,2015-2019,66.04000000000000,No,No
