sys_sch,System ID,System Name,School ID,School Name,2019 CCRPI Single Score,2019 BTO Designation
6112060,611,Bibb County,2060,Hartley Elementary School,56.3,Below Expected Range
6113060,611,Bibb County,3060,Heard Elementary School,68.9,Below Expected Range
611605,611,Bibb County,605,Heritage Elementary School,78.6,Beating the Odds
611105,611,Bibb County,105,Howard High School,71.3,Within Expected Range
611205,611,Bibb County,205,Howard Middle School,68.3,Within Expected Range
6113067,611,Bibb County,3067,Ingram/Pye Elementary School,53.5,Below Expected Range
6111305,611,Bibb County,1305,Lane Elementary School,65.1,Within Expected Range
6111306,611,Bibb County,1306,Martin Luther King Jr Elementary School,62.2,Within Expected Range
611298,611,Bibb County,298,Miller Magnet Middle School,79.8,Beating the Odds
611286,611,Bibb County,286,Northeast High School,65,Within Expected Range
6111067,611,Bibb County,1067,Porter Elementary School,72.3,Within Expected Range
611805,611,Bibb County,805,Riley Elementary School,60.5,Within Expected Range
611405,611,Bibb County,405,Rosa Taylor Elementary School,70.1,Beating the Odds
611204,611,Bibb County,204,Rutland High School,65.9,Below Expected Range
611305,611,Bibb County,305,Rutland Middle School,63.1,Below Expected Range
611103,611,Bibb County,103,Skyview Elementary School,83.8,Beating the Odds
6111307,611,Bibb County,1307,Southfield Elementary School,57.9,Within Expected Range
611386,611,Bibb County,386,Southwest High School,52.8,Below Expected Range
6111105,611,Bibb County,1105,Springdale Elementary School,86,Beating the Odds
611705,611,Bibb County,705,Union Elementary School,57.7,Within Expected Range
6111309,611,Bibb County,1309,Veterans Elementary School,60.5,Within Expected Range
611203,611,Bibb County,203,Vineville Academy,72.6,Below Expected Range
611505,611,Bibb County,505,Weaver Middle School,59.6,Within Expected Range
611198,611,Bibb County,198,Westside High School,50,Below Expected Range
611383,611,Bibb County,383,Williams Elementary School,55.7,Within Expected Range
612197,612,Bleckley County,197,Bleckley County Elementary School,73,Below Expected Range
612105,612,Bleckley County,105,Bleckley County High School,90.1,Beating the Odds
6121050,612,Bleckley County,1050,Bleckley County Primary School,86.3,Beating the Odds
612112,612,Bleckley County,112,Bleckley Middle School,84.1,Beating the Odds
613110,613,Brantley County,110,Atkinson Elementary School,74.2,Within Expected Range
6131050,613,Brantley County,1050,Brantley County High School,68.5,Below Expected Range
613194,613,Brantley County,194,Brantley County Middle School,80.7,Within Expected Range
6132050,613,Brantley County,2050,Hoboken Elementary School,82.2,Beating the Odds
613294,613,Brantley County,294,Nahunta Elementary School,75.7,Within Expected Range
6133050,613,Brantley County,3050,Nahunta Primary School,91.9,Beating the Odds
613101,613,Brantley County,101,Waynesville Primary School,89.1,Beating the Odds
763110,763,Bremen City,110,Bremen 4th & 5th Grade Academy,93.6,Beating the Odds
763201,763,Bremen City,201,Bremen High School,92.3,Beating the Odds
763209,763,Bremen City,209,Bremen Middle School,92.4,Beating the Odds
7632050,763,Bremen City,2050,Jones Elementary School,96.8,Beating the Odds
614110,614,Brooks County,110,Brooks County High School,68.7,Within Expected Range
614197,614,Brooks County,197,Brooks County Middle School,62.2,Below Expected Range
614394,614,Brooks County,394,Delta Innovative School,32.8,Below Expected Range
614393,614,Brooks County,393,North Brooks Elementary School,76.2,Beating the Odds
614193,614,Brooks County,193,Quitman Elementary School,48.7,Below Expected Range
615286,615,Bryan County,286,Bryan County Elementary School,83.8,Beating the Odds
615502,615,Bryan County,502,Bryan County High School,77.1,Within Expected Range
615402,615,Bryan County,402,Bryan County Middle School,72.8,Below Expected Range
615101,615,Bryan County,101,Dr. George Washington Carver Elementary School,84.4,Within Expected Range
615282,615,Bryan County,282,Lanier Primary School,81.5,Beating the Odds
615503,615,Bryan County,503,McAllister Elementary School,83,Below Expected Range
615302,615,Bryan County,302,Richmond Hill Elementary School,69.8,Below Expected Range
615182,615,Bryan County,182,Richmond Hill High School,89.9,Beating the Odds
615199,615,Bryan County,199,Richmond Hill Middle School,84.3,Within Expected Range
615202,615,Bryan County,202,Richmond Hill Primary School,89.2,Within Expected Range
764100,764,Buford City,100,Buford Academy,83.5,Below Expected Range
764196,764,Buford City,196,Buford Elementary School,80.2,Below Expected Range
764191,764,Buford City,191,Buford High School,91.2,Beating the Odds
764104,764,Buford City,104,Buford Middle School,94.8,Beating the Odds
616200,616,Bulloch County,200,Brooklet Elementary School,75.3,Below Expected Range
6162050,616,Bulloch County,2050,Julia P. Bryant Elementary School,80.8,Beating the Odds
616199,616,Bulloch County,199,Langston Chapel Elementary School,62.6,Within Expected Range
616299,616,Bulloch County,299,Langston Chapel Middle School,62.8,Within Expected Range
6165050,616,Bulloch County,5050,Mattie Lively Elementary School,57.8,Below Expected Range
616100,616,Bulloch County,100,Mill Creek Elementary School,71.9,Within Expected Range
616107,616,Bulloch County,107,Nevils Elementary School,82.6,Beating the Odds
616399,616,Bulloch County,399,Portal Elementary School,62.3,Below Expected Range
6164052,616,Bulloch County,4052,Portal Middle/High School,76,Within Expected Range
6165054,616,Bulloch County,5054,Sallie Zetterower Elementary School,85,Beating the Odds
616203,616,Bulloch County,203,Southeast Bulloch High School,79,Within Expected Range
616300,616,Bulloch County,300,Southeast Bulloch Middle School,78.6,Within Expected Range
6162054,616,Bulloch County,2054,Statesboro High School,71.2,Within Expected Range
6163054,616,Bulloch County,3054,Stilson Elementary School,80,Beating the Odds
616198,616,Bulloch County,198,William James Middle School,74,Beating the Odds
617104,617,Burke County,104,Blakeney Elementary,57.1,Below Expected Range
617288,617,Burke County,288,Burke County High School,75.7,Within Expected Range
617188,617,Burke County,188,Burke County Middle School,71.9,Beating the Odds
617196,617,Burke County,196,S G A Elementary School,81.2,Beating the Odds
6172056,617,Burke County,2056,Waynesboro Primary School,53.5,Below Expected Range
618104,618,Butts County,104,Hampton L. Daughtry Elementary School,66.1,Below Expected Range
618100,618,Butts County,100,Henderson Middle School,62.1,Below Expected Range
618111,618,Butts County,111,Jackson Elementary School,63.5,Below Expected Range
618190,618,Butts County,190,Jackson High School,72,Within Expected Range
