lat,lon,desirable_score,total_deductions,overall_score,final_score
30.4,-81.60000000000079,3.0,0,3.0,3.0
30.4,-81.5800000000008,2.5,0,2.5,2.5
30.4,-81.5600000000008,4.5,0,4.5,4.5
30.4,-81.5400000000008,6.5,0,6.5,6.5
30.4,-81.5200000000008,6.0,0,6.0,6.0
30.4,-81.50000000000081,5.0,0,5.0,5.0
30.4,-81.48000000000081,0.0,0,0,0
30.4,-81.46000000000082,1.5,0,1.5,1.5
30.4,-81.44000000000082,8.5,0,8.5,8.5
30.4,-81.42000000000083,10.0,0,10.0,10.0
30.4,-81.40000000000083,15.0,0,15.0,15.0
30.4,-81.38000000000083,1.0,0,1.0,1.0
30.4,-81.36000000000084,0.0,0,0,0
30.4,-81.34000000000084,0.0,0,0,0
30.4,-81.32000000000085,0.0,0,0,0
30.4,-81.30000000000085,0.0,0,0,0
30.4,-81.28000000000085,0.0,0,0,0
30.4,-81.26000000000086,0.0,0,0,0
30.4,-81.24000000000086,0.0,0,0,0
30.4,-81.22000000000087,0.0,0,0,0
30.4,-81.20000000000087,0.0,0,0,0
30.4,-81.18000000000087,0.0,0,0,0
30.4,-81.16000000000088,0.0,0,0,0
30.4,-81.14000000000088,0.0,0,0,0
30.4,-81.12000000000089,0.0,0,0,0
30.4,-81.10000000000089,0.0,0,0,0
30.4,-81.0800000000009,0.0,0,0,0
30.4,-81.0600000000009,0.0,0,0,0
30.4,-81.0400000000009,0.0,0,0,0
30.4,-81.0200000000009,0.0,0,0,0
30.4,-81.00000000000091,0.0,0,0,0
30.4,-80.98000000000091,0.0,0,0,0
30.4,-80.96000000000092,0.0,0,0,0
30.4,-80.94000000000092,0.0,0,0,0
30.4,-80.92000000000093,0.0,0,0,0
30.4,-80.90000000000093,0.0,0,0,0
30.4,-80.88000000000093,0.0,0,0,0
30.4,-80.86000000000094,0.0,0,0,0
30.4,-80.84000000000094,0.0,0,0,0
30.4,-80.82000000000095,0.0,0,0,0
30.419999999999998,-85.6,2.0,0,2.0,2.0
30.419999999999998,-85.58,0.0,0,0,0
30.419999999999998,-85.56,1.5,0,1.5,1.5
30.419999999999998,-85.54,2.0,0,2.0,2.0
30.419999999999998,-85.52000000000001,1.5,0,1.5,1.5
30.419999999999998,-85.50000000000001,0.0,0,0,0
30.419999999999998,-85.48000000000002,1.5,0,1.5,1.5
30.419999999999998,-85.46000000000002,2.5,0,2.5,2.5
30.419999999999998,-85.44000000000003,2.0,0,2.0,2.0
30.419999999999998,-85.42000000000003,3.5,0,3.5,3.5
30.419999999999998,-85.40000000000003,0.0,0,0,0
30.419999999999998,-85.38000000000004,1.0,0,1.0,1.0
30.419999999999998,-85.36000000000004,0.0,0,0,0
30.419999999999998,-85.34000000000005,0.0,0,0,0
30.419999999999998,-85.32000000000005,0.0,0,0,0
30.419999999999998,-85.30000000000005,0.0,0,0,0
30.419999999999998,-85.28000000000006,0.0,0,0,0
30.419999999999998,-85.26000000000006,2.5,0,2.5,2.5
30.419999999999998,-85.24000000000007,1.5,0,1.5,1.5
30.419999999999998,-85.22000000000007,1.0,0,1.0,1.0
30.419999999999998,-85.20000000000007,1.0,0,1.0,1.0
30.419999999999998,-85.18000000000008,2.5,0,2.5,2.5
30.419999999999998,-85.16000000000008,4.5,0,4.5,4.5
30.419999999999998,-85.14000000000009,2.0,0,2.0,2.0
30.419999999999998,-85.12000000000009,0.0,0,0,0
30.419999999999998,-85.1000000000001,2.0,0,2.0,2.0
30.419999999999998,-85.0800000000001,9.5,0,9.5,9.5
30.419999999999998,-85.0600000000001,17.0,0,17.0,17.0
30.419999999999998,-85.0400000000001,18.0,0,18.0,18.0
30.419999999999998,-85.02000000000011,2.0,0,2.0,2.0
30.419999999999998,-85.00000000000011,4.5,0,4.5,4.5
30.419999999999998,-84.98000000000012,24.0,0,24.0,20
30.419999999999998,-84.96000000000012,5.5,0,5.5,5.5
30.419999999999998,-84.94000000000013,0.0,0,0,0
30.419999999999998,-84.92000000000013,0.0,0,0,0
30.419999999999998,-84.90000000000013,0.0,0,0,0
30.419999999999998,-84.88000000000014,0.0,0,0,0
30.419999999999998,-84.86000000000014,0.0,0,0,0
30.419999999999998,-84.84000000000015,0.0,0,0,0
30.419999999999998,-84.82000000000015,0.0,0,0,0
30.419999999999998,-84.80000000000015,0.0,0,0,0
30.419999999999998,-84.78000000000016,0.0,0,0,0
30.419999999999998,-84.76000000000016,0.0,0,0,0
30.419999999999998,-84.74000000000017,0.0,0,0,0
30.419999999999998,-84.72000000000017,2.5,0,2.5,2.5
30.419999999999998,-84.70000000000017,2.0,0,2.0,2.0
30.419999999999998,-84.68000000000018,0.0,0,0,0
30.419999999999998,-84.66000000000018,0.0,0,0,0
30.419999999999998,-84.64000000000019,2.5,0,2.5,2.5
30.419999999999998,-84.62000000000019,5.0,0,5.0,5.0
30.419999999999998,-84.6000000000002,1.5,0,1.5,1.5
30.419999999999998,-84.5800000000002,2.5,0,2.5,2.5
30.419999999999998,-84.5600000000002,4.5,0,4.5,4.5
30.419999999999998,-84.5400000000002,7.5,0,7.5,7.5
30.419999999999998,-84.52000000000021,5.0,0,5.0,5.0
30.419999999999998,-84.50000000000021,0.0,0,0,0
30.419999999999998,-84.48000000000022,0.0,0,0,0
30.419999999999998,-84.46000000000022,0.0,0,0,0
30.419999999999998,-84.44000000000023,0.0,0,0,0
30.419999999999998,-84.42000000000023,2.5,0,2.5,2.5
30.419999999999998,-84.40000000000023,2.0,0,2.0,2.0
30.419999999999998,-84.38000000000024,3.0,0,3.0,3.0
30.419999999999998,-84.36000000000024,5.5,0,5.5,5.5
30.419999999999998,-84.34000000000024,16.0,0,16.0,16.0
30.419999999999998,-84.32000000000025,14.5,0,14.5,14.5
30.419999999999998,-84.30000000000025,24.5,0,24.5,20
30.419999999999998,-84.28000000000026,29.0,0,29.0,20
30.419999999999998,-84.26000000000026,14.5,0,14.5,14.5
30.419999999999998,-84.24000000000026,20.5,0,20.5,20
30.419999999999998,-84.22000000000027,25.5,0,25.5,20
30.419999999999998,-84.20000000000027,9.0,0,9.0,9.0
30.419999999999998,-84.18000000000028,4.5,0,4.5,4.5
30.419999999999998,-84.16000000000028,10.0,0,10.0,10.0
30.419999999999998,-84.14000000000028,9.5,0,9.5,9.5
30.419999999999998,-84.12000000000029,7.5,0,7.5,7.5
30.419999999999998,-84.10000000000029,2.5,0,2.5,2.5
30.419999999999998,-84.0800000000003,0.0,0,0,0
30.419999999999998,-84.0600000000003,0.0,0,0,0
30.419999999999998,-84.0400000000003,0.0,0,0,0
30.419999999999998,-84.02000000000031,1.5,0,1.5,1.5
30.419999999999998,-84.00000000000031,1.0,0,1.0,1.0
30.419999999999998,-83.98000000000032,0.0,0,0,0
30.419999999999998,-83.96000000000032,1.5,0,1.5,1.5
30.419999999999998,-83.94000000000032,3.0,0,3.0,3.0
30.419999999999998,-83.92000000000033,1.5,0,1.5,1.5
30.419999999999998,-83.90000000000033,1.0,0,1.0,1.0
30.419999999999998,-83.88000000000034,0.0,0,0,0
30.419999999999998,-83.86000000000034,0.0,0,0,0
30.419999999999998,-83.84000000000034,0.0,0,0,0
30.419999999999998,-83.82000000000035,0.0,0,0,0
30.419999999999998,-83.80000000000035,0.0,0,0,0
30.419999999999998,-83.78000000000036,2.0,0,2.0,2.0
30.419999999999998,-83.76000000000036,1.0,0,1.0,1.0
30.419999999999998,-83.74000000000036,1.5,0,1.5,1.5
30.419999999999998,-83.72000000000037,0.0,0,0,0
30.419999999999998,-83.70000000000037,0.0,0,0,0
30.419999999999998,-83.68000000000038,1.0,0,1.0,1.0
30.419999999999998,-83.66000000000038,0.0,0,0,0
30.419999999999998,-83.64000000000038,0.0,0,0,0
30.419999999999998,-83.62000000000039,0.0,0,0,0
30.419999999999998,-83.60000000000039,0.0,0,0,0
30.419999999999998,-83.5800000000004,0.0,0,0,0
30.419999999999998,-83.5600000000004,0.0,0,0,0
30.419999999999998,-83.5400000000004,0.0,0,0,0
30.419999999999998,-83.52000000000041,0.0,0,0,0
30.419999999999998,-83.50000000000041,0.0,0,0,0
30.419999999999998,-83.48000000000042,0.0,0,0,0
30.419999999999998,-83.46000000000042,2.5,0,2.5,2.5
30.419999999999998,-83.44000000000042,2.0,0,2.0,2.0
30.419999999999998,-83.42000000000043,3.5,0,3.5,3.5
30.419999999999998,-83.40000000000043,2.0,0,2.0,2.0
30.419999999999998,-83.38000000000044,5.0,0,5.0,5.0
30.419999999999998,-83.36000000000044,1.0,0,1.0,1.0
30.419999999999998,-83.34000000000044,0.0,0,0,0
30.419999999999998,-83.32000000000045,11.5,0,11.5,11.5
30.419999999999998,-83.30000000000045,19.0,0,19.0,19.0
30.419999999999998,-83.28000000000046,7.0,0,7.0,7.0
30.419999999999998,-83.26000000000046,0.0,0,0,0
30.419999999999998,-83.24000000000046,2.0,0,2.0,2.0
30.419999999999998,-83.22000000000047,3.0,0,3.0,3.0
30.419999999999998,-83.20000000000047,3.5,0,3.5,3.5
30.419999999999998,-83.18000000000048,3.5,0,3.5,3.5
30.419999999999998,-83.16000000000048,3.5,0,3.5,3.5
30.419999999999998,-83.14000000000048,0.0,0,0,0
30.419999999999998,-83.12000000000049,2.0,0,2.0,2.0
30.419999999999998,-83.10000000000049,3.5,0,3.5,3.5
30.419999999999998,-83.0800000000005,1.5,0,1.5,1.5
30.419999999999998,-83.0600000000005,1.5,0,1.5,1.5
30.419999999999998,-83.0400000000005,2.0,0,2.0,2.0
30.419999999999998,-83.02000000000051,0.0,0,0,0
30.419999999999998,-83.00000000000051,2.0,0,2.0,2.0
30.419999999999998,-82.98000000000052,3.0,0,3.0,3.0
30.419999999999998,-82.96000000000052,4.5,0,4.5,4.5
30.419999999999998,-82.94000000000052,8.0,0,8.0,8.0
30.419999999999998,-82.92000000000053,1.5,0,1.5,1.5
30.419999999999998,-82.90000000000053,1.5,0,1.5,1.5
30.419999999999998,-82.88000000000054,1.0,0,1.0,1.0
30.419999999999998,-82.86000000000054,1.0,0,1.0,1.0
30.419999999999998,-82.84000000000054,0.0,0,0,0
30.419999999999998,-82.82000000000055,0.0,0,0,0
30.419999999999998,-82.80000000000055,0.0,0,0,0
30.419999999999998,-82.78000000000056,2.5,0,2.5,2.5
30.419999999999998,-82.76000000000056,2.5,0,2.5,2.5
30.419999999999998,-82.74000000000056,0.0,0,0,0
30.419999999999998,-82.72000000000057,0.0,0,0,0
30.419999999999998,-82.70000000000057,2.5,0,2.5,2.5
30.419999999999998,-82.68000000000058,2.5,0,2.5,2.5
30.419999999999998,-82.66000000000058,2.0,0,2.0,2.0
30.419999999999998,-82.64000000000058,3.5,0,3.5,3.5
30.419999999999998,-82.62000000000059,2.5,0,2.5,2.5
30.419999999999998,-82.60000000000059,0.0,0,0,0
30.419999999999998,-82.5800000000006,0.0,0,0,0
30.419999999999998,-82.5600000000006,0.0,0,0,0
30.419999999999998,-82.5400000000006,0.0,0,0,0
30.419999999999998,-82.5200000000006,0.0,0,0,0
30.419999999999998,-82.50000000000061,0.0,0,0,0
30.419999999999998,-82.48000000000062,0.0,0,0,0
30.419999999999998,-82.46000000000062,0.0,0,0,0
30.419999999999998,-82.44000000000062,0.0,0,0,0
30.419999999999998,-82.42000000000063,0.0,0,0,0
30.419999999999998,-82.40000000000063,0.0,0,0,0
30.419999999999998,-82.38000000000063,0.0,0,0,0
30.419999999999998,-82.36000000000064,0.0,0,0,0
30.419999999999998,-82.34000000000064,0.0,0,0,0
30.419999999999998,-82.32000000000065,0.0,0,0,0
30.419999999999998,-82.30000000000065,2.5,0,2.5,2.5
30.419999999999998,-82.28000000000065,1.5,0,1.5,1.5
30.419999999999998,-82.26000000000066,0.0,0,0,0
30.419999999999998,-82.24000000000066,0.0,0,0,0
30.419999999999998,-82.22000000000067,0.0,0,0,0
30.419999999999998,-82.20000000000067,0.0,0,0,0
30.419999999999998,-82.18000000000067,0.0,0,0,0
30.419999999999998,-82.16000000000068,0.0,0,0,0
30.419999999999998,-82.14000000000068,0.0,0,0,0
30.419999999999998,-82.12000000000069,0.0,0,0,0
30.419999999999998,-82.10000000000069,0.0,0,0,0
30.419999999999998,-82.0800000000007,0.0,0,0,0
30.419999999999998,-82.0600000000007,0.0,0,0,0
30.419999999999998,-82.0400000000007,0.0,0,0,0
30.419999999999998,-82.0200000000007,0.0,0,0,0
30.419999999999998,-82.00000000000071,0.0,0,0,0
30.419999999999998,-81.98000000000071,0.0,0,0,0
30.419999999999998,-81.96000000000072,0.0,0,0,0
30.419999999999998,-81.94000000000072,3.5,0,3.5,3.5
30.419999999999998,-81.92000000000073,4.5,0,4.5,4.5
30.419999999999998,-81.90000000000073,0.0,0,0,0
30.419999999999998,-81.88000000000073,1.0,0,1.0,1.0
30.419999999999998,-81.86000000000074,0.0,0,0,0
30.419999999999998,-81.84000000000074,1.5,0,1.5,1.5
30.419999999999998,-81.82000000000075,1.5,0,1.5,1.5
30.419999999999998,-81.80000000000075,1.5,0,1.5,1.5
30.419999999999998,-81.78000000000075,5.5,0,5.5,5.5
30.419999999999998,-81.76000000000076,9.5,0,9.5,9.5
30.419999999999998,-81.74000000000076,6.0,0,6.0,6.0
30.419999999999998,-81.72000000000077,16.0,0,16.0,16.0
30.419999999999998,-81.70000000000077,12.5,0,12.5,12.5
30.419999999999998,-81.68000000000077,17.0,0,17.0,17.0
30.419999999999998,-81.66000000000078,21.0,0,21.0,20
30.419999999999998,-81.64000000000078,12.0,0,12.0,12.0
30.419999999999998,-81.62000000000079,4.5,0,4.5,4.5
30.419999999999998,-81.60000000000079,0.0,0,0,0
30.419999999999998,-81.5800000000008,5.0,0,5.0,5.0
30.419999999999998,-81.5600000000008,3.5,0,3.5,3.5
30.419999999999998,-81.5400000000008,3.0,0,3.0,3.0
30.419999999999998,-81.5200000000008,4.0,0,4.0,4.0
30.419999999999998,-81.50000000000081,1.0,0,1.0,1.0
30.419999999999998,-81.48000000000081,0.0,0,0,0
30.419999999999998,-81.46000000000082,0.0,0,0,0
30.419999999999998,-81.44000000000082,2.0,0,2.0,2.0
30.419999999999998,-81.42000000000083,4.0,0,4.0,4.0
30.419999999999998,-81.40000000000083,2.0,0,2.0,2.0
30.419999999999998,-81.38000000000083,0.0,0,0,0
30.419999999999998,-81.36000000000084,0.0,0,0,0
30.419999999999998,-81.34000000000084,0.0,0,0,0
30.419999999999998,-81.32000000000085,0.0,0,0,0
30.419999999999998,-81.30000000000085,0.0,0,0,0
30.419999999999998,-81.28000000000085,0.0,0,0,0
30.419999999999998,-81.26000000000086,0.0,0,0,0
30.419999999999998,-81.24000000000086,0.0,0,0,0
30.419999999999998,-81.22000000000087,0.0,0,0,0
30.419999999999998,-81.20000000000087,0.0,0,0,0
30.419999999999998,-81.18000000000087,0.0,0,0,0
30.419999999999998,-81.16000000000088,0.0,0,0,0
30.419999999999998,-81.14000000000088,0.0,0,0,0
30.419999999999998,-81.12000000000089,0.0,0,0,0
30.419999999999998,-81.10000000000089,0.0,0,0,0
30.419999999999998,-81.0800000000009,0.0,0,0,0
30.419999999999998,-81.0600000000009,0.0,0,0,0
30.419999999999998,-81.0400000000009,0.0,0,0,0
30.419999999999998,-81.0200000000009,0.0,0,0,0
30.419999999999998,-81.00000000000091,0.0,0,0,0
30.419999999999998,-80.98000000000091,0.0,0,0,0
30.419999999999998,-80.96000000000092,0.0,0,0,0
30.419999999999998,-80.94000000000092,0.0,0,0,0
30.419999999999998,-80.92000000000093,0.0,0,0,0
30.419999999999998,-80.90000000000093,0.0,0,0,0
30.419999999999998,-80.88000000000093,0.0,0,0,0
30.419999999999998,-80.86000000000094,0.0,0,0,0
30.419999999999998,-80.84000000000094,0.0,0,0,0
30.419999999999998,-80.82000000000095,0.0,0,0,0
30.439999999999998,-85.6,1.5,0,1.5,1.5
30.439999999999998,-85.58,0.0,0,0,0
30.439999999999998,-85.56,2.0,0,2.0,2.0
30.439999999999998,-85.54,2.0,0,2.0,2.0
30.439999999999998,-85.52000000000001,1.5,0,1.5,1.5
30.439999999999998,-85.50000000000001,0.0,0,0,0
30.439999999999998,-85.48000000000002,0.0,0,0,0
30.439999999999998,-85.46000000000002,2.0,0,2.0,2.0
30.439999999999998,-85.44000000000003,5.0,0,5.0,5.0
30.439999999999998,-85.42000000000003,7.5,0,7.5,7.5
30.439999999999998,-85.40000000000003,4.0,0,4.0,4.0
30.439999999999998,-85.38000000000004,3.5,0,3.5,3.5
30.439999999999998,-85.36000000000004,0.0,0,0,0
30.439999999999998,-85.34000000000005,0.0,0,0,0
30.439999999999998,-85.32000000000005,0.0,0,0,0
30.439999999999998,-85.30000000000005,0.0,0,0,0
30.439999999999998,-85.28000000000006,0.0,0,0,0
30.439999999999998,-85.26000000000006,0.0,0,0,0
30.439999999999998,-85.24000000000007,1.0,0,1.0,1.0
30.439999999999998,-85.22000000000007,5.0,0,5.0,5.0
30.439999999999998,-85.20000000000007,6.5,0,6.5,6.5
30.439999999999998,-85.18000000000008,9.0,0,9.0,9.0
30.439999999999998,-85.16000000000008,3.5,0,3.5,3.5
30.439999999999998,-85.14000000000009,2.0,0,2.0,2.0
30.439999999999998,-85.12000000000009,2.0,0,2.0,2.0
30.439999999999998,-85.1000000000001,3.0,0,3.0,3.0
30.439999999999998,-85.0800000000001,19.5,0,19.5,19.5
30.439999999999998,-85.0600000000001,26.0,0,26.0,20
30.439999999999998,-85.0400000000001,28.5,0,28.5,20
30.439999999999998,-85.02000000000011,18.0,0,18.0,18.0
30.439999999999998,-85.00000000000011,23.0,0,23.0,20
30.439999999999998,-84.98000000000012,24.0,0,24.0,20
30.439999999999998,-84.96000000000012,4.5,0,4.5,4.5
30.439999999999998,-84.94000000000013,0.0,0,0,0
30.439999999999998,-84.92000000000013,0.0,0,0,0
30.439999999999998,-84.90000000000013,0.0,0,0,0
30.439999999999998,-84.88000000000014,0.0,0,0,0
