state,county,stcnty,tract,tract_id_20,split_tr,qct_id,metro,Area_Pop,cbsa,cbsasub,VLIL_4_Person_19,VLIL_4_Person_20,VLIL_4_Person_21,P1,P5,H1,B17001est1_19,B17001est2_19,B19013est1_19,B17001est1_20,B17001me1_20,B17001est2_20,B17001me2_20,B19013est1_20,B19013me1_20,B17001est1_21,B17001me1_21,B17001est2_21,B17001me2_21,B19013est1_21,B19013me1_21,AvgHHSize,adj_inc_lim_19,adj_inc_lim_20,adj_inc_lim_21,inc_factor_19,inc_factor_20,inc_factor_21,pov_rate_19,pov_rate_20,pov_rate_21,qct
13,121,13121,002600,13121002600,0,131210026000,1,6089815,12060,METRO12060M12060,44946,45500,47638,1123,0,536,1647,565,33611,1474,212,705,225,24623,17280,1250,238,386,146,27188,18548,2.095149279,43661,44200,46276,1.299009204,,,0.342999995,0.477999985,0.308999985,1
13,121,13121,002801,13121002801,0,131210028010,1,6089815,12060,METRO12060M12060,44946,45500,47638,4441,3215,815,2452,759,33165,1375,269,298,129,69340,12201,1383,250,345,196,67069,15158,1.504294515,40475,40973,42899,1.220413089,0.590899885,0.639624894,0.310000002,0.216999993,,0
13,121,13121,002802,13121002802,0,131210028020,1,6089815,12060,METRO12060M12060,44946,45500,47638,3462,2157,886,2452,759,33165,1075,298,445,187,25054,5296,1202,297,528,226,27851,9668,1.472911954,40305,40802,42719,1.215287209,1.628562331,1.533840775,0.310000002,0.414000005,0.43900001,1
13,121,13121,002900,13121002900,0,131210029000,1,6089815,12060,METRO12060M12060,44946,45500,47638,2553,174,1427,2319,353,71210,2131,279,284,146,82727,22691,2309,324,300,159,86000,16724,1.667133808,41353,41863,43830,0.580718994,0.506037951,0.509651184,0.151999995,,,0
13,121,13121,003000,13121003000,0,131210030000,1,6089815,12060,METRO12060M12060,44946,45500,47638,4058,0,2285,3630,161,113125,3679,481,147,120,128024,12288,3989,519,108,71,135506,14330,1.775929928,41940,42457,44452,0.370740324,0.331633121,0.328044504,,,,0
13,121,13121,003100,13121003100,0,131210031000,1,6089815,12060,METRO12060M12060,44946,45500,47638,2250,0,1185,2039,215,62250,2278,398,257,169,82309,39452,2427,426,278,274,93583,52054,1.898734212,42602,43127,45154,0.684369504,0.523964584,,0.104999997,,,0
13,121,13121,003200,13121003200,0,131210032000,1,6089815,12060,METRO12060M12060,44946,45500,47638,2426.000051,0,1474.999965,2389,37,111768,2346,273,57,52,111114,10676,2569,265,129,110,117386,19075,1.644745827,41232,41740,43702,0.368907034,0.375650227,0.372293115,,,,0
13,121,13121,003500,13121003500,0,131210035000,1,6089815,12060,METRO12060M12060,44946,45500,47638,4257.999946,2684.00003,1089.000036,1750,932,53889,2203,449,854,272,51474,11336,2190,554,875,345,50687,9023,1.445362568,40157,40652,42562,0.745179892,0.789757907,0.839702487,0.532999992,0.388000011,0.400000006,1
13,121,13121,003600,13121003600,0,131210036000,1,6089815,12060,METRO12060M12060,44946,45500,47638,902,14,622,1173,400,53152,1092,263,211,117,68859,19118,1222,328,182,118,77601,13972,1.427652717,40061,40555,42461,0.753706336,0.588957131,0.547170758,,,,0
13,121,13121,003700,13121003700,0,131210037000,1,6089815,12060,METRO12060M12060,44946,45500,47638,191,0,156,196,69,23684,176,76,66,83,36288,23262,159,72,93,112,,,1.224358916,38965,39445,41298,,,,,,,0
13,121,13121,003800,13121003800,0,131210038000,1,6089815,12060,METRO12060M12060,44946,45500,47638,3456,2881,257,416,180,20625,483,203,160,67,20952,11606,607,374,122,62,27143,25058,2.23735404,44428,44976,47089,2.154084921,,,0.432999998,0.331,,1
13,121,13121,003900,13121003900,0,131210039000,1,6089815,12060,METRO12060M12060,44946,45500,47638,1756,0,803,2090,645,33000,2011,678,668,289,37292,6298,1668,549,417,205,38510,11444,2.186799526,44156,44700,46800,1.338060617,1.198648453,1.215268731,0.308999985,0.331999987,0.25,1
13,121,13121,004000,13121004000,0,131210040000,1,6089815,12060,METRO12060M12060,44946,45500,47638,2325,0,958,2705,844,32417,2677,613,884,354,33177,11853,2498,497,682,305,45761,12919,2.426931143,45451,46011,48173,1.402073026,1.386834264,1.052708626,0.312000006,0.330000013,0.273000002,1
13,121,13121,004100,13121004100,0,131210041000,1,6089815,12060,METRO12060M12060,44946,45500,47638,1949,6,889,2213,544,54208,2317,522,327,232,62545,13081,2287,423,252,161,63896,12270,2.185601711,44149,44693,46793,0.814436972,0.714573503,0.73233068,0.246000007,,,0
13,121,13121,004200,13121004200,0,131210042000,1,6089815,12060,METRO12060M12060,44946,45500,47638,2443,24,1447,2477,1055,18913,2675,577,971,241,23906,4494,2417,511,904,258,23029,3549,1.671734571,41378,41888,43856,2.187807322,1.752196074,1.904381394,0.425999999,0.363000005,0.374000013,1
13,121,13121,004300,13121004300,0,131210043000,1,6089815,12060,METRO12060M12060,44946,45500,47638,2475,1458,582,1192,358,36750,1078,217,250,101,61066,35030,1012,198,227,101,49444,36953,1.747422695,41786,42301,44289,,,,0.300000012,0.231999993,0.224000007,0
13,121,13121,004400,13121004400,0,131210044000,1,6089815,12060,METRO12060M12060,44946,45500,47638,2667.000156,0,1244.000072,3367,1787,23587,3105,917,1038,542,24297,3842,3012,772,924,503,25781,5538,2.143890619,43924,44466,46555,1.862212181,1.830102444,1.805787206,0.531000018,,,1
13,121,13121,004800,13121004800,0,131210048000,1,6089815,12060,METRO12060M12060,44946,45500,47638,1175,0,751,988,498,19612,1088,360,509,233,14654,5498,1091,343,421,152,15726,11703,1.56458056,40800,41303,43243,2.080358982,2.818547726,,0.504000008,0.467999995,0.386000007,1
13,121,13121,004900,13121004900,0,131210049000,1,6089815,12060,METRO12060M12060,44946,45500,47638,2871,0,1320.000008,2785,694,82888,2884,515,642,329,91563,23363,2994,557,628,365,83819,27579,2.174999952,44092,44635,46733,0.531946719,0.487478554,0.557546616,,,,0
13,121,13121,005000,13121005000,0,131210050000,1,6089815,12060,METRO12060M12060,44946,45500,47638,3366.000079,113.9999996,1931.000069,2468,141,75592,2532,578,200,195,78732,6557,2894,627,215,187,84010,10421,1.684101462,41444,41955,43927,0.548259079,0.532883704,0.52287823,,,,0
13,121,13121,005200,13121005200,0,131210052000,1,6089815,12060,METRO12060M12060,44946,45500,47638,4719,25,2138,4988,718,111759,4712,733,447,270,132143,29052,4783,510,383,208,127544,35288,2.195509911,44203,44747,46850,0.395520717,0.33862558,0.367324203,,,,0
13,121,13121,005300,13121005300,0,131210053000,1,6089815,12060,METRO12060M12060,44946,45500,47638,4165,37,1757,3853,419,102303,3919,443,255,170,109068,17239,4047,406,242,179,122500,25483,2.34945941,45033,45588,47730,0.440192372,0.41797778,0.389632642,,,,0
13,121,13121,005501,13121005501,0,131210055010,1,6089815,12060,METRO12060M12060,44946,45500,47638,2505,0,988,2530,940,37647,3021,1290,1262,961,36853,6849,3045,1156,1337,874,37342,12476,2.535425186,46036,46603,48793,1.222833157,1.264564633,1.306652069,0.372000009,,,1
13,121,13121,005503,13121005503,0,131210055030,1,6089815,12060,METRO12060M12060,44946,45500,47638,1786,0,756,2828,1171,21804,1071,221,320,225,19679,5963,1136,245,290,217,21590,2702,2.36243391,45103,45659,47804,2.068565369,2.320188999,2.214173317,0.414000005,,,1
13,121,13121,005504,13121005504,0,131210055040,1,6089815,12060,METRO12060M12060,44946,45500,47638,1235,10,564,2828,1171,21804,1330,373,381,170,51731,36331,1341,274,418,195,38000,23520,2.171985865,44076,44619,46716,2.021463871,,,0.414000005,0.286000013,0.312000006,1
13,121,13121,005700,13121005700,0,131210057000,1,6089815,12060,METRO12060M12060,44946,45500,47638,1550,0,706,1459,387,25170,1366,352,292,119,31500,8941,1301,280,249,114,35607,6801,2.195467472,44202,44747,46850,1.756138206,1.420539737,1.315752506,0.264999986,0.214000002,0.191,1
13,121,13121,005800,13121005800,0,131210058000,1,6089815,12060,METRO12060M12060,44946,45500,47638,1528,15,711,1430,389,42679,1224,320,172,86,48235,21296,1207,280,128,76,60290,7812,2.127988815,43838,44379,46464,1.027156234,0.920058072,0.770675063,0.272000015,,,0
13,121,13121,006000,13121006000,0,131210060000,1,6089815,12060,METRO12060M12060,44946,45500,47638,3140.00001,0,1403.999978,3715,586,38783,3686,838,708,648,42325,11969,3438,742,710,674,48484,14566,2.236467361,44424,44971,47084,1.145450354,1.062516212,0.97112447,0.158000007,,,1
13,121,13121,006100,13121006100,0,131210061000,1,6089815,12060,METRO12060M12060,44946,45500,47638,3269,0,1342,3908,1118,29323,3745,645,1285,463,30540,7521,3406,619,1282,545,28967,12837,2.435916424,45499,46060,48224,1.551648855,1.508185983,1.664790988,0.286000013,0.342999995,0.375999987,1
13,121,13121,006200,13121006200,0,131210062000,1,6089815,12060,METRO12060M12060,44946,45500,47638,1253,0,479,1725,423,37500,2025,814,372,186,52000,47680,1541,329,378,233,43147,17249,2.615866423,46470,47043,49253,1.239199996,,1.141516209,,,,1
13,121,13121,006300,13121006300,0,131210063000,1,6089815,12060,METRO12060M12060,44946,45500,47638,1757,0,753,1492,559,31483,1668,382,643,316,36143,5491,1617,283,647,293,37016,6855,2.333333254,44946,45500,47638,1.427627563,1.258888364,1.286957026,0.375,0.38499999,0.400000006,1
13,121,13121,006400,13121006400,0,131210064000,1,6089815,12060,METRO12060M12060,44946,45500,47638,902,0,356,936,279,30395,902,217,249,124,41000,14934,744,218,183,90,36181,15452,2.533707857,46027,46594,48783,1.514295101,1.136438966,1.348304391,0.298000008,0.275999993,0.246000007,1
13,121,13121,006500,13121006500,0,131210065000,1,6089815,12060,METRO12060M12060,44946,45500,47638,3697,5,1544,3772,928,50163,3818,589,1233,514,53409,24991,3329,543,673,472,61060,17253,2.391191721,45258,45816,47969,0.902218759,0.857832968,0.785604298,0.246000007,0.323000014,,0
13,121,13121,006601,13121006601,0,131210066010,1,6089815,12060,METRO12060M12060,44946,45500,47638,2034,0,982,1754,473,44250,1657,255,505,187,49432,17196,1735,236,478,214,57031,17068,2.071283102,43533,44069,46140,0.983796597,0.891507506,0.809033692,0.270000011,0.305000007,0.275999993,1
13,121,13121,006602,13121006602,0,131210066020,1,6089815,12060,METRO12060M12060,44946,45500,47638,1050,0,422,1211,506,25375,875,178,305,135,25568,8807,888,155,309,125,22500,7553,2.48815155,45781,46345,48523,1.804177284,1.812617302,2.156577826,0.418000013,0.349000007,0.34799999,1
13,121,13121,006701,13121006701,0,131210067010,1,6089815,12060,METRO12060M12060,44946,45500,47638,2090,0,865,3966,1621,25651,2938,1924,799,346,25958,13203,2868,1799,807,368,25963,10664,2.416184902,45393,45952,48112,1.769638658,,1.853098631,0.409000009,,,1
13,121,13121,006702,13121006702,0,131210067020,1,6089815,12060,METRO12060M12060,44946,45500,47638,1862.000042,0,881.9999976,3971,1622,25686,1782,391,561,376,35313,17705,2015,284,318,249,50345,25695,2.111111164,43747,44287,46368,1.703145623,,,0.407999992,,,0
13,121,13121,006801,13121006801,0,131210068010,1,6089815,12060,METRO12060M12060,44946,45500,47638,2297,2280,0,0,0,0,1,4,1,4,0,0,3,4,3,4,,,,,,,,,,,,,0
13,121,13121,006802,13121006802,0,131210068020,1,6089815,12060,METRO12060M12060,44946,45500,47638,1384,0,367,2235,1803,14375,2040,396,1594,459,13750,6728,1913,544,1601,579,15112,9684,3.77111721,52701,53350,55857,3.66615653,3.880000114,,0.806999981,0.781000018,0.837000012,1
13,121,13121,006900,13121006900,0,131210069000,1,6089815,12060,METRO12060M12060,44946,45500,47638,3733,0,1651,3483,701,73429,3297,498,603,319,76731,15868,3284,441,557,239,84450,11348,2.261053801,44556,45105,47225,0.606790245,0.587832808,0.559206605,0.201000005,,0.170000002,0
13,121,13121,007001,13121007001,0,131210070010,1,6089815,12060,METRO12060M12060,44946,45500,47638,4055,0,1467,4539,1775,29528,4243,762,1403,574,30323,4040,3466,500,1306,420,30324,5533,2.764144421,47270,47852,50101,1.600853443,1.578076005,1.652189732,0.391000003,0.331,0.377000004,1
13,121,13121,007002,13121007002,0,131210070020,1,6089815,12060,METRO12060M12060,44946,45500,47638,2871,0,1033,2651,566,45451,3126,848,672,403,45033,10680,2822,746,552,318,48480,6188,2.779283524,47351,47935,50187,1.041803241,1.064441681,1.035210371,,,,1
13,121,13121,007100,13121007100,0,131210071000,1,6089815,12060,METRO12060M12060,44946,45500,47638,2267,0,821,2746,871,25489,2658,560,747,315,25208,6136,2753,523,763,400,27993,8482,2.761266708,47254,47837,50084,1.85389781,1.89769125,1.789161563,0.317000002,0.280999988,,1
13,121,13121,007200,13121007200,0,131210072000,1,6089815,12060,METRO12060M12060,44946,45500,47638,1968,0,691,2110,765,27083,2260,601,850,374,0,0,1876,417,838,382,,,2.848046303,47722,48310,50580,1.762064815,,,0.363000005,0.375999987,0.446999997,1
13,121,13121,007301,13121007301,0,131210073010,1,6089815,12060,METRO12060M12060,44946,45500,47638,4435,0,1705,6823,1892,32044,4444,1024,745,654,40344,11955,3724,807,361,305,39577,12848,2.601172924,46391,46962,49169,1.447728157,1.164039254,1.242362976,0.27700001,,,1
13,121,13121,007302,13121007302,0,131210073020,1,6089815,12060,METRO12060M12060,44946,45500,47638,3031,0,1180,6823,1892,32044,3215,530,1133,672,19118,16820,2944,406,1304,560,18247,8591,2.568644047,46215,46785,48983,1.442235708,,2.684441328,0.27700001,,0.442999989,1
13,121,13121,007400,13121007400,0,131210074000,1,6089815,12060,METRO12060M12060,44946,45500,47638,3141.00005,345.9999933,1181.999992,3051,1482,19853,3057,888,1441,643,22287,7806,3122,659,1251,509,26391,7888,2.364636183,45115,45671,47817,2.272452593,2.049221516,1.811867714,0.486000001,0.470999986,0.400999993,1
13,121,13121,007500,13121007500,0,131210075000,1,6089815,12060,METRO12060M12060,44946,45500,47638,3446.999981,95.9999993,1547.999981,3341,1130,26209,2973,522,928,373,24301,10581,3194,378,848,431,26023,11982,2.164728642,44037,44579,46674,1.680224299,1.834451199,1.793567181,0.338,0.312000006,,1
13,121,13121,007602,13121007602,0,131210076020,1,6089815,12060,METRO12060M12060,44946,45500,47638,2309,20,941,2570,914,32500,2975,1063,550,253,38219,11291,2882,931,479,259,42965,7921,2.432518482,45481,46042,48205,1.399415374,1.204688787,1.121959686,0.356000006,0.185000002,,1
