lon,lat,score,score_type
-83.25000000000013,30.55,0,use_only_actual_tract
-83.20000000000013,30.55,0,use_only_actual_tract
-83.15000000000013,30.55,0,use_only_actual_tract
-83.10000000000014,30.55,0,use_only_actual_tract
-83.05000000000014,30.55,0,use_only_actual_tract
-83.00000000000014,30.55,0,use_only_actual_tract
-82.95000000000014,30.55,0,use_only_actual_tract
-82.90000000000015,30.55,0,use_only_actual_tract
-82.85000000000015,30.55,0,use_only_actual_tract
-82.80000000000015,30.55,0,use_only_actual_tract
-82.75000000000016,30.55,0,use_only_actual_tract
-82.70000000000016,30.55,0,use_only_actual_tract
-82.65000000000016,30.55,0,use_only_actual_tract
-82.60000000000016,30.55,0,use_only_actual_tract
-82.55000000000017,30.55,0,use_only_actual_tract
-82.50000000000017,30.55,0,use_only_actual_tract
-82.45000000000017,30.55,0,use_only_actual_tract
-82.40000000000018,30.55,0,use_only_actual_tract
-82.35000000000018,30.55,0,use_only_actual_tract
-82.30000000000018,30.55,0,use_only_actual_tract
-82.25000000000018,30.55,0,use_only_actual_tract
-82.20000000000019,30.55,6,use_only_actual_tract
-82.15000000000019,30.55,6,use_only_actual_tract
-82.1000000000002,30.55,6,use_only_actual_tract
-82.0500000000002,30.55,6,use_only_actual_tract
-82.0000000000002,30.55,0,use_only_actual_tract
-81.9500000000002,30.55,0,use_only_actual_tract
-81.9000000000002,30.55,0,use_only_actual_tract
-81.85000000000021,30.55,0,use_only_actual_tract
-81.80000000000021,30.55,0,use_only_actual_tract
-81.75000000000021,30.55,0,use_only_actual_tract
-81.70000000000022,30.55,0,use_only_actual_tract
-81.65000000000022,30.55,0,use_only_actual_tract
-81.60000000000022,30.55,0,use_only_actual_tract
-81.55000000000022,30.55,0,use_only_actual_tract
-81.50000000000023,30.55,0,use_only_actual_tract
-81.45000000000023,30.55,0,use_only_actual_tract
-81.40000000000023,30.55,0,use_only_actual_tract
-81.35000000000024,30.55,0,use_only_actual_tract
-81.30000000000024,30.55,0,use_only_actual_tract
-81.25000000000024,30.55,0,use_only_actual_tract
-81.20000000000024,30.55,0,use_only_actual_tract
-81.15000000000025,30.55,0,use_only_actual_tract
-81.10000000000025,30.55,0,use_only_actual_tract
-81.05000000000025,30.55,0,use_only_actual_tract
-81.00000000000026,30.55,0,use_only_actual_tract
-80.95000000000026,30.55,0,use_only_actual_tract
-80.90000000000026,30.55,0,use_only_actual_tract
-80.85000000000026,30.55,0,use_only_actual_tract
-85.6,30.6,0,use_only_actual_tract
-85.55,30.6,0,use_only_actual_tract
-85.5,30.6,0,use_only_actual_tract
-85.45,30.6,0,use_only_actual_tract
-85.4,30.6,0,use_only_actual_tract
-85.35000000000001,30.6,0,use_only_actual_tract
-85.30000000000001,30.6,0,use_only_actual_tract
-85.25000000000001,30.6,0,use_only_actual_tract
-85.20000000000002,30.6,0,use_only_actual_tract
-85.15000000000002,30.6,0,use_only_actual_tract
-85.10000000000002,30.6,0,use_only_actual_tract
-85.05000000000003,30.6,0,use_only_actual_tract
-85.00000000000003,30.6,0,use_only_actual_tract
-84.95000000000003,30.6,0,use_only_actual_tract
-84.90000000000003,30.6,0,use_only_actual_tract
