lat,lon,google_type,,
33.450,-84.650,place_of_worship,,
33.450,-84.650,post_office,,
33.450,-84.550,department_store,,
33.450,-84.550,clothing_store,,
33.450,-84.550,home_goods_store,,
33.450,-84.550,grocery_or_supermarket,,
33.450,-84.550,supermarket,,
33.450,-84.550,restaurant,,
33.450,-84.550,hospital,,
33.450,-84.550,doctor,,
33.450,-84.550,pharmacy,,
33.450,-84.550,university,,
33.450,-84.550,primary_school,,
33.450,-84.550,secondary_school,,
33.450,-84.550,city_hall,,
33.450,-84.550,courthouse,,
33.450,-84.550,park,,
33.450,-84.550,library,,
33.450,-84.550,fire_station,,
33.450,-84.550,police,,
33.450,-84.550,bank,,
33.450,-84.550,place_of_worship,,
33.450,-84.550,post_office,,
33.450,-84.450,department_store,,
33.450,-84.450,clothing_store,,
33.450,-84.450,home_goods_store,,
33.450,-84.450,grocery_or_supermarket,,
33.450,-84.450,supermarket,,
33.450,-84.450,restaurant,,
33.450,-84.450,hospital,,33.810,-84.650,post_office
33.810,-84.550,department_store
33.810,-84.550,clothing_store
33.810,-84.550,home_goods_store
33.810,-84.550,grocery_or_supermarket
33.810,-84.550,supermarket
33.810,-84.550,restaurant
33.810,-84.550,hospital
33.810,-84.550,doctor
33.810,-84.550,pharmacy
33.810,-84.550,university
33.810,-84.550,primary_school
33.810,-84.550,secondary_school
33.810,-84.550,city_hall
33.810,-84.550,courthouse
33.810,-84.550,park
33.810,-84.550,library
33.810,-84.550,fire_station
33.810,-84.550,police
33.810,-84.550,bank
33.810,-84.550,place_of_worship
33.810,-84.550,post_office
33.810,-84.450,department_store
33.810,-84.450,clothing_store
33.810,-84.450,home_goods_store
33.810,-84.450,grocery_or_supermarket
33.810,-84.450,supermarket
33.810,-84.450,restaurant
33.810,-84.450,hospital
33.810,-84.450,doctor
33.810,-84.450,pharmacy
33.810,-84.450,university
33.810,-84.450,primary_school
33.810,-84.450,secondary_school
33.810,-84.450,city_hall
33.810,-84.450,courthouse
33.810,-84.450,park
33.810,-84.450,library
33.810,-84.450,fire_station
33.810,-84.450,police
33.810,-84.450,bank
33.810,-84.450,place_of_worship
33.810,-84.450,post_office
33.810,-84.350,department_store
33.810,-84.350,clothing_store
33.810,-84.350,home_goods_store
33.810,-84.350,grocery_or_supermarket
33.810,-84.350,supermarket
33.810,-84.350,restaurant
33.810,-84.350,hospital
