ID_NUMBER,FACILITY_NAME,FULL_ENFORCEMENT,HREPORT_UNIVERSE_RECORD,STREET_ADDRESS,CITY_NAME,STATE_CODE,ZIP_CODE,LATITUDE83,LONGITUDE83,FED_WASTE_GENERATOR,ACTIVE_SITE,OPERATING_TSDF,NAICS_CODE
GAR000048751,WILLIAMS USED OIL RECOVERY USA,------,Other,91 MAMIES RD,MIDWAY,GA,31320,,,N  ,-----,------         ,562211
GAR000042358,PASCAL TRANSPORTATION INC,------,Other,345 SOUTH BLANCHARD ST,VALDOSTA,GA,31601,,,N  ,-----,------         ,562112
GAD061167607,CUSTOM TANK TECHNOLOGY,------,Other,777 GREENBELT PKWY,GRIFFIN,GA,30223,33.238254,-84.236137,N  ,-----,------         ,
GAD981226111,JONES JOHN CARBURETOR SERVICE,------,Other,280 BRENNAN RD,COLUMBUS,GA,31906,32.447575,-84.943583,N  ,-----,------         ,811118
GAR000003087,INTERSTATE PAINT & BODY,------,Other,615 SMITH DR,PERRY,GA,31069,32.465809,-83.745614,N  ,-----,------         ,
GAD981234164,ELLIOTT BILL FORD,------,Other,HWY 400 @ BURNT STAND RD,DAHLONEGA,GA,30533,,,N  ,-----,------         ,44111
GAD981233166,MARBLE MASTERS OF MID GA INC,------,Other,1105 N DAVIS DR,WARNER ROBINS,GA,31093,32.637196,-83.612917,N  ,-----,------         ,
GAD984311985,DUNLOP RUBBER,------,Other,HWY 29 SOUTH,HARTWELL,GA,30643,,,N  ,-----,------         ,
GAD984299032,SOMMERS 31 TIME SAVER,------,Other,5799 OGEECHEE RD,SAVANNAH,GA,31405,32.014108,-81.232974,N  ,-----,------         ,
GAD984307512,BLOODWORTH MACHINERY ERECTORS,------,Other,2220 TRADE DR,MACON,GA,31201,32.84688,-83.586186,N  ,-----,------         ,
GAD082831736,GEORGIA PACIFIC PEARSON,------,Other,HIGHWAY 82 EAST,PEARSON,GA,31642,31.298333,-82.855,N  ,-----,------         ,321113
GAD082831736,GEORGIA PACIFIC PEARSON,------,Other,HIGHWAY 82 EAST,PEARSON,GA,31642,31.298333,-82.855,N  ,-----,------         ,321114
GAD984321919,HARRIS HUB SOUTHERN,------,Other,OLD HWY 23,TIGER,GA,30576,,,N  ,-----,------         ,
