SITE NAME,SITE ADDRESS LINE1,SITE CITY,SITE COUNTY / PARISH,SITE POSTAL CODE,SITE STATE,SITE LATITUDE,SITE LONGITUDE,SITE NAICS CODE 1
RICOH ELECTRONICS INC,"1125 HURRICANE SHOALS ROAD, NORTHEAST",LAWRENCEVILLE,GWINNETT,30043-4827,GA,33.98714,-83.95464,322222 Coated And Laminated Paper Manufacturing
"VWR INTERNATIONAL, LLC",1050 SATELLITE BLVD,SUWANEE,GWINNETT,30024,GA,34.01673,-84.065657,325180 Other Basic Inorganic Chemical Manufacturing
PRIME RESINS,2291 PLUNKETT RD,CONYERS,ROCKDALE,30012,GA,33.68905,-84.06332,325510 Paint And Coating Manufacturing
FLOCRYL LLC-ACRYLAMIDE,3 CHEMICAL PLANT ROAD,RICEBORO,LIBERTY COUNTY,31323,GA,31.745361,-81.440049,325199 All Other Basic Organic Chemical Manufacturing
FLOCRYL LLC-ACRYLATES,674 CHEMICAL PLANT ROAD,RICEBORO,LIBERTY COUNTY,31323,GA,31.743668,-81.431776,325199 All Other Basic Organic Chemical Manufacturing
H.B. FULLER COMPANY,12110 HARLAND DR NE,COVINGTON,NEWTON COUNTY,30014,GA,33.620378,-83.833263,325520 Adhesive Manufacturing
BRIDGESTONE SPORTING GOODS MFG USA INC,15320 INDUSTRIAL PARK BOULEVARD NE,COVINGTON,NEWTON,30014-6428,GA,33.625499,-83.832606,339920 Sporting And Athletic Goods Manufacturing
ARYLESSENCE INCORPORATED,1091 LAKE DRIVE,MARIETTA,COBB,30066-1073,GA,34.066319,-84.518061,325620 Toilet Preparation Manufacturing
COMPOSITES ONE LLC,621-A HURRICANE SHOALS ROAD NW,LAWRENCEVILLE,GWINNETT COUNTY,30046,GA,33.960489,-84.015157,424610 Plastics Materials And Basic Forms And Shapes Merchant Wholesalers
CHEMICAL PRODUCTS CORPORATION,102 OLD MILL ROAD S.E.,CARTERSVILLE,BARTOW COUNTY,30120,GA,34.143439,-84.784762,325180 Other Basic Inorganic Chemical Manufacturing
NOURYON PULP & PERFORMANCE CHEMICALS LLC,1850 PARKWAY PL SE,MARIETTA,COBB COUNTY,30067,GA,33.939065,-84.50333,325180 Other Basic Inorganic Chemical Manufacturing
GEO SPECIALTY CHEMICALS INC,701 WISSAHICKON AVE.,CEDARTOWN,POLK COUNTY,30125,GA,34.019222,-85.272111,424690 Other Chemical And Allied Products Merchant Wholesalers
REMA TIP TOP/NA,1500 INDUSTRIAL BLVD,MADISON,MORGAN,30650,GA,33.605,-83.46,325520 Adhesive Manufacturing
TR POLYMERS,1300 TIARCO DR SW,DALTON,WHITFIELD COUNTY,30721,GA,34.68832,-84.99185,325998 All Other Miscellaneous Chemical Product And Preparation Manufacturing
"Solvay Specialty Polymers USA, LLC",3702 Clanton Road,Augusta,RICHMOND COUNTY,30906,GA,33.370141,-82.014006,325211 Plastics Material And Resin Manufacturing
