2020 Census Tract,T2_est77,T2_est84,T2_est91,Total Rental Units with Severe Housing Problems and Equal to or less than 80% AMI,T7_est109,T7_est130,T7_est151,Total Rental Units Equal to or less than 80% AMI,% of rental units occupied by 80% AMI and below with Severe Housing Problems
13045910705,265,0,0,265,325,185,185,695,0.381294964028777
13045910706,0,0,0,0,0,55,10,65,0
13045910707,0,0,0,0,45,0,0,45,0
13045910708,135,0,30,165,330,130,165,625,0.264
13045910709,35,0,0,35,35,30,75,140,0.25
13045910800,20,4,10,34,80,50,55,185,0.1837837837837838
13045910900,40,4,60,104,85,45,70,200,0.52
13045911001,75,30,0,105,105,30,85,220,0.4772727272727273
13045911002,85,40,0,125,175,165,125,465,0.26881720430107525
13045911101,185,50,30,265,370,245,170,785,0.3375796178343949
13045911102,25,30,0,55,50,50,30,130,0.4230769230769231
13045911201,80,0,0,80,150,30,55,235,0.3404255319148936
13045911202,70,10,0,80,95,80,35,210,0.38095238095238093
13047030100,170,15,0,185,200,100,125,425,0.43529411764705883
13047030201,75,0,15,90,175,160,160,495,0.18181818181818182
13047030202,45,0,0,45,70,65,105,240,0.1875
13047030303,0,0,0,0,0,20,95,115,0
13047030304,25,0,0,25,25,10,25,60,0.4166666666666667
13047030305,25,0,0,25,55,0,20,75,0.3333333333333333
13047030306,20,0,0,20,20,25,170,215,0.09302325581395349
13047030402,35,50,0,85,35,70,135,240,0.3541666666666667
13047030403,0,0,0,0,0,70,0,70,0
13047030404,0,0,0,0,10,15,20,45,0
13047030501,35,20,0,55,35,40,135,210,0.2619047619047619
13047030502,35,0,0,35,105,80,50,235,0.14893617021276595
13047030600,50,110,0,160,70,160,155,385,0.4155844155844156
13047030701,20,25,0,45,110,120,120,350,0.12857142857142856
13047030702,85,15,315,415,210,260,540,1010,0.41089108910891087
13049010101,30,30,0,60,35,70,60,165,0.36363636363636365
13049010102,115,20,15,150,235,150,65,450,0.3333333333333333
13049010200,0,30,0,30,95,35,0,130,0.23076923076923078
13051000601,220,0,4,224,285,265,150,700,0.32
13051001100,115,65,0,180,175,110,175,460,0.391304347826087
13051001200,240,15,10,265,420,100,90,610,0.4344262295081967
13051002000,165,25,0,190,260,30,65,355,0.5352112676056338
13051002100,65,30,15,110,100,80,85,265,0.41509433962264153
13051002200,150,85,0,235,225,220,245,690,0.34057971014492755
13051002300,105,45,4,154,145,90,105,340,0.45294117647058824
13051002600,125,15,0,140,135,45,55,235,0.5957446808510638
13051002700,190,85,0,275,195,115,60,370,0.7432432432432432
13051002800,160,105,20,285,195,190,280,665,0.42857142857142855
13051002900,10,0,15,25,10,0,125,135,0.18518518518518517
13051003000,15,10,10,35,35,15,30,80,0.4375
13051003301,40,35,0,75,40,115,105,260,0.28846153846153844
13051003302,15,10,0,25,60,40,110,210,0.11904761904761904
13051003400,20,40,55,115,60,100,185,345,0.3333333333333333
13051003501,75,35,0,110,285,145,160,590,0.1864406779661017
13051003502,105,135,0,240,105,240,245,590,0.4067796610169492
13051003601,255,50,0,305,325,115,205,645,0.4728682170542636
13051003602,145,175,0,320,240,315,320,875,0.3657142857142857
13051003700,65,0,0,65,105,65,120,290,0.22413793103448276
13051003800,25,10,0,35,110,25,55,190,0.18421052631578946
13051003900,50,4,0,54,65,10,190,265,0.2037735849056604
13051004001,80,155,70,305,250,200,135,585,0.5213675213675214
13051004002,95,15,0,110,220,75,170,465,0.23655913978494625
13051004100,25,40,15,80,25,50,45,120,0.6666666666666666
13051004207,140,105,45,290,175,145,210,530,0.5471698113207547
13051004208,235,110,25,370,275,225,320,820,0.45121951219512196
13051004209,210,80,0,290,230,185,315,730,0.3972602739726027
13051004210,180,70,10,260,250,200,390,840,0.30952380952380953
13051004211,70,55,10,135,100,55,95,250,0.54
13051004212,80,25,0,105,115,65,240,420,0.25
13051004300,80,55,10,145,115,100,185,400,0.3625
13051004400,170,25,15,210,205,135,105,445,0.47191011235955055
13051004500,115,20,0,135,190,20,125,335,0.40298507462686567
