County Name,2011 Population,2018 Population,2019 Population,2020 Population,2021 Population,% YoY growth: 2018-2019,% YoY growth: 2019-2020,% YoY growth: 2020-2021,Average: YoY Growth 2018-2021,Is 2021 greater than 2011?
"Tift County, Georgia",40204,40510,40541,40590,41148,0.0007652431498395458,0.0012086529685996891,0.013747228381374724,0.005240374833271319,Yes
"Toombs County, Georgia",27269,27048,26972,26947,26956,-0.0028098195800059155,-0.0009268871422215631,0.0003339889412550562,-0.001134239260324141,No
"Towns County, Georgia",10502,11417,11617,11815,12300,0.017517736708417272,0.017043987260049926,0.04104951333051206,0.02520374576632642,Yes
"Treutlen County, Georgia",6846,6777,6795,6787,6410,0.0026560424966799467,-0.001177336276674025,-0.0555473699720053,-0.018022887917333127,No
"Troup County, Georgia",66422,69774,69919,70095,69483,0.0020781379883624274,0.0025171984725181995,-0.008731007917825807,-0.00137855715231506,Yes
"Turner County, Georgia",8973,7962,7943,7920,8856,-0.0023863350916855063,-0.002895631373536447,0.11818181818181818,0.037633283905532076,No
"Twiggs County, Georgia",9200,8284,8229,8195,8034,-0.006639304683727668,-0.004131729250212663,-0.019646125686394143,-0.010139053206778157,No
"Union County, Georgia",21217,22775,23288,23999,24183,0.02252469813391877,0.030530745448299552,0.007666986124421851,0.02024080990221339,Yes
"Upson County, Georgia",27235,26216,26236,26329,27424,0.0007628928898382667,0.0035447476749504497,0.041589122260625166,0.015298920941804628,Yes
"Walker County, Georgia",68370,68824,69039,69398,67772,0.0031239102638614437,0.0051999594432132566,-0.023430070030836622,-0.005035400107920641,No
"Walton County, Georgia",83003,90132,91442,93284,95453,0.014534238672169707,0.02014391636228429,0.02325157583294027,0.019309910289131423,Yes
"Ware County, Georgia",36181,35599,35593,35745,36084,-0.00016854406022641084,0.004270502626921024,0.009483843894250945,0.004528600820315185,No
"Warren County, Georgia",5873,5346,5297,5259,5218,-0.00916573138795361,-0.007173872003020577,-0.007796158965582811,-0.008045254118852332,No
"Washington County, Georgia",21175,20461,20436,20316,20052,-0.0012218366648746395,-0.005871990604815032,-0.01299468399291199,-0.006696170420867221,No
"Wayne County, Georgia",29988,29767,29788,29959,30118,0.000705479221957201,0.005740566671142742,0.005307253246103007,0.0039177663797343165,Yes
"Webster County, Georgia",2760,2613,2610,2587,2372,-0.001148105625717566,-0.008812260536398468,-0.08310784692694241,-0.031022737696352814,No
"Wheeler County, Georgia",7354,7939,7928,7897,7568,-0.0013855649326111601,-0.003910191725529768,-0.04166139040141826,-0.015652382353186396,Yes
"White County, Georgia",26840,28928,29489,29962,27886,0.019392975663716814,0.01603987927701855,-0.06928776450170215,-0.011284969853655596,Yes
"Whitfield County, Georgia",101234,103849,104237,104122,103076,0.0037361938969080106,-0.0011032550821685199,-0.01004590768521542,-0.0024709896234919766,Yes
"Wilcox County, Georgia",9131,8846,8824,8701,8841,-0.0024869997739091114,-0.013939256572982775,0.016090104585679808,-0.0001120505870706931,No
"Wilkes County, Georgia",10485,9884,9844,9797,9643,-0.004046944556859571,-0.004774481917919545,-0.015719097682964173,-0.008180174719247762,No
"Wilkinson County, Georgia",9617,9078,9010,8945,8931,-0.00749063670411985,-0.007214206437291898,-0.0015651201788708777,-0.005423321106760875,No
"Worth County, Georgia",21741,20656,20494,20346,20824,-0.00784275755228505,-0.0072216258417097685,0.02349356138798781,0.0028097259979976644,No
