cbsa,statefp,cnty,stcnty,tract,splittr,qct_id,fips
12060,13,089,13089,0214.18,0,1.3089E+11,13089021418
12060,13,089,13089,0232.13,0,1.3089E+11,13089023213
12060,13,045,13045,9101.06,0,1.30459E+11,13045910106
12060,13,121,13121,0044.00,0,1.3121E+11,13121004400
12060,13,121,13121,0055.03,0,1.3121E+11,13121005503
12060,13,121,13121,0067.01,0,1.3121E+11,13121006701
12060,13,121,13121,0038.00,0,1.3121E+11,13121003800
12060,13,121,13121,0120.00,0,1.3121E+11,13121012000
12060,13,089,13089,0212.04,0,1.3089E+11,13089021204
12060,13,121,13121,0072.00,0,1.3121E+11,13121007200
12060,13,089,13089,0219.11,0,1.3089E+11,13089021911
12060,13,121,13121,0055.04,0,1.3121E+11,13121005504
12060,13,063,13063,0404.22,0,1.3063E+11,13063040422
12060,13,121,13121,0078.07,0,1.3121E+11,13121007807
12060,13,121,13121,0119.01,0,1.3121E+11,13121011901
12060,13,121,13121,0026.00,0,1.3121E+11,13121002600
12060,13,135,13135,0504.47,0,1.31351E+11,13135050447
12060,13,121,13121,0118.02,0,1.3121E+11,13121011802
12060,13,135,13135,0503.26,0,1.31351E+11,13135050326
12060,13,121,13121,0055.01,0,1.3121E+11,13121005501
12060,13,089,13089,0219.17,0,1.3089E+11,13089021917
12060,13,063,13063,0404.23,0,1.3063E+11,13063040423
12060,13,089,13089,0220.11,0,1.3089E+11,13089022011
12060,13,089,13089,0234.46,0,1.3089E+11,13089023446
12060,13,089,13089,0235.01,0,1.3089E+11,13089023501
12060,13,089,13089,0220.07,0,1.3089E+11,13089022007
12060,13,217,13217,1007.01,0,1.32171E+11,13217100701
12060,13,135,13135,0504.56,0,1.31351E+11,13135050456
12060,13,089,13089,0233.20,0,1.3089E+11,13089023320
12060,13,121,13121,0073.01,0,1.3121E+11,13121007301
12060,13,135,13135,0504.48,0,1.31351E+11,13135050448
12060,13,297,13297,1103.01,0,1.32971E+11,13297110301
12060,13,063,13063,0403.02,0,1.3063E+11,13063040302
12060,13,063,13063,0404.14,0,1.3063E+11,13063040414
12060,13,063,13063,0406.35,0,1.3063E+11,13063040635
12060,13,121,13121,0076.02,0,1.3121E+11,13121007602
12060,13,135,13135,0505.22,0,1.31351E+11,13135050522
12060,13,089,13089,0219.16,0,1.3089E+11,13089021916
12060,13,135,13135,0504.51,0,1.31351E+11,13135050451
12060,13,255,13255,1601.02,0,1.32552E+11,13255160102
12060,13,063,13063,0403.08,0,1.3063E+11,13063040308
12060,13,121,13121,0112.03,0,1.3121E+11,13121011203
12060,13,247,13247,0603.10,0,1.32471E+11,13247060310
12060,13,121,13121,0087.01,0,1.3121E+11,13121008701
12060,13,135,13135,0504.52,0,1.31351E+11,13135050452
12060,13,067,13067,0313.18,0,1.3067E+11,13067031318
12060,13,089,13089,0234.39,0,1.3089E+11,13089023439
12060,13,135,13135,0504.55,0,1.31351E+11,13135050455
12060,13,077,13077,1706.04,0,1.30772E+11,13077170604
12060,13,121,13121,0057.00,0,1.3121E+11,13121005700
12060,13,089,13089,0213.09,0,1.3089E+11,13089021309
12060,13,063,13063,0403.09,0,1.3063E+11,13063040309
12060,13,121,13121,0077.05,0,1.3121E+11,13121007705
12060,13,089,13089,0213.10,0,1.3089E+11,13089021310
12060,13,067,13067,0313.21,0,1.3067E+11,13067031321
12060,13,089,13089,0234.10,0,1.3089E+11,13089023410
12060,13,121,13121,0082.03,0,1.3121E+11,13121008203
12060,13,089,13089,0220.05,0,1.3089E+11,13089022005
12060,13,121,13121,0081.03,0,1.3121E+11,13121008103
12060,13,121,13121,0105.25,0,1.3121E+11,13121010525
12060,13,063,13063,0405.22,0,1.3063E+11,13063040522
12060,13,089,13089,0234.29,0,1.3089E+11,13089023429
12060,13,063,13063,0405.18,0,1.3063E+11,13063040518
12060,13,121,13121,0105.22,0,1.3121E+11,13121010522
12060,13,063,13063,0403.10,0,1.3063E+11,13063040310
12060,13,063,13063,0406.30,0,1.3063E+11,13063040630
12060,13,149,13149,9701,0,1.315E+11,13149970100
12060,13,121,13121,0113.06,0,1.3121E+11,13121011306
12060,13,067,13067,0313.20,0,1.3067E+11,13067031320
12060,13,063,13063,0405.21,0,1.3063E+11,13063040521
12060,13,089,13089,0224.05,0,1.3089E+11,13089022405
12060,13,089,13089,0235.05,0,1.3089E+11,13089023505
12060,13,121,13121,0106.01,0,1.3121E+11,13121010601
12060,13,015,13015,9607.01,0,1.3016E+11,13015960701
12060,13,089,13089,0233.17,0,1.3089E+11,13089023317
12060,13,135,13135,0503.28,0,1.31351E+11,13135050328
12060,13,135,13135,0504.45,0,1.31351E+11,13135050445
12060,13,089,13089,0235.04,0,1.3089E+11,13089023504
12060,13,121,13121,0080.00,0,1.3121E+11,13121008000
12060,13,121,13121,0082.04,0,1.3121E+11,13121008204
12060,13,063,13063,0404.17,0,1.3063E+11,13063040417
12060,13,135,13135,0504.49,0,1.31351E+11,13135050449
12060,13,135,13135,0504.64,0,1.31351E+11,13135050464
12060,13,089,13089,0236.03,0,1.3089E+11,13089023603
12060,13,067,13067,0307.00,0,1.3067E+11,13067030700
12060,13,067,13067,0304.12,0,1.3067E+11,13067030412
12060,13,135,13135,0505.26,0,1.31351E+11,13135050526
12060,13,089,13089,0214.20,0,1.3089E+11,13089021420
12060,13,057,13057,0904.01,0,1.30571E+11,13057090401
12060,13,135,13135,0504.63,0,1.31351E+11,13135050463
12060,13,089,13089,0232.15,0,1.3089E+11,13089023215
12060,13,015,13015,9608.02,0,1.3016E+11,13015960802
12060,13,135,13135,0505.42,0,1.31351E+11,13135050542
12060,13,121,13121,0113.07,0,1.3121E+11,13121011307
12060,13,121,13121,0105.24,0,1.3121E+11,13121010524
12060,13,121,13121,0105.21,0,1.3121E+11,13121010521
12060,13,135,13135,0503.29,0,1.31351E+11,13135050329
12060,13,247,13247,0603.16,0,1.32471E+11,13247060316
12060,13,135,13135,0504.41,0,1.31351E+11,13135050441
12060,13,089,13089,0236.02,0,1.3089E+11,13089023602
12060,13,089,13089,0234.31,0,1.3089E+11,13089023431
12060,13,121,13121,0105.27,0,1.3121E+11,13121010527
12060,13,077,13077,1703.07,0,1.30772E+11,13077170307
12060,13,063,13063,0402.02,0,1.3063E+11,13063040202
12060,13,045,13045,9107.05,0,1.30459E+11,13045910705
12060,13,063,13063,0405.28,0,1.3063E+11,13063040528
12060,13,121,13121,0105.23,0,1.3121E+11,13121010523
12060,13,121,13121,0006.02,0,1.3121E+11,13121000602
12060,13,089,13089,0219.08,0,1.3089E+11,13089021908
12060,13,217,13217,1006,0,1.32171E+11,13217100600
12060,13,159,13159,0105.02,0,1.3159E+11,13159010502
12060,13,089,13089,0213.05,0,1.3089E+11,13089021305
12060,13,045,13045,9103.01,0,1.30459E+11,13045910301
12060,13,063,13063,0405.25,0,1.3063E+11,13063040525
12060,13,121,13121,0113.08,0,1.3121E+11,13121011308
12060,13,135,13135,0505.37,0,1.31351E+11,13135050537
12060,13,121,13121,0066.01,0,1.3121E+11,13121006601
12060,13,063,13063,0405.31,0,1.3063E+11,13063040531
12060,13,151,13151,0701.13,0,1.31511E+11,13151070113
12060,13,067,13067,0310.07,0,1.3067E+11,13067031007
12060,13,063,13063,0404.25,0,1.3063E+11,13063040425
12060,13,045,13045,9111.01,0,1.30459E+11,13045911101
12060,13,067,13067,0310.06,0,1.3067E+11,13067031006
12060,13,067,13067,0304.13,0,1.3067E+11,13067030413
12060,13,121,13121,0018.01,0,1.3121E+11,13121001801
12060,13,135,13135,0504.60,0,1.31351E+11,13135050460
12060,13,135,13135,0503.30,0,1.31351E+11,13135050330
12060,13,135,13135,0504.37,0,1.31351E+11,13135050437
12060,13,135,13135,0504.53,0,1.31351E+11,13135050453
12060,13,063,13063,0405.12,0,1.3063E+11,13063040512
12060,13,089,13089,0219.10,0,1.3089E+11,13089021910
12060,13,121,13121,0035.00,0,1.3121E+11,13121003500
12060,13,063,13063,0404.19,0,1.3063E+11,13063040419
