2020 Census Tract,Total Rental Units with Severe Housing Problems and Equal to or less than 80% AMI,Total Rental Units Equal to or less than 80% AMI,% of rental units occupied by 80% AMI and below with Severe Housing Problems
13063040518,330,815,0.4049079754601227
13063040519,635,2050,0.3097560975609756
13063040521,150,455,0.32967032967032966
13063040522,365,865,0.42196531791907516
13063040523,260,555,0.46846846846846846
13063040525,135,295,0.4576271186440678
13063040527,250,500,0.5
13063040528,220,550,0.4
13063040529,130,285,0.45614035087719296
13063040530,200,635,0.31496062992125984
13063040531,215,655,0.3282442748091603
13063040532,35,340,0.10294117647058823
13063040533,330,655,0.5038167938931297
13063040534,155,290,0.5344827586206896
13063040535,140,305,0.45901639344262296
13063040536,70,380,0.18421052631578946
13063040537,145,300,0.48333333333333334
13063040538,105,270,0.3888888888888889
13063040606,35,120,0.2916666666666667
13063040609,365,565,0.6460176991150443
13063040614,100,180,0.5555555555555556
13063040615,20,120,0.16666666666666666
13063040617,39,140,0.2785714285714286
13063040623,210,390,0.5384615384615384
13063040624,0,74,0
13063040625,200,480,0.4166666666666667
13063040626,84,235,0.3574468085106383
13063040627,140,370,0.3783783783783784
13063040628,10,60,0.16666666666666666
13063040629,175,395,0.4430379746835443
13063040630,280,950,0.29473684210526313
13063040631,95,230,0.41304347826086957
13063040632,760,1400,0.5428571428571428
13063040633,165,290,0.5689655172413793
13063040634,415,965,0.43005181347150256
13063040635,25,220,0.11363636363636363
13063040636,70,70,1
13063040637,70,195,0.358974358974359
13063040638,25,160,0.15625
13063040639,0,10,0
13063980000,0,0,-
13065970100,105,310,0.3387096774193548
13065970200,30,59,0.5084745762711864
13067030104,195,490,0.3979591836734694
13067030107,10,35,0.2857142857142857
13067030108,4,130,0.03076923076923077
13067030109,15,350,0.04285714285714286
13067030110,45,120,0.375
13067030111,85,95,0.8947368421052632
13067030112,180,430,0.4186046511627907
13067030113,35,210,0.16666666666666666
13067030220,4,24,0.16666666666666666
13067030233,10,40,0.25
13067030235,10,70,0.14285714285714285
13067030236,0,43,0
13067030240,140,215,0.6511627906976745
13067030241,0,15,0
13067030242,35,105,0.3333333333333333
13067030243,165,225,0.7333333333333333
13067030244,0,35,0
13067030245,0,0,-
13067030246,20,80,0.25
13067030247,335,785,0.4267515923566879
13067030248,720,1020,0.7058823529411765
13067030249,270,390,0.6923076923076923
13067030250,0,10,0
13067030251,0,15,0
13067030252,10,10,1
13067030253,40,175,0.22857142857142856
13067030254,0,25,0
13067030255,140,340,0.4117647058823529
13067030256,0,0,-
13067030257,425,765,0.5555555555555556
13067030258,50,155,0.3225806451612903
13067030259,40,255,0.1568627450980392
13067030260,145,180,0.8055555555555556
13067030261,0,45,0
