2020 Census Tract,Total Rental Units with Severe Housing Problems and Equal to or less than 80% AMI,Total Rental Units Equal to or less than 80% AMI,% of rental units occupied by 80% AMI and below with Severe Housing Problems
13089021103,155,265,0.5849056603773585
13089021104,0,185,0
13089021204,430,645,0.6666666666666666
13089021208,190,375,0.5066666666666667
13089021210,0,0,-
13089021211,4,4,1
13089021213,0,0,-
13089021217,64,140,0.45714285714285713
13089021219,45,45,1
13089021220,80,115,0.6956521739130435
13089021221,70,385,0.18181818181818182
13089021222,300,990,0.30303030303030304
13089021223,100,100,1
13089021224,760,1050,0.7238095238095238
13089021225,115,530,0.2169811320754717
13089021226,145,470,0.30851063829787234
13089021227,300,485,0.6185567010309279
13089021228,0,0,-
13089021229,0,0,-
13089021230,235,265,0.8867924528301887
13089021301,430,760,0.5657894736842105
13089021305,305,645,0.4728682170542636
13089021306,299,750,0.39866666666666667
13089021307,135,275,0.4909090909090909
13089021308,240,525,0.45714285714285713
13089021309,215,325,0.6615384615384615
13089021310,148,455,0.3252747252747253
13089021405,65,160,0.40625
13089021409,240,595,0.40336134453781514
13089021410,240,715,0.3356643356643357
13089021411,190,350,0.5428571428571428
13089021412,20,34,0.5882352941176471
13089021415,120,190,0.631578947368421
13089021416,110,195,0.5641025641025641
13089021417,370,950,0.3894736842105263
13089021418,350,550,0.6363636363636364
13089021419,245,345,0.7101449275362319
13089021420,105,350,0.3
13089021421,130,340,0.38235294117647056
13089021502,200,540,0.37037037037037035
13089021503,345,580,0.5948275862068966
13089021505,305,465,0.6559139784946236
13089021506,170,330,0.5151515151515151
13089021602,75,345,0.21739130434782608
13089021604,0,20,0
13089021606,225,460,0.4891304347826087
13089021607,14,254,0.05511811023622047
13089021608,165,505,0.32673267326732675
13089021609,60,115,0.5217391304347826
13089021703,40,85,0.47058823529411764
13089021707,10,10,1
13089021708,89,250,0.356
13089021709,210,340,0.6176470588235294
13089021710,60,75,0.8
13089021711,140,225,0.6222222222222222
13089021712,280,630,0.4444444444444444
13089021808,180,255,0.7058823529411765
13089021812,119,235,0.5063829787234042
13089021813,225,740,0.30405405405405406
13089021815,570,1075,0.5302325581395348
13089021816,60,150,0.4
13089021817,0,10,0
13089021818,105,215,0.4883720930232558
13089021819,0,25,0
13089021820,65,380,0.17105263157894737
13089021821,0,20,0
13089021822,75,240,0.3125
13089021823,70,300,0.23333333333333334
13089021824,140,305,0.45901639344262296
13089021906,185,570,0.32456140350877194
13089021908,230,1110,0.2072072072072072
13089021910,335,855,0.391812865497076
13089021911,310,830,0.37349397590361444
13089021912,0,15,0
13089021913,670,1530,0.43790849673202614
13089021914,465,785,0.5923566878980892
13089021915,0,25,0
13089021916,235,740,0.31756756756756754
13089021917,335,745,0.44966442953020136
13089022001,160,315,0.5079365079365079
13089022005,360,825,0.43636363636363634
13089022007,320,730,0.4383561643835616
13089022010,105,160,0.65625
13089022011,620,1075,0.5767441860465117
13089022012,230,590,0.3898305084745763
13089022013,255,730,0.3493150684931507
13089022014,185,535,0.34579439252336447
13089022015,119,155,0.7677419354838709
13089022016,134,335,0.4
13089022100,180,660,0.2727272727272727
13089022203,240,340,0.7058823529411765
13089022205,135,425,0.3176470588235294
13089022206,140,350,0.4
13089022302,125,375,0.3333333333333333
13089022303,75,270,0.2777777777777778
13089022304,265,475,0.5578947368421052
13089022401,235,315,0.746031746031746
13089022403,15,15,1
13089022404,290,575,0.5043478260869565
13089022405,99,150,0.66
13089022501,170,520,0.3269230769230769
13089022502,35,70,0.5
13089022601,190,660,0.2878787878787879
13089022602,25,30,0.8333333333333334
13089022700,70,180,0.3888888888888889
13089022800,55,115,0.4782608695652174
13089022900,50,215,0.23255813953488372
13089023000,40,125,0.32
13089023101,260,460,0.5652173913043478
13089023102,220,635,0.3464566929133858
13089023107,205,390,0.5256410256410257
13089023108,355,880,0.4034090909090909
13089023111,125,185,0.6756756756756757
13089023112,410,1470,0.2789115646258503
13089023113,425,825,0.5151515151515151
13089023114,230,355,0.647887323943662
13089023115,0,0,-
13089023209,90,210,0.42857142857142855
13089023211,45,465,0.0967741935483871
13089023212,90,330,0.2727272727272727
13089023213,455,970,0.4690721649484536
13089023214,400,895,0.44692737430167595
13089023215,135,360,0.375
13089023216,95,490,0.19387755102040816
13089023217,55,290,0.1896551724137931
13089023218,390,910,0.42857142857142855
13089023219,100,155,0.6451612903225806
13089023220,60,160,0.375
13089023221,155,390,0.3974358974358974
13089023222,265,820,0.3231707317073171
13089023311,135,360,0.375
13089023313,115,305,0.3770491803278688
13089023315,75,160,0.46875
13089023317,245,710,0.34507042253521125
13089023318,25,80,0.3125
13089023319,325,575,0.5652173913043478
13089023320,770,1120,0.6875
13089023321,205,760,0.26973684210526316
13089023322,210,430,0.4883720930232558
13089023323,25,54,0.46296296296296297
13089023324,0,15,0
13089023325,0,20,0
13089023326,45,300,0.15
13089023327,225,705,0.3191489361702128
13089023328,190,555,0.34234234234234234
13089023329,0,135,0
13089023330,0,15,0
13089023331,25,400,0.0625
13089023332,10,145,0.06896551724137931
13089023410,275,850,0.3235294117647059
13089023411,175,500,0.35
13089023413,0,39,0
13089023422,190,310,0.6129032258064516
13089023424,115,210,0.5476190476190477
13089023425,125,285,0.43859649122807015
13089023426,95,290,0.3275862068965517
13089023427,110,140,0.7857142857142857
13089023429,235,830,0.28313253012048195
13089023430,575,935,0.6149732620320856
13089023431,150,345,0.43478260869565216
13089023432,0,150,0
13089023433,155,410,0.3780487804878049
13089023434,0,135,0
13089023435,270,665,0.40601503759398494
13089023436,0,95,0
13089023437,45,110,0.4090909090909091
13089023438,145,485,0.29896907216494845
13089023439,205,605,0.33884297520661155
13089023440,365,645,0.5658914728682171
13089023441,40,225,0.17777777777777778
13089023442,10,145,0.06896551724137931
13089023443,0,75,0
13089023444,105,170,0.6176470588235294
13089023445,25,165,0.15151515151515152
13089023446,25,290,0.08620689655172414
13089023447,60,60,1
13089023448,60,365,0.1643835616438356
13089023501,254,520,0.48846153846153845
13089023504,275,660,0.4166666666666667
13089023505,155,280,0.5535714285714286
13089023506,320,585,0.5470085470085471
13089023507,70,300,0.23333333333333334
13089023601,75,230,0.32608695652173914
13089023602,100,175,0.5714285714285714
13089023603,200,625,0.32
13089023701,125,275,0.45454545454545453
13089023702,330,740,0.44594594594594594
13089023801,30,190,0.15789473684210525
13089023802,220,470,0.46808510638297873
13089023803,244,450,0.5422222222222223
13089980000,0,0,-
13091960100,24,165,0.14545454545454545
13091960200,90,130,0.6923076923076923
13091960301,160,460,0.34782608695652173
13091960302,40,155,0.25806451612903225
13091960400,44,475,0.09263157894736843
13091960500,29,80,0.3625
13091960600,50,155,0.3225806451612903
13093970100,75,295,0.2542372881355932
13093970200,45,130,0.34615384615384615
13093970300,255,595,0.42857142857142855
13095000101,280,740,0.3783783783783784
13095000102,170,415,0.40963855421686746
13095000200,345,665,0.518796992481203
13095000400,495,665,0.7443609022556391
13095000501,60,290,0.20689655172413793
13095000502,125,205,0.6097560975609756
13095000600,245,540,0.4537037037037037
13095000700,145,215,0.6744186046511628
13095000800,135,350,0.38571428571428573
13095000900,160,340,0.47058823529411764
13095001000,215,410,0.524390243902439
13095001100,330,680,0.4852941176470588
13095001403,190,480,0.3958333333333333
13095001500,355,545,0.6513761467889908
13095010302,645,1020,0.6323529411764706
13095010401,185,230,0.8043478260869565
13095010402,135,510,0.2647058823529412
13095010403,10,95,0.10526315789473684
13095010500,25,105,0.23809523809523808
13095010601,275,490,0.5612244897959183
13095010602,190,375,0.5066666666666667
13095010701,229,545,0.42018348623853213
13095010702,125,230,0.5434782608695652
13095010900,89,115,0.7739130434782608
13095011000,190,260,0.7307692307692307
13095011200,130,320,0.40625
13095011300,110,335,0.3283582089552239
13095011400,114,295,0.3864406779661017
13095011600,14,70,0.2
13097080104,665,1210,0.5495867768595041
13097080105,95,165,0.5757575757575758
13097080106,155,485,0.31958762886597936
13097080107,150,1315,0.11406844106463879
13097080201,179,324,0.5524691358024691
13097080203,200,555,0.36036036036036034
13097080204,135,375,0.36
13097080303,200,505,0.39603960396039606
13097080304,295,1220,0.24180327868852458
13097080305,95,350,0.2714285714285714
13097080306,115,480,0.23958333333333334
13097080307,50,315,0.15873015873015872
13097080403,49,95,0.5157894736842106
13097080405,0,20,0
13097080406,0,85,0
13097080407,160,310,0.5161290322580645
13097080408,80,265,0.3018867924528302
13097080505,110,390,0.28205128205128205
13097080506,125,285,0.43859649122807015
13097080507,30,190,0.15789473684210525
13097080508,224,430,0.5209302325581395
13097080509,45,100,0.45
13097080512,65,105,0.6190476190476191
13097080513,155,155,1
13097080514,0,50,0
13097080515,60,70,0.8571428571428571
13097080602,115,435,0.26436781609195403
13097080605,210,370,0.5675675675675675
13097080606,54,139,0.38848920863309355
13097080607,0,35,0
13097080608,240,260,0.9230769230769231
13099090100,35,90,0.3888888888888889
13099090200,240,425,0.5647058823529412
13099090300,10,75,0.13333333333333333
13099090400,70,300,0.23333333333333334
13099090500,35,150,0.23333333333333334
13101880100,40,100,0.4
13101880200,35,205,0.17073170731707318
13103030100,0,80,0
13103030204,100,255,0.39215686274509803
13103030205,55,255,0.21568627450980393
13103030206,0,100,0
13103030207,40,140,0.2857142857142857
13103030208,0,29,0
13103030209,15,100,0.15
13103030301,55,125,0.44
13103030303,39,59,0.6610169491525424
13103030306,65,235,0.2765957446808511
13103030307,15,365,0.0410958904109589
13103030308,70,285,0.24561403508771928
13103030309,80,195,0.41025641025641024
13103030401,70,155,0.45161290322580644
13103030403,20,230,0.08695652173913043
13103030404,0,0,-
13105000100,130,215,0.6046511627906976
13105000200,4,34,0.11764705882352941
13105000300,25,175,0.14285714285714285
13105000400,220,475,0.4631578947368421
13105000501,0,25,0
13105000502,205,540,0.37962962962962965
13107970101,30,290,0.10344827586206896
13107970102,89,125,0.712
13107970200,25,104,0.2403846153846154
13107970300,205,550,0.37272727272727274
13107970401,190,569,0.3339191564147627
13107970402,40,120,0.3333333333333333
13107970500,10,95,0.10526315789473684
13107970601,120,275,0.43636363636363634
13107970602,30,225,0.13333333333333333
13109970100,39,134,0.291044776119403
13109970200,200,300,0.6666666666666666
13109970300,110,420,0.2619047619047619
13111050100,25,120,0.20833333333333334
13111050200,115,450,0.25555555555555554
13111050300,0,40,0
13111050400,150,770,0.19480519480519481
13111050500,0,170,0
13113140102,15,145,0.10344827586206896
13113140103,0,45,0
13113140104,0,0,-
13113140203,15,125,0.12
13113140204,115,295,0.3898305084745763
13113140206,115,175,0.6571428571428571
13113140207,175,355,0.49295774647887325
13113140209,45,45,1
13113140210,0,15,0
13113140303,35,160,0.21875
13113140304,90,115,0.782608695652174
13113140305,10,29,0.3448275862068966
13113140307,0,0,-
13113140308,75,150,0.5
13113140309,260,545,0.47706422018348627
13113140403,19,55,0.34545454545454546
13113140404,250,385,0.6493506493506493
13113140405,25,35,0.7142857142857143
13113140406,85,285,0.2982456140350877
13113140408,20,20,1
13113140409,0,15,0
13113140410,205,505,0.40594059405940597
13113140501,20,20,1
13113140502,4,74,0.05405405405405406
13115000100,140,330,0.42424242424242425
13115000202,35,180,0.19444444444444445
13115000203,40,235,0.1702127659574468
13115000204,25,335,0.07462686567164178
13115000300,40,180,0.2222222222222222
13115000401,100,230,0.43478260869565216
13115000402,0,35,0
13115000403,170,280,0.6071428571428571
13115000500,250,655,0.3816793893129771
13115000600,255,690,0.3695652173913043
13115000700,30,155,0.1935483870967742
13115000800,45,115,0.391304347826087
13115000900,70,295,0.23728813559322035
13115001100,195,760,0.2565789473684211
13115001200,139,410,0.33902439024390246
13115001301,210,254,0.8267716535433071
13115001302,70,325,0.2153846153846154
13115001400,135,330,0.4090909090909091
13115001600,235,560,0.41964285714285715
13115001703,60,220,0.2727272727272727
13115001704,55,165,0.3333333333333333
13115001705,225,525,0.42857142857142855
13115001706,0,140,0
13115001800,270,615,0.43902439024390244
13115002000,70,275,0.2545454545454545
13115002100,190,660,0.2878787878787879
13117130101,40,60,0.6666666666666666
13117130102,25,70,0.35714285714285715
13117130103,20,190,0.10526315789473684
13117130104,0,45,0
13117130105,45,220,0.20454545454545456
13117130201,35,120,0.2916666666666667
13117130202,10,55,0.18181818181818182
13117130203,70,300,0.23333333333333334
13117130204,4,134,0.029850746268656716
13117130205,94,150,0.6266666666666667
13117130301,10,55,0.18181818181818182
13117130302,0,15,0
13117130303,0,4,0
13117130304,0,14,0
13117130305,10,10,1
13117130306,15,35,0.42857142857142855
13117130307,115,160,0.71875
13117130406,90,365,0.2465753424657534
13117130409,185,339,0.5457227138643068
13117130410,260,635,0.4094488188976378
13117130411,4,59,0.06779661016949153
13117130412,65,125,0.52
13117130413,189,445,0.4247191011235955
13117130414,4,4,1
13117130415,35,44,0.7954545454545454
13117130503,34,75,0.4533333333333333
13117130504,35,145,0.2413793103448276
13117130505,29,64,0.453125
13117130506,25,160,0.15625
13117130507,20,110,0.18181818181818182
13117130508,0,10,0
13117130509,10,180,0.05555555555555555
13117130511,65,280,0.23214285714285715
13117130512,0,0,-
13117130601,105,180,0.5833333333333334
13117130602,305,410,0.7439024390243902
13117130603,290,395,0.7341772151898734
13117130604,0,20,0
13117130605,4,40,0.1
13117130606,100,205,0.4878048780487805
13117130607,30,65,0.46153846153846156
13117130608,4,34,0.11764705882352941
13117130609,60,190,0.3157894736842105
13117130610,10,35,0.2857142857142857
13117130611,20,30,0.6666666666666666
13117130613,160,315,0.5079365079365079
13117130614,215,290,0.7413793103448276
13117130615,0,10,0
13119890101,80,490,0.16326530612244897
13119890103,10,75,0.13333333333333333
13119890104,40,80,0.5
13119890201,15,90,0.16666666666666666
13119890202,35,130,0.2692307692307692
13119890300,0,165,0
13119890401,10,95,0.10526315789473684
13119890402,164,465,0.35268817204301073
13121000100,235,245,0.9591836734693877
13121000201,0,0,-
13121000202,40,105,0.38095238095238093
13121000400,15,95,0.15789473684210525
13121000501,185,460,0.40217391304347827
13121000502,45,135,0.3333333333333333
13121000601,290,625,0.464
13121000602,580,790,0.7341772151898734
13121000700,40,94,0.425531914893617
13121001001,110,180,0.6111111111111112
13121001002,160,280,0.5714285714285714
13121001101,25,50,0.5
13121001102,280,320,0.875
13121001203,160,785,0.20382165605095542
13121001204,60,150,0.4
13121001205,210,265,0.7924528301886793
13121001206,250,295,0.847457627118644
13121001301,505,560,0.9017857142857143
13121001302,70,265,0.2641509433962264
13121001400,60,180,0.3333333333333333
13121001501,330,475,0.6947368421052632
13121001502,185,330,0.5606060606060606
13121001600,65,175,0.37142857142857144
13121001701,85,295,0.288135593220339
13121001702,100,230,0.43478260869565216
13121001801,225,1005,0.22388059701492538
13121001802,100,445,0.2247191011235955
13121001901,0,150,0
13121001902,165,360,0.4583333333333333
13121002100,120,270,0.4444444444444444
13121002300,145,330,0.4393939393939394
13121002400,340,655,0.5190839694656488
13121002500,335,860,0.38953488372093026
13121002600,220,385,0.5714285714285714
13121002801,185,345,0.5362318840579711
13121002802,215,475,0.45263157894736844
13121002900,105,255,0.4117647058823529
13121003000,145,170,0.8529411764705882
13121003100,130,370,0.35135135135135137
13121003200,45,65,0.6923076923076923
13121003500,145,370,0.3918918918918919
13121003600,95,259,0.3667953667953668
13121003700,20,145,0.13793103448275862
13121003800,125,220,0.5681818181818182
13121003900,119,350,0.34
13121004000,219,555,0.3945945945945946
13121004100,65,235,0.2765957446808511
13121004200,210,1015,0.20689655172413793
13121004300,70,275,0.2545454545454545
13121004400,370,1170,0.3162393162393162
13121004800,164,585,0.28034188034188035
13121004900,189,260,0.7269230769230769
13121005000,119,355,0.3352112676056338
13121005200,105,175,0.6
13121005300,95,195,0.48717948717948717
13121005501,145,585,0.24786324786324787
13121005503,285,495,0.5757575757575758
13121005504,95,200,0.475
13121005700,155,440,0.3522727272727273
13121005800,49,160,0.30625
13121006000,225,610,0.36885245901639346
13121006100,275,520,0.5288461538461539
13121006200,34,245,0.13877551020408163
13121006300,124,335,0.3701492537313433
13121006400,75,190,0.39473684210526316
13121006500,260,495,0.5252525252525253
13121006601,110,195,0.5641025641025641
13121006602,90,255,0.35294117647058826
13121006701,335,665,0.5037593984962406
13121006702,180,355,0.5070422535211268
13121006801,0,0,-
13121006802,220,440,0.5
13121006900,145,410,0.35365853658536583
13121007001,325,790,0.41139240506329117
13121007002,215,515,0.4174757281553398
13121007100,245,475,0.5157894736842106
13121007200,140,315,0.4444444444444444
13121007301,450,970,0.4639175257731959
13121007302,160,790,0.20253164556962025
13121007400,370,1000,0.37
13121007500,455,875,0.52
13121007602,230,490,0.46938775510204084
13121007603,960,1720,0.5581395348837209
13121007604,265,1005,0.263681592039801
13121007703,320,625,0.512
13121007705,430,1445,0.2975778546712803
13121007707,150,255,0.5882352941176471
13121007708,185,655,0.2824427480916031
13121007709,235,265,0.8867924528301887
13121007710,855,1255,0.6812749003984063
13121007711,135,385,0.35064935064935066
13121007805,190,1030,0.18446601941747573
13121007806,290,875,0.3314285714285714
13121007807,325,610,0.5327868852459017
13121007808,445,1035,0.42995169082125606
13121007809,230,315,0.7301587301587301
13121007810,220,1050,0.20952380952380953
13121007900,75,265,0.2830188679245283
13121008000,435,745,0.5838926174496645
13121008103,300,1230,0.24390243902439024
13121008104,195,640,0.3046875
13121008202,390,535,0.7289719626168224
13121008203,300,895,0.33519553072625696
13121008204,235,510,0.46078431372549017
13121008301,120,530,0.22641509433962265
13121008302,115,275,0.41818181818181815
13121008400,205,650,0.3153846153846154
13121008500,175,295,0.5932203389830508
13121008601,685,1290,0.5310077519379846
13121008602,150,365,0.410958904109589
13121008701,265,985,0.26903553299492383
13121008702,70,515,0.13592233009708737
13121008801,65,115,0.5652173913043478
13121008802,50,155,0.3225806451612903
13121008903,135,295,0.4576271186440678
13121008905,165,550,0.3
13121008906,0,50,0
13121008907,35,135,0.25925925925925924
13121008908,250,365,0.684931506849315
13121008909,20,70,0.2857142857142857
13121009001,160,560,0.2857142857142857
13121009002,0,0,-
13121009103,75,245,0.30612244897959184
13121009104,135,290,0.46551724137931033
13121009105,0,0,-
13121009106,85,360,0.2361111111111111
13121009201,230,510,0.45098039215686275
13121009202,135,300,0.45
13121009203,30,550,0.05454545454545454
13121009301,35,225,0.15555555555555556
13121009302,205,295,0.6949152542372882
13121009405,660,925,0.7135135135135136
13121009406,195,240,0.8125
13121009407,15,70,0.21428571428571427
13121009408,175,580,0.3017241379310345
13121009409,210,325,0.6461538461538462
13121009410,50,95,0.5263157894736842
13121009411,0,40,0
13121009501,15,50,0.3
13121009503,80,425,0.18823529411764706
13121009504,240,290,0.8275862068965517
13121009601,95,245,0.3877551020408163
13121009604,205,305,0.6721311475409836
13121009605,205,505,0.40594059405940597
13121009606,15,15,1
13121009607,340,435,0.7816091954022989
13121009700,0,0,-
13121009802,140,225,0.6222222222222222
13121009803,90,325,0.27692307692307694
13121009804,0,0,-
13121009900,75,115,0.6521739130434783
13121010003,180,270,0.6666666666666666
13121010004,0,0,-
13121010005,0,0,-
13121010006,285,530,0.5377358490566038
13121010007,0,15,0
13121010106,80,315,0.25396825396825395
13121010107,0,0,-
13121010108,235,280,0.8392857142857143
13121010115,95,140,0.6785714285714286
13121010117,365,750,0.4866666666666667
13121010120,105,225,0.4666666666666667
13121010121,44,120,0.36666666666666664
13121010124,255,535,0.4766355140186916
13121010125,145,365,0.3972602739726027
13121010126,55,195,0.28205128205128205
13121010127,55,170,0.3235294117647059
13121010128,290,580,0.5
13121010129,260,400,0.65
13121010130,215,265,0.8113207547169812
13121010131,105,205,0.5121951219512195
13121010132,290,570,0.5087719298245614
13121010133,345,400,0.8625
13121010134,75,295,0.2542372881355932
13121010135,265,425,0.6235294117647059
13121010136,165,275,0.6
13121010137,95,265,0.3584905660377358
13121010204,10,20,0.5
13121010211,35,49,0.7142857142857143
13121010212,575,765,0.7516339869281046
13121010213,65,175,0.37142857142857144
13121010214,100,490,0.20408163265306123
13121010215,25,55,0.45454545454545453
13121010216,130,170,0.7647058823529411
13121010217,80,130,0.6153846153846154
13121010218,0,394,0
13121010219,75,265,0.2830188679245283
13121010220,135,355,0.38028169014084506
13121010221,55,140,0.39285714285714285
13121010222,15,25,0.6
13121010223,0,0,-
13121010305,115,210,0.5476190476190477
13121010306,4,115,0.034782608695652174
13121010307,25,115,0.21739130434782608
13121010308,50,50,1
13121010309,160,215,0.7441860465116279
13121010310,0,0,-
13121010311,60,60,1
13121010312,55,130,0.4230769230769231
13121010313,115,385,0.2987012987012987
13121010314,0,30,0
13121010315,0,505,0
13121010401,150,455,0.32967032967032966
13121010402,90,135,0.6666666666666666
13121010508,45,110,0.4090909090909091
13121010517,185,235,0.7872340425531915
13121010518,150,260,0.5769230769230769
13121010519,165,500,0.33
13121010520,200,630,0.31746031746031744
13121010521,50,135,0.37037037037037035
13121010522,425,855,0.49707602339181284
13121010523,40,220,0.18181818181818182
13121010524,60,625,0.096
13121010525,215,915,0.23497267759562843
13121010526,260,450,0.5777777777777777
13121010527,420,870,0.4827586206896552
13121010528,655,1030,0.6359223300970874
13121010529,135,275,0.4909090909090909
13121010530,110,285,0.38596491228070173
13121010531,60,60,1
13121010532,415,415,1
13121010533,335,520,0.6442307692307693
13121010534,305,630,0.48412698412698413
13121010535,0,95,0
13121010536,60,220,0.2727272727272727
13121010537,25,55,0.45454545454545453
13121010538,84,265,0.3169811320754717
13121010539,135,215,0.627906976744186
13121010540,0,130,0
13121010601,195,615,0.3170731707317073
13121010603,285,795,0.3584905660377358
13121010604,465,845,0.5502958579881657
13121010801,75,330,0.22727272727272727
13121010802,125,380,0.32894736842105265
13121011000,160,420,0.38095238095238093
13121011100,125,305,0.4098360655737705
13121011202,265,680,0.3897058823529412
13121011203,115,235,0.48936170212765956
13121011204,135,280,0.48214285714285715
13121011301,125,235,0.5319148936170213
13121011306,245,525,0.4666666666666667
13121011307,600,1370,0.43795620437956206
13121011308,95,440,0.2159090909090909
13121011309,310,565,0.5486725663716814
13121011310,295,1120,0.26339285714285715
13121011416,0,30,0
13121011417,280,350,0.8
13121011419,70,145,0.4827586206896552
13121011421,320,695,0.460431654676259
13121011422,25,145,0.1724137931034483
13121011423,135,144,0.9375
13121011424,50,140,0.35714285714285715
13121011426,35,65,0.5384615384615384
13121011428,0,15,0
13121011429,35,150,0.23333333333333334
13121011430,255,1040,0.24519230769230768
13121011431,80,205,0.3902439024390244
13121011432,195,555,0.35135135135135137
13121011433,0,0,-
13121011434,0,95,0
13121011435,220,350,0.6285714285714286
13121011436,0,0,-
13121011437,95,175,0.5428571428571428
13121011438,155,515,0.30097087378640774
13121011439,55,75,0.7333333333333333
13121011440,25,105,0.23809523809523808
13121011441,180,210,0.8571428571428571
13121011442,145,190,0.7631578947368421
13121011443,155,225,0.6888888888888889
13121011444,0,20,0
13121011445,25,40,0.625
13121011446,0,0,-
13121011505,0,0,-
13121011507,0,0,-
13121011508,0,0,-
13121011509,45,45,1
13121011510,0,0,-
13121011511,0,40,0
13121011512,4,29,0.13793103448275862
13121011513,0,15,0
13121011514,0,45,0
13121011515,0,0,-
13121011612,0,0,-
13121011618,280,370,0.7567567567567568
13121011624,0,0,-
13121011627,85,285,0.2982456140350877
13121011628,65,180,0.3611111111111111
13121011629,0,0,-
13121011630,55,165,0.3333333333333333
13121011631,150,630,0.23809523809523808
13121011632,115,175,0.6571428571428571
13121011633,0,50,0
13121011634,160,210,0.7619047619047619
13121011635,55,55,1
13121011636,85,185,0.4594594594594595
13121011637,30,30,1
13121011638,30,155,0.1935483870967742
13121011639,100,175,0.5714285714285714
13121011640,140,250,0.56
13121011641,0,0,-
13121011642,150,150,1
13121011643,390,820,0.47560975609756095
13121011644,75,210,0.35714285714285715
13121011645,45,45,1
13121011646,200,445,0.449438202247191
13121011647,275,490,0.5612244897959183
13121011648,0,30,0
13121011649,30,75,0.4
13121011650,115,190,0.6052631578947368
13121011651,45,60,0.75
13121011652,130,270,0.48148148148148145
13121011653,0,0,-
13121011654,60,135,0.4444444444444444
13121011655,25,45,0.5555555555555556
13121011656,0,0,-
13121011657,0,0,-
13121011658,95,195,0.48717948717948717
13121011659,65,165,0.3939393939393939
13121011660,185,235,0.7872340425531915
13121011661,0,0,-
13121011801,35,140,0.25
13121011802,170,380,0.4473684210526316
13121011901,289,560,0.5160714285714286
13121011902,210,440,0.4772727272727273
13121012000,815,1370,0.5948905109489051
13121012300,95,715,0.13286713286713286
13121980000,0,0,-
13123080100,19,190,0.1
13123080200,130,295,0.4406779661016949
13123080301,70,260,0.2692307692307692
13123080302,135,535,0.2523364485981308
13123080401,0,250,0
13123080402,50,160,0.3125
13123080403,15,75,0.2
13123080500,40,245,0.16326530612244897
13125010100,75,200,0.375
13127000101,50,90,0.5555555555555556
13127000103,55,165,0.3333333333333333
13127000104,4,35,0.11428571428571428
13127000201,15,60,0.25
13127000202,65,75,0.8666666666666667
13127000301,0,20,0
13127000302,10,30,0.3333333333333333
13127000303,0,0,-
13127000403,34,145,0.23448275862068965
13127000405,45,140,0.32142857142857145
13127000406,0,140,0
13127000407,55,145,0.3793103448275862
13127000408,15,70,0.21428571428571427
13127000409,25,35,0.7142857142857143
13127000501,250,740,0.33783783783783783
13127000503,265,650,0.4076923076923077
13127000504,204,450,0.4533333333333333
13127000601,90,605,0.1487603305785124
13127000602,0,70,0
13127000701,70,320,0.21875
13127000702,335,710,0.47183098591549294
13127000800,245,965,0.2538860103626943
13127000900,395,830,0.4759036144578313
13127001001,50,240,0.20833333333333334
13127001002,40,210,0.19047619047619047
13127990000,0,0,-
13129970101,0,60,0
13129970102,4,225,0.017777777777777778
13129970201,24,135,0.17777777777777778
13129970202,95,110,0.8636363636363636
13129970301,305,685,0.44525547445255476
13129970302,165,520,0.3173076923076923
13129970400,255,585,0.4358974358974359
13129970500,134,360,0.37222222222222223
13129970601,80,480,0.16666666666666666
13129970602,225,685,0.3284671532846715
13129970700,65,210,0.30952380952380953
13129970801,25,50,0.5
13129970802,0,10,0
13129970901,15,50,0.3
13129970902,23,90,0.25555555555555554
13131950100,39,180,0.21666666666666667
13131950200,4,90,0.044444444444444446
13131950300,195,455,0.42857142857142855
13131950401,95,245,0.3877551020408163
13131950402,195,720,0.2708333333333333
13131950501,0,20,0
13131950502,170,305,0.5573770491803278
13131950600,10,125,0.08
13133950100,15,80,0.1875
13133950200,65,200,0.325
13133950301,30,40,0.75
13133950302,4,55,0.07272727272727272
13133950304,10,125,0.08
13133950305,185,510,0.3627450980392157
13133950400,54,120,0.45
13133950500,4,50,0.08
13135050105,200,495,0.40404040404040403
13135050110,285,320,0.890625
13135050111,35,130,0.2692307692307692
13135050112,65,210,0.30952380952380953
13135050113,105,275,0.38181818181818183
13135050114,35,120,0.2916666666666667
13135050115,85,285,0.2982456140350877
13135050116,0,0,-
13135050117,0,60,0
13135050118,45,155,0.2903225806451613
13135050119,45,205,0.21951219512195122
13135050120,0,20,0
13135050121,40,60,0.6666666666666666
13135050205,195,380,0.5131578947368421
13135050215,115,365,0.3150684931506849
13135050218,140,375,0.37333333333333335
13135050219,125,310,0.4032258064516129
13135050221,80,435,0.1839080459770115
13135050222,244,800,0.305
13135050223,245,615,0.3983739837398374
13135050224,145,165,0.8787878787878788
13135050225,150,480,0.3125
13135050226,145,330,0.4393939393939394
13135050227,0,15,0
13135050228,265,550,0.4818181818181818
13135050229,240,690,0.34782608695652173
13135050230,215,500,0.43
13135050231,315,550,0.5727272727272728
13135050232,20,20,1
13135050233,60,145,0.41379310344827586
13135050234,35,170,0.20588235294117646
13135050235,35,35,1
13135050236,165,295,0.559322033898305
13135050237,10,45,0.2222222222222222
13135050238,270,320,0.84375
13135050239,15,25,0.6
13135050240,0,0,-
13135050241,0,0,-
13135050242,0,0,-
13135050243,30,30,1
13135050244,0,0,-
13135050306,150,410,0.36585365853658536
13135050308,0,0,-
13135050311,0,20,0
