geoid,name,Housing Problems: Less than or equal to 30% of HAMFI,Housing Problems: Greater than 30% but less than or equal to 50% of HAMFI,Housing Problems: Greater than 50% but less than or equal to 80% of HAMFI,Total with Housing Problems,Total: Less than or equal to 30% of HAMFI,Total: Greater than 30% but less than or equal to 50% of HAMFI,Total: Greater than 50% but less than or equal to 80% of HAMFI,Total renters,Total: Propotion of Housing Problems to Total Renters,GeoID2
05000US13229,"Pierce County, Georgia",225,310,135,670,275,575,300,1150,0.5826086956521739,13229
05000US13231,"Pike County, Georgia",130,120,40,290,225,175,260,660,0.4393939393939394,13231
05000US13233,"Polk County, Georgia",885,925,700,2510,1170,1115,1225,3510,0.7150997150997151,13233
05000US13235,"Pulaski County, Georgia",350,185,35,570,385,280,190,855,0.6666666666666666,13235
05000US13237,"Putnam County, Georgia",500,160,180,840,650,215,530,1395,0.6021505376344086,13237
05000US13239,"Quitman County, Georgia",60,35,0,95,85,65,10,160,0.59375,13239
05000US13241,"Rabun County, Georgia",440,210,125,775,485,315,335,1135,0.6828193832599119,13241
05000US13243,"Randolph County, Georgia",130,150,80,360,220,295,280,795,0.4528301886792453,13243
05000US13245,"Richmond County, Georgia",7505,5805,3300,16610,9775,6630,6325,22730,0.7307523097228332,13245
05000US13247,"Rockdale County, Georgia",1885,1785,1025,4695,2285,1930,2740,6955,0.6750539180445723,13247
05000US13249,"Schley County, Georgia",125,30,45,200,205,50,125,380,0.5263157894736842,13249
05000US13251,"Screven County, Georgia",165,175,115,455,330,285,315,930,0.489247311827957,13251
05000US13253,"Seminole County, Georgia",250,140,110,500,355,185,265,805,0.6211180124223602,13253
05000US13255,"Spalding County, Georgia",2345,1260,485,4090,3080,2010,2070,7160,0.5712290502793296,13255
05000US13257,"Stephens County, Georgia",405,545,320,1270,605,635,885,2125,0.5976470588235294,13257
05000US13259,"Stewart County, Georgia",110,40,0,150,210,70,105,385,0.38961038961038963,13259
05000US13261,"Sumter County, Georgia",980,710,595,2285,1355,905,1160,3420,0.6681286549707602,13261
05000US13263,"Talbot County, Georgia",90,60,50,200,175,130,155,460,0.43478260869565216,13263
05000US13265,"Taliaferro County, Georgia",40,10,15,65,50,30,45,125,0.52,13265
05000US13267,"Tattnall County, Georgia",255,250,85,590,460,515,700,1675,0.3522388059701492,13267
05000US13269,"Taylor County, Georgia",340,75,80,495,420,205,120,745,0.6644295302013423,13269
05000US13271,"Telfair County, Georgia",320,235,80,635,515,345,330,1190,0.5336134453781513,13271
05000US13273,"Terrell County, Georgia",305,175,80,560,480,315,270,1065,0.5258215962441315,13273
05000US13275,"Thomas County, Georgia",970,1275,980,3225,1385,1665,1500,4550,0.7087912087912088,13275
05000US13277,"Tift County, Georgia",1150,705,445,2300,1420,1125,940,3485,0.6599713055954088,13277
05000US13279,"Toombs County, Georgia",1005,415,315,1735,1220,685,745,2650,0.6547169811320754,13279
05000US13281,"Towns County, Georgia",110,85,120,315,150,135,355,640,0.4921875,13281
05000US13283,"Treutlen County, Georgia",190,35,15,240,225,130,140,495,0.48484848484848486,13283
05000US13285,"Troup County, Georgia",2435,1520,930,4885,3235,1960,1760,6955,0.702372393961179,13285
05000US13287,"Turner County, Georgia",230,80,45,355,430,140,165,735,0.48299319727891155,13287
05000US13289,"Twiggs County, Georgia",45,70,15,130,195,80,135,410,0.3170731707317073,13289
05000US13291,"Union County, Georgia",370,305,180,855,655,460,405,1520,0.5625,13291
05000US13293,"Upson County, Georgia",600,390,200,1190,985,650,640,2275,0.5230769230769231,13293
05000US13295,"Walker County, Georgia",1500,1030,465,2995,1895,1360,1845,5100,0.5872549019607843,13295
05000US13297,"Walton County, Georgia",2320,1345,520,4185,2690,1805,1675,6170,0.6782820097244733,13297
05000US13299,"Ware County, Georgia",1060,725,500,2285,1460,970,1315,3745,0.6101468624833111,13299
05000US13301,"Warren County, Georgia",180,80,35,295,335,110,95,540,0.5462962962962963,13301
05000US13303,"Washington County, Georgia",380,410,105,895,625,545,590,1760,0.5085227272727273,13303
05000US13305,"Wayne County, Georgia",340,560,185,1085,730,755,740,2225,0.48764044943820223,13305
05000US13307,"Webster County, Georgia",55,35,0,90,75,50,30,155,0.5806451612903226,13307
05000US13309,"Wheeler County, Georgia",160,85,0,245,285,135,110,530,0.46226415094339623,13309
05000US13311,"White County, Georgia",480,315,355,1150,525,425,765,1715,0.6705539358600583,13311
05000US13313,"Whitfield County, Georgia",1465,2060,995,4520,1865,2615,3050,7530,0.600265604249668,13313
05000US13315,"Wilcox County, Georgia",130,35,40,205,215,105,125,445,0.4606741573033708,13315
05000US13317,"Wilkes County, Georgia",210,210,95,515,270,315,315,900,0.5722222222222222,13317
05000US13319,"Wilkinson County, Georgia",140,130,60,330,255,170,145,570,0.5789473684210527,13319
05000US13321,"Worth County, Georgia",520,520,140,1180,590,635,405,1630,0.7239263803680982,13321
