data_source,site_name,site_address,site_city,site_county,site_latitude,site_longitude,undesirable_activity
hsi,Clinch County - Smith Road Landfill Phase 1 (SL),Smith Road,Homerville,Clinch,31.07027777777778,-82.75972222222222,hazardous_inventory
hsi,Southern States Landfill,Bolton Road between Marietta Blvd and South Cobb D,Atlanta,Fulton,33.825833333333335,-84.46527777777779,hazardous_inventory
hsi,Athens-Clarke County - Dunlap Rd (SL) MSWL,"Hwy 78 East, Dunlap Road",Athens,Clarke,33.92472222222222,-83.26333333333334,hazardous_inventory
hsi,Butts County - Brownlee Road Landfill,Brownlee Road,Jackson,Butts,33.274166666666666,-83.96916666666667,hazardous_inventory
hsi,Rabun Apparel (formerly Rabun Mills),398 Kellys Creek Road,Rabun Gap,Rabun,34.95444444444445,-83.37916666666666,hazardous_inventory
hsi,4th Street Landfill (Brunswick Airport),4th St & Community Action Drive,Brunswick,Glynn,31.185833333333335,-81.47722222222222,hazardous_inventory
hsi,Ben Hill County - Joshlyn Road MSWL,Joshlyn Rd,Fitzgerald,Ben Hill,31.743333333333336,-83.20666666666666,hazardous_inventory
hsi,Button Gwinnett Landfill,Arnold Road off Hwy 29,Lawrenceville,Gwinnett,33.92333333333333,-84.04638888888888,hazardous_inventory
hsi,Columbus Municipal Landfill,South Lumpkin Road,Columbus,Muscogee,32.39388888888889,-84.96583333333334,hazardous_inventory
hsi,Cordele-Crisp City-County Landfill,3354 Hwy 41 South,Cordele,Crisp,31.86527777777778,-83.75166666666667,hazardous_inventory
hsi,Coweta County Landfill - Ishman Ballard Rd Phase 1A,Ishman Ballard Rd.,Newnan,Coweta,33.36888888888889,-84.85666666666665,hazardous_inventory
hsi,Crymes Landfill,6321 Lawrenceville Hwy,Tucker,Gwinnett,33.871944444444445,-84.18527777777778,hazardous_inventory
hsi,Walker Road Landfill (formerly 11th Street Landfill),2027 Walker Swamp Road,Macon,Bibb,32.79888888888889,-83.61055555555555,hazardous_inventory
hsi,Ben Gober Landfill,411 Mimosa Dr. (off US 29),Tucker,Gwinnett,33.87583333333333,-84.17777777777778,hazardous_inventory
hsi,Old City Landfill,Intersection of Amanda Thomas Rd. and Barney Rd.,Hazlehurst,Jeff Davis,31.896666666666665,-82.58833333333332,hazardous_inventory
hsi,Old Hazlehurst Solid Waste Disposal Site,McEachin Landing Road,Hazlehurst,Jeff Davis,31.900277777777777,-82.59722222222221,hazardous_inventory
hsi,Allied Industrial Park - NPL Site,600 Guy Paine Road,Macon,Bibb,32.776944444444446,-83.64333333333335,hazardous_inventory
hsi,Polk County Landfill,3383 US-278,Cedartown,Polk,34.00694444444444,-85.16472222222222,hazardous_inventory
hsi,Production Anodizing Corp.-D.H. Farms,1460 Industrial Blvd.,Adel,Cook,31.11888888888889,-83.43805555555556,hazardous_inventory
hsi,T Street Dump,West end of T Street,Brunswick,Glynn,31.165555555555553,-81.50833333333334,hazardous_inventory
hsi,"Forstmann & Company, Inc. (TCE spill)",161 Nathaniel Drive,East Dublin,Laurens,32.53472222222222,-82.87972222222221,hazardous_inventory
hsi,Palmetto Tire Fire,0 Marcy Lane,Palmetto,Coweta,33.51,-84.72472222222223,hazardous_inventory
hsi,Mathis Brothers - South Marbletop Road Landfill - NPL Site,South Marble Top Road,Chickamauga,Walker,34.79722222222222,-85.37777777777777,hazardous_inventory
hsi,Cedartown Industries - NPL Site,404 South Furnace Street,Cedartown,Polk,34.00888888888889,-85.26444444444445,hazardous_inventory
hsi,"Apollo Industries, Inc.",1850 South Cobb Industrial Blvd,Smyrna,Cobb,33.83722222222222,-84.50083333333333,hazardous_inventory
hsi,"Polychem, LTD",2305 Dover Street,Dalton,Whitfield,34.843611111111116,-84.98027777777779,hazardous_inventory
hsi,Wallace Lake Road Dump,3045 Wallace Lake Rd,Douglasville,Douglas,33.72166666666667,-84.70555555555556,hazardous_inventory
hsi,"CPI Plastics, L.L.C.",434 Corinth Road,Newnan,Coweta,33.34305555555556,-84.7936111111111,hazardous_inventory
